"Statistic","CensusYear","Sex","Travelling Time","Time Leaving Home","At Work School or College","UNIT","VALUE"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","All departure times","All persons","Number","2709706"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","All departure times","Population aged 15 years and over at work","Number","1695074"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","All departure times","Children at school aged between 5 and 12 years","Number","501200"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","All departure times","Students at school or college aged between 13 and 18 years","Number","322194"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","All departure times","Students at school or college aged 19 years and over","Number","191238"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","Before 06:30","All persons","Number","122056"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","Before 06:30","Population aged 15 years and over at work","Number","119601"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","Before 06:30","Children at school aged between 5 and 12 years","Number","233"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","Before 06:30","Students at school or college aged between 13 and 18 years","Number","390"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","Before 06:30","Students at school or college aged 19 years and over","Number","1832"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","06:30 - 07:00","All persons","Number","161594"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","06:30 - 07:00","Population aged 15 years and over at work","Number","153263"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","06:30 - 07:00","Children at school aged between 5 and 12 years","Number","775"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","06:30 - 07:00","Students at school or college aged between 13 and 18 years","Number","1877"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","06:30 - 07:00","Students at school or college aged 19 years and over","Number","5679"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","07:01 - 07:30","All persons","Number","228595"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","07:01 - 07:30","Population aged 15 years and over at work","Number","201029"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","07:01 - 07:30","Children at school aged between 5 and 12 years","Number","3644"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","07:01 - 07:30","Students at school or college aged between 13 and 18 years","Number","12074"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","07:01 - 07:30","Students at school or college aged 19 years and over","Number","11848"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","07:31 - 08:00","All persons","Number","391908"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","07:31 - 08:00","Population aged 15 years and over at work","Number","288658"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","07:31 - 08:00","Children at school aged between 5 and 12 years","Number","17261"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","07:31 - 08:00","Students at school or college aged between 13 and 18 years","Number","61928"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","07:31 - 08:00","Students at school or college aged 19 years and over","Number","24061"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","08:01 - 08:30","All persons","Number","560748"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","08:01 - 08:30","Population aged 15 years and over at work","Number","297931"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","08:01 - 08:30","Children at school aged between 5 and 12 years","Number","94867"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","08:01 - 08:30","Students at school or college aged between 13 and 18 years","Number","128773"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","08:01 - 08:30","Students at school or college aged 19 years and over","Number","39177"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","08:31 - 09:00","All persons","Number","656371"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","08:31 - 09:00","Population aged 15 years and over at work","Number","261027"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","08:31 - 09:00","Children at school aged between 5 and 12 years","Number","243942"
