year,sex,travelling_time,time_leaving_home,age,edu_level,value
2011,Male,< ¼ hour,Before 06:30,>=15,junior-cert,17173
2011,Male,< ¼ hour,Before 06:30,5 to 12,primary-school,44
2011,Male,< ¼ hour,Before 06:30,13 to 18,leaving-cert,32
2011,Male,< ¼ hour,Before 06:30,>=19,university,92
2011,Male,< ¼ hour,06:30 - 07:00,>=15,junior-cert,17552
2011,Male,< ¼ hour,06:30 - 07:00,5 to 12,primary-school,73
2011,Male,< ¼ hour,06:30 - 07:00,13 to 18,leaving-cert,42
2011,Male,< ¼ hour,06:30 - 07:00,>=19,university,126
2011,Male,< ¼ hour,07:01 - 07:30,>=15,junior-cert,17548
2011,Male,< ¼ hour,07:01 - 07:30,5 to 12,primary-school,418
2011,Male,< ¼ hour,07:01 - 07:30,13 to 18,leaving-cert,345
2011,Male,< ¼ hour,07:01 - 07:30,>=19,university,199
2011,Male,< ¼ hour,07:31 - 08:00,>=15,junior-cert,39434
2011,Male,< ¼ hour,07:31 - 08:00,5 to 12,primary-school,2097
2011,Male,< ¼ hour,07:31 - 08:00,13 to 18,leaving-cert,2911
2011,Male,< ¼ hour,07:31 - 08:00,>=19,university,583
2011,Male,< ¼ hour,08:01 - 08:30,>=15,junior-cert,31140
2011,Male,< ¼ hour,08:01 - 08:30,5 to 12,primary-school,19803
2011,Male,< ¼ hour,08:01 - 08:30,13 to 18,leaving-cert,19321
2011,Male,< ¼ hour,08:01 - 08:30,>=19,university,2160
2011,Male,< ¼ hour,08:31 - 09:00,>=15,junior-cert,38798
2011,Male,< ¼ hour,08:31 - 09:00,5 to 12,primary-school,89747
2011,Male,< ¼ hour,08:31 - 09:00,13 to 18,leaving-cert,35553
2011,Male,< ¼ hour,08:31 - 09:00,>=19,university,9543
2011,Male,< ¼ hour,09:01 - 09:30,>=15,junior-cert,15323
2011,Male,< ¼ hour,09:01 - 09:30,5 to 12,primary-school,55601
2011,Male,< ¼ hour,09:01 - 09:30,13 to 18,leaving-cert,2881
2011,Male,< ¼ hour,09:01 - 09:30,>=19,university,3612
2011,Male,< ¼ hour,After 09:30,>=15,junior-cert,30884
2011,Male,< ¼ hour,After 09:30,5 to 12,primary-school,314
2011,Male,< ¼ hour,After 09:30,13 to 18,leaving-cert,541
2011,Male,< ¼ hour,After 09:30,>=19,university,4358
2011,Male,¼ hour - < ½ hour,Before 06:30,>=15,junior-cert,23187
2011,Male,¼ hour - < ½ hour,Before 06:30,5 to 12,primary-school,28
2011,Male,¼ hour - < ½ hour,Before 06:30,13 to 18,leaving-cert,36
2011,Male,¼ hour - < ½ hour,Before 06:30,>=19,university,125
2011,Male,¼ hour - < ½ hour,06:30 - 07:00,>=15,junior-cert,22740
2011,Male,¼ hour - < ½ hour,06:30 - 07:00,5 to 12,primary-school,108
2011,Male,¼ hour - < ½ hour,06:30 - 07:00,13 to 18,leaving-cert,114
2011,Male,¼ hour - < ½ hour,06:30 - 07:00,>=19,university,247
2011,Male,¼ hour - < ½ hour,07:01 - 07:30,>=15,junior-cert,32004
2011,Male,¼ hour - < ½ hour,07:01 - 07:30,5 to 12,primary-school,486
2011,Male,¼ hour - < ½ hour,07:01 - 07:30,13 to 18,leaving-cert,1372
2011,Male,¼ hour - < ½ hour,07:01 - 07:30,>=19,university,548
2011,Male,¼ hour - < ½ hour,07:31 - 08:00,>=15,junior-cert,49088
2011,Male,¼ hour - < ½ hour,07:31 - 08:00,5 to 12,primary-school,3220
2011,Male,¼ hour - < ½ hour,07:31 - 08:00,13 to 18,leaving-cert,12176
2011,Male,¼ hour - < ½ hour,07:31 - 08:00,>=19,university,1814
2011,Male,¼ hour - < ½ hour,08:01 - 08:30,>=15,junior-cert,45753
