year,sex,means_of_travel,age,edu_level,value
1986,Male,walking,>=15,junior-cert,69916
1986,Male,walking,5 to 12,primary-school,129973
1986,Male,walking,13 to 18,leaving-cert,50585
1986,Male,walking,>=19,university,5932
1986,Male,bike,>=15,junior-cert,39469
1986,Male,bike,5 to 12,primary-school,14507
1986,Male,bike,13 to 18,leaving-cert,31522
1986,Male,bike,>=19,university,7290
1986,Male,bus,>=15,junior-cert,41878
1986,Male,bus,5 to 12,primary-school,52928
1986,Male,bus,13 to 18,leaving-cert,52597
1986,Male,bus,>=19,university,4841
1986,Male,train,>=15,junior-cert,9492
1986,Male,train,5 to 12,primary-school,325
1986,Male,train,13 to 18,leaving-cert,1660
1986,Male,train,>=19,university,1415
1986,Male,motorbike,>=15,junior-cert,12827
1986,Male,motorbike,5 to 12,primary-school,0
1986,Male,motorbike,13 to 18,leaving-cert,241
1986,Male,motorbike,>=19,university,575
1986,Male,car,>=15,junior-cert,308726
1986,Male,car,5 to 12,primary-school,0
1986,Male,car,13 to 18,leaving-cert,208
1986,Male,car,>=19,university,1230
1986,Male,carpool,>=15,junior-cert,34726
1986,Male,carpool,5 to 12,primary-school,66293
1986,Male,carpool,13 to 18,leaving-cert,16044
1986,Male,carpool,>=19,university,2031
1986,Male,truck,>=15,junior-cert,31142
1986,Male,truck,5 to 12,primary-school,898
1986,Male,truck,13 to 18,leaving-cert,426
1986,Male,truck,>=19,university,164
1986,Male,remote,>=15,junior-cert,159914
1986,Male,remote,5 to 12,primary-school,507
1986,Male,remote,13 to 18,leaving-cert,5190
1986,Male,remote,>=19,university,861
1986,Female,walking,>=15,junior-cert,66084
1986,Female,walking,5 to 12,primary-school,121974
1986,Female,walking,13 to 18,leaving-cert,54707
1986,Female,walking,>=19,university,6359
1986,Female,bike,>=15,junior-cert,21281
1986,Female,bike,5 to 12,primary-school,9128
1986,Female,bike,13 to 18,leaving-cert,19126
1986,Female,bike,>=19,university,4639
1986,Female,bus,>=15,junior-cert,51458
1986,Female,bus,5 to 12,primary-school,52317
1986,Female,bus,13 to 18,leaving-cert,62230
1986,Female,bus,>=19,university,5665
1986,Female,train,>=15,junior-cert,6604
1986,Female,train,5 to 12,primary-school,311
1986,Female,train,13 to 18,leaving-cert,1748
1986,Female,train,>=19,university,1135
1986,Female,motorbike,>=15,junior-cert,2787
1986,Female,motorbike,5 to 12,primary-school,0
1986,Female,motorbike,13 to 18,leaving-cert,59
1986,Female,motorbike,>=19,university,191
1986,Female,car,>=15,junior-cert,94152
1986,Female,car,5 to 12,primary-school,0
1986,Female,car,13 to 18,leaving-cert,165
1986,Female,car,>=19,university,699
1986,Female,carpool,>=15,junior-cert,55105
1986,Female,carpool,5 to 12,primary-school,67331
1986,Female,carpool,13 to 18,leaving-cert,20622
1986,Female,carpool,>=19,university,1973
1986,Female,truck,>=15,junior-cert,2212
1986,Female,truck,5 to 12,primary-school,914
1986,Female,truck,13 to 18,leaving-cert,403
1986,Female,truck,>=19,university,80
1986,Female,remote,>=15,junior-cert,26942
1986,Female,remote,5 to 12,primary-school,431
1986,Female,remote,13 to 18,leaving-cert,2740
1986,Female,remote,>=19,university,397
1991,Male,walking,>=15,junior-cert,58989
1991,Male,walking,5 to 12,primary-school,107125
1991,Male,walking,13 to 18,leaving-cert,46865
1991,Male,walking,>=19,university,9024
1991,Male,bike,>=15,junior-cert,34337
1991,Male,bike,5 to 12,primary-school,14203
1991,Male,bike,13 to 18,leaving-cert,30860
1991,Male,bike,>=19,university,7612
1991,Male,bus,>=15,junior-cert,35824
1991,Male,bus,5 to 12,primary-school,55474
1991,Male,bus,13 to 18,leaving-cert,57146
1991,Male,bus,>=19,university,7880
1991,Male,train,>=15,junior-cert,10352
1991,Male,train,5 to 12,primary-school,438
1991,Male,train,13 to 18,leaving-cert,2263
1991,Male,train,>=19,university,2464
