year,sex,means_of_travel,towns_by_size,age_range,edu_status,value
2016,Male,walking,Dublin City and suburbs,15-66,working,29346
2016,Male,walking,Dublin City and suburbs,5-12,at primary school,23274
2016,Male,walking,Dublin City and suburbs,13-18,at secondary school,11644
2016,Male,walking,Dublin City and suburbs,19-66,at university,6023
2016,Male,walking,Cork City and suburbs,15-66,working,5141
2016,Male,walking,Cork City and suburbs,5-12,at primary school,2792
2016,Male,walking,Cork City and suburbs,13-18,at secondary school,1771
2016,Male,walking,Cork City and suburbs,19-66,at university,2397
2016,Male,walking,Limerick City and suburbs,15-66,working,2423
2016,Male,walking,Limerick City and suburbs,5-12,at primary school,1553
2016,Male,walking,Limerick City and suburbs,13-18,at secondary school,931
2016,Male,walking,Limerick City and suburbs,19-66,at university,1187
2016,Male,walking,Galway City and suburbs,15-66,working,2433
2016,Male,walking,Galway City and suburbs,5-12,at primary school,725
2016,Male,walking,Galway City and suburbs,13-18,at secondary school,434
2016,Male,walking,Galway City and suburbs,19-66,at university,1607
2016,Male,walking,Waterford City and suburbs,15-66,working,1210
2016,Male,walking,Waterford City and suburbs,5-12,at primary school,592
2016,Male,walking,Waterford City and suburbs,13-18,at secondary school,518
2016,Male,walking,Waterford City and suburbs,19-66,at university,513
2016,Male,walking,Drogheda,15-66,working,912
2016,Male,walking,Drogheda,5-12,at primary school,865
2016,Male,walking,Drogheda,13-18,at secondary school,683
2016,Male,walking,Drogheda,19-66,at university,100
2016,Male,walking,Dundalk,15-66,working,765
2016,Male,walking,Dundalk,5-12,at primary school,700
2016,Male,walking,Dundalk,13-18,at secondary school,444
2016,Male,walking,Dundalk,19-66,at university,369
2016,Male,walking,Swords,15-66,working,684
2016,Male,walking,Swords,5-12,at primary school,984
2016,Male,walking,Swords,13-18,at secondary school,450
2016,Male,walking,Swords,19-66,at university,18
2016,Male,walking,Bray,15-66,working,559
2016,Male,walking,Bray,5-12,at primary school,607
2016,Male,walking,Bray,13-18,at secondary school,474
2016,Male,walking,Bray,19-66,at university,86
2016,Male,walking,Navan (An Uaimh),15-66,working,392
2016,Male,walking,Navan (An Uaimh),5-12,at primary school,782
2016,Male,walking,Navan (An Uaimh),13-18,at secondary school,490
2016,Male,walking,Navan (An Uaimh),19-66,at university,53
2016,Male,walking,Ennis,15-66,working,410
2016,Male,walking,Ennis,5-12,at primary school,290
2016,Male,walking,Ennis,13-18,at secondary school,291
2016,Male,walking,Ennis,19-66,at university,95
2016,Male,walking,Kilkenny,15-66,working,840
2016,Male,walking,Kilkenny,5-12,at primary school,408
2016,Male,walking,Kilkenny,13-18,at secondary school,277
2016,Male,walking,Kilkenny,19-66,at university,143
2016,Male,walking,Tralee,15-66,working,538
2016,Male,walking,Tralee,5-12,at primary school,217
2016,Male,walking,Tralee,13-18,at secondary school,215
2016,Male,walking,Tralee,19-66,at university,256
2016,Male,walking,Carlow,15-66,working,397
2016,Male,walking,Carlow,5-12,at primary school,314
2016,Male,walking,Carlow,13-18,at secondary school,333
2016,Male,walking,Carlow,19-66,at university,349
2016,Male,walking,Droichead Nua,15-66,working,405
2016,Male,walking,Droichead Nua,5-12,at primary school,533
2016,Male,walking,Droichead Nua,13-18,at secondary school,468
2016,Male,walking,Droichead Nua,19-66,at university,47
2016,Male,walking,Naas,15-66,working,382
2016,Male,walking,Naas,5-12,at primary school,405
2016,Male,walking,Naas,13-18,at secondary school,301
2016,Male,walking,Naas,19-66,at university,33
2016,Male,walking,Athlone,15-66,working,492
2016,Male,walking,Athlone,5-12,at primary school,159
