"Statistic","CensusYear","Sex","Means of Travel","Aggregate Town or Rural Area","Time Leaving Home","At Work School or College","UNIT","VALUE"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","All departure times","All persons","Number","414938"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","All departure times","Population aged 15 years and over at work","Number","170510"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","All departure times","Children at school aged between 5 and 12 years","Number","118523"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","All departure times","Students at school or college aged between 13 and 18 years","Number","73946"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","All departure times","Students at school or college aged 19 years and over","Number","51959"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","Before 06:30","All persons","Number","8357"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","Before 06:30","Population aged 15 years and over at work","Number","8002"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","Before 06:30","Children at school aged between 5 and 12 years","Number","56"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","Before 06:30","Students at school or college aged between 13 and 18 years","Number","60"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","Before 06:30","Students at school or college aged 19 years and over","Number","239"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","06:30 - 07:00","All persons","Number","12015"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","06:30 - 07:00","Population aged 15 years and over at work","Number","11483"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","06:30 - 07:00","Children at school aged between 5 and 12 years","Number","79"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","06:30 - 07:00","Students at school or college aged between 13 and 18 years","Number","69"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","06:30 - 07:00","Students at school or college aged 19 years and over","Number","384"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","07:01 - 07:30","All persons","Number","14834"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","07:01 - 07:30","Population aged 15 years and over at work","Number","13254"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","07:01 - 07:30","Children at school aged between 5 and 12 years","Number","339"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","07:01 - 07:30","Students at school or college aged between 13 and 18 years","Number","586"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","07:01 - 07:30","Students at school or college aged 19 years and over","Number","655"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","07:31 - 08:00","All persons","Number","29439"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","07:31 - 08:00","Population aged 15 years and over at work","Number","21308"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","07:31 - 08:00","Children at school aged between 5 and 12 years","Number","1902"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","07:31 - 08:00","Students at school or college aged between 13 and 18 years","Number","4596"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","07:31 - 08:00","Students at school or college aged 19 years and over","Number","1633"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","08:01 - 08:30","All persons","Number","81348"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","08:01 - 08:30","Population aged 15 years and over at work","Number","25523"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","08:01 - 08:30","Children at school aged between 5 and 12 years","Number","21144"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","08:01 - 08:30","Students at school or college aged between 13 and 18 years","Number","28178"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","08:01 - 08:30","Students at school or college aged 19 years and over","Number","6503"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","08:31 - 09:00","All persons","Number","165274"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","08:31 - 09:00","Population aged 15 years and over at work","Number","35252"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","08:31 - 09:00","Children at school aged between 5 and 12 years","Number","71719"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","08:31 - 09:00","Students at school or college aged between 13 and 18 years","Number","36076"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","08:31 - 09:00","Students at school or college aged 19 years and over","Number","22227"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","09:01 - 09:30","All persons","Number","49993"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","09:01 - 09:30","Population aged 15 years and over at work","Number","16399"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","09:01 - 09:30","Children at school aged between 5 and 12 years","Number","22106"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","09:01 - 09:30","Students at school or college aged between 13 and 18 years","Number","2722"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","09:01 - 09:30","Students at school or college aged 19 years and over","Number","8766"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","After 09:30","All persons","Number","49105"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","After 09:30","Population aged 15 years and over at work","Number","36582"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","After 09:30","Children at school aged between 5 and 12 years","Number","230"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","After 09:30","Students at school or college aged between 13 and 18 years","Number","1207"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","After 09:30","Students at school or college aged 19 years and over","Number","11086"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","Not stated","All persons","Number","4573"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","Not stated","Population aged 15 years and over at work","Number","2707"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","Not stated","Children at school aged between 5 and 12 years","Number","948"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","Not stated","Students at school or college aged between 13 and 18 years","Number","452"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","Not stated","Students at school or college aged 19 years and over","Number","466"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","All departure times","All persons","Number","346684"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","All departure times","Population aged 15 years and over at work","Number","144383"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","All departure times","Children at school aged between 5 and 12 years","Number","99170"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","All departure times","Students at school or college aged between 13 and 18 years","Number","66003"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","All departure times","Students at school or college aged 19 years and over","Number","37128"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","Before 06:30","All persons","Number","6858"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","Before 06:30","Population aged 15 years and over at work","Number","6554"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","Before 06:30","Children at school aged between 5 and 12 years","Number","49"
