year,sex,means_of_travel,aggregate_town_or_rural_area,time_leaving_home,age,edu_level,value
2011,Male,walking,Aggregate Town Area,Before 06:30,>=15,junior-cert,3621
2011,Male,walking,Aggregate Town Area,Before 06:30,5 to 12,primary-school,23
2011,Male,walking,Aggregate Town Area,Before 06:30,13 to 18,leaving-cert,22
2011,Male,walking,Aggregate Town Area,Before 06:30,>=19,university,118
2011,Male,walking,Aggregate Town Area,06:30 - 07:00,>=15,junior-cert,3983
2011,Male,walking,Aggregate Town Area,06:30 - 07:00,5 to 12,primary-school,30
2011,Male,walking,Aggregate Town Area,06:30 - 07:00,13 to 18,leaving-cert,22
2011,Male,walking,Aggregate Town Area,06:30 - 07:00,>=19,university,149
2011,Male,walking,Aggregate Town Area,07:01 - 07:30,>=15,junior-cert,4170
2011,Male,walking,Aggregate Town Area,07:01 - 07:30,5 to 12,primary-school,155
2011,Male,walking,Aggregate Town Area,07:01 - 07:30,13 to 18,leaving-cert,202
2011,Male,walking,Aggregate Town Area,07:01 - 07:30,>=19,university,250
2011,Male,walking,Aggregate Town Area,07:31 - 08:00,>=15,junior-cert,7283
2011,Male,walking,Aggregate Town Area,07:31 - 08:00,5 to 12,primary-school,887
2011,Male,walking,Aggregate Town Area,07:31 - 08:00,13 to 18,leaving-cert,1882
2011,Male,walking,Aggregate Town Area,07:31 - 08:00,>=19,university,641
2011,Male,walking,Aggregate Town Area,08:01 - 08:30,>=15,junior-cert,8330
2011,Male,walking,Aggregate Town Area,08:01 - 08:30,5 to 12,primary-school,10406
2011,Male,walking,Aggregate Town Area,08:01 - 08:30,13 to 18,leaving-cert,12870
2011,Male,walking,Aggregate Town Area,08:01 - 08:30,>=19,university,2452
2011,Male,walking,Aggregate Town Area,08:31 - 09:00,>=15,junior-cert,10765
2011,Male,walking,Aggregate Town Area,08:31 - 09:00,5 to 12,primary-school,32768
2011,Male,walking,Aggregate Town Area,08:31 - 09:00,13 to 18,leaving-cert,16925
2011,Male,walking,Aggregate Town Area,08:31 - 09:00,>=19,university,7040
2011,Male,walking,Aggregate Town Area,09:01 - 09:30,>=15,junior-cert,4626
2011,Male,walking,Aggregate Town Area,09:01 - 09:30,5 to 12,primary-school,5287
2011,Male,walking,Aggregate Town Area,09:01 - 09:30,13 to 18,leaving-cert,971
2011,Male,walking,Aggregate Town Area,09:01 - 09:30,>=19,university,3033
2011,Male,walking,Aggregate Town Area,After 09:30,>=15,junior-cert,13882
2011,Male,walking,Aggregate Town Area,After 09:30,5 to 12,primary-school,96
2011,Male,walking,Aggregate Town Area,After 09:30,13 to 18,leaving-cert,354
2011,Male,walking,Aggregate Town Area,After 09:30,>=19,university,4244
2011,Male,walking,Aggregate Town Area,na,>=15,junior-cert,924
