year,sex,means_of_travel,town_size,age,edu_level,value
2011,Male,walking,Dublin City and suburbs,>=15,junior-cert,25517
2011,Male,walking,Dublin City and suburbs,5 to 12,primary-school,21769
2011,Male,walking,Dublin City and suburbs,13 to 18,leaving-cert,12174
2011,Male,walking,Dublin City and suburbs,>=19,university,6712
2011,Male,walking,Cork City and suburbs,>=15,junior-cert,4566
2011,Male,walking,Cork City and suburbs,5 to 12,primary-school,2809
2011,Male,walking,Cork City and suburbs,13 to 18,leaving-cert,1975
2011,Male,walking,Cork City and suburbs,>=19,university,2174
2011,Male,walking,Limerick City and suburbs,>=15,junior-cert,1910
2011,Male,walking,Limerick City and suburbs,5 to 12,primary-school,1490
2011,Male,walking,Limerick City and suburbs,13 to 18,leaving-cert,924
2011,Male,walking,Limerick City and suburbs,>=19,university,1236
2011,Male,walking,Galway City and suburbs,>=15,junior-cert,2050
2011,Male,walking,Galway City and suburbs,5 to 12,primary-school,592
2011,Male,walking,Galway City and suburbs,13 to 18,leaving-cert,412
2011,Male,walking,Galway City and suburbs,>=19,university,1634
2011,Male,walking,Waterford City and suburbs,>=15,junior-cert,1062
2011,Male,walking,Waterford City and suburbs,5 to 12,primary-school,603
2011,Male,walking,Waterford City and suburbs,13 to 18,leaving-cert,471
2011,Male,walking,Waterford City and suburbs,>=19,university,498
2011,Male,walking,"Towns 10,000 population and over",>=15,junior-cert,12806
2011,Male,walking,"Towns 10,000 population and over",5 to 12,primary-school,11732
2011,Male,walking,"Towns 10,000 population and over",13 to 18,leaving-cert,9393
2011,Male,walking,"Towns 10,000 population and over",>=19,university,4100
2011,Male,walking,"Towns 5,000 - 9,999 population",>=15,junior-cert,4788
2011,Male,walking,"Towns 5,000 - 9,999 population",5 to 12,primary-school,5796
2011,Male,walking,"Towns 5,000 - 9,999 population",13 to 18,leaving-cert,4551
2011,Male,walking,"Towns 5,000 - 9,999 population",>=19,university,868
2011,Male,walking,"Towns 2,000 - 4,999 population",>=15,junior-cert,3839
2011,Male,walking,"Towns 2,000 - 4,999 population",5 to 12,primary-school,4022
2011,Male,walking,"Towns 2,000 - 4,999 population",13 to 18,leaving-cert,2996
2011,Male,walking,"Towns 2,000 - 4,999 population",>=19,university,675
2011,Male,walking,"Towns 1,500 - 1,999 population",>=15,junior-cert,1046
2011,Male,walking,"Towns 1,500 - 1,999 population",5 to 12,primary-school,1252
2011,Male,walking,"Towns 1,500 - 1,999 population",13 to 18,leaving-cert,556
2011,Male,walking,"Towns 1,500 - 1,999 population",>=19,university,220
2011,Male,walking,"Towns 1,000 - 1,499 population",>=15,junior-cert,1253
2011,Male,walking,"Towns 1,000 - 1,499 population",5 to 12,primary-school,1818
2011,Male,walking,"Towns 1,000 - 1,499 population",13 to 18,leaving-cert,909
2011,Male,walking,"Towns 1,000 - 1,499 population",>=19,university,227
2011,Male,walking,Total Towns 500 - 999 population,>=15,junior-cert,1462
2011,Male,walking,Total Towns 500 - 999 population,5 to 12,primary-school,2646
2011,Male,walking,Total Towns 500 - 999 population,13 to 18,leaving-cert,750
2011,Male,walking,Total Towns 500 - 999 population,>=19,university,367
2011,Male,walking,Towns under 500 population but with at least 50 inhabited houses,>=15,junior-cert,1176
2011,Male,walking,Towns under 500 population but with at least 50 inhabited houses,5 to 12,primary-school,2377
2011,Male,walking,Towns under 500 population but with at least 50 inhabited houses,13 to 18,leaving-cert,274
2011,Male,walking,Towns under 500 population but with at least 50 inhabited houses,>=19,university,352
2011,Male,walking,Remainder of country,>=15,junior-cert,12239
2011,Male,walking,Remainder of country,5 to 12,primary-school,3080
2011,Male,walking,Remainder of country,13 to 18,leaving-cert,2058
2011,Male,walking,Remainder of country,>=19,university,5330
2011,Male,bike,Dublin City and suburbs,>=15,junior-cert,18534
2011,Male,bike,Dublin City and suburbs,5 to 12,primary-school,1824
2011,Male,bike,Dublin City and suburbs,13 to 18,leaving-cert,3870
2011,Male,bike,Dublin City and suburbs,>=19,university,3494
2011,Male,bike,Cork City and suburbs,>=15,junior-cert,1186
2011,Male,bike,Cork City and suburbs,5 to 12,primary-school,49
2011,Male,bike,Cork City and suburbs,13 to 18,leaving-cert,120
2011,Male,bike,Cork City and suburbs,>=19,university,450
2011,Male,bike,Limerick City and suburbs,>=15,junior-cert,605
2011,Male,bike,Limerick City and suburbs,5 to 12,primary-school,50
2011,Male,bike,Limerick City and suburbs,13 to 18,leaving-cert,172
2011,Male,bike,Limerick City and suburbs,>=19,university,227
2011,Male,bike,Galway City and suburbs,>=15,junior-cert,924
2011,Male,bike,Galway City and suburbs,5 to 12,primary-school,70
2011,Male,bike,Galway City and suburbs,13 to 18,leaving-cert,131
2011,Male,bike,Galway City and suburbs,>=19,university,432
2011,Male,bike,Waterford City and suburbs,>=15,junior-cert,298
2011,Male,bike,Waterford City and suburbs,5 to 12,primary-school,11
2011,Male,bike,Waterford City and suburbs,13 to 18,leaving-cert,19
2011,Male,bike,Waterford City and suburbs,>=19,university,70
2011,Male,bike,"Towns 10,000 population and over",>=15,junior-cert,3659
2011,Male,bike,"Towns 10,000 population and over",5 to 12,primary-school,898
2011,Male,bike,"Towns 10,000 population and over",13 to 18,leaving-cert,1058
2011,Male,bike,"Towns 10,000 population and over",>=19,university,518
2011,Male,bike,"Towns 5,000 - 9,999 population",>=15,junior-cert,1006
2011,Male,bike,"Towns 5,000 - 9,999 population",5 to 12,primary-school,436
2011,Male,bike,"Towns 5,000 - 9,999 population",13 to 18,leaving-cert,253
2011,Male,bike,"Towns 5,000 - 9,999 population",>=19,university,89
2011,Male,bike,"Towns 2,000 - 4,999 population",>=15,junior-cert,564
2011,Male,bike,"Towns 2,000 - 4,999 population",5 to 12,primary-school,188
2011,Male,bike,"Towns 2,000 - 4,999 population",13 to 18,leaving-cert,74
2011,Male,bike,"Towns 2,000 - 4,999 population",>=19,university,75
2011,Male,bike,"Towns 1,500 - 1,999 population",>=15,junior-cert,127
2011,Male,bike,"Towns 1,500 - 1,999 population",5 to 12,primary-school,59
2011,Male,bike,"Towns 1,500 - 1,999 population",13 to 18,leaving-cert,14
2011,Male,bike,"Towns 1,500 - 1,999 population",>=19,university,23
2011,Male,bike,"Towns 1,000 - 1,499 population",>=15,junior-cert,166
2011,Male,bike,"Towns 1,000 - 1,499 population",5 to 12,primary-school,82
2011,Male,bike,"Towns 1,000 - 1,499 population",13 to 18,leaving-cert,25
2011,Male,bike,"Towns 1,000 - 1,499 population",>=19,university,21
2011,Male,bike,Total Towns 500 - 999 population,>=15,junior-cert,163
2011,Male,bike,Total Towns 500 - 999 population,5 to 12,primary-school,118
2011,Male,bike,Total Towns 500 - 999 population,13 to 18,leaving-cert,27
2011,Male,bike,Total Towns 500 - 999 population,>=19,university,42
2011,Male,bike,Towns under 500 population but with at least 50 inhabited houses,>=15,junior-cert,171
2011,Male,bike,Towns under 500 population but with at least 50 inhabited houses,5 to 12,primary-school,85
2011,Male,bike,Towns under 500 population but with at least 50 inhabited houses,13 to 18,leaving-cert,21
2011,Male,bike,Towns under 500 population but with at least 50 inhabited houses,>=19,university,40
2011,Male,bike,Remainder of country,>=15,junior-cert,1672
2011,Male,bike,Remainder of country,5 to 12,primary-school,587
2011,Male,bike,Remainder of country,13 to 18,leaving-cert,279
2011,Male,bike,Remainder of country,>=19,university,734
2011,Male,bus,Dublin City and suburbs,>=15,junior-cert,24820
2011,Male,bus,Dublin City and suburbs,5 to 12,primary-school,3182
2011,Male,bus,Dublin City and suburbs,13 to 18,leaving-cert,7653
2011,Male,bus,Dublin City and suburbs,>=19,university,9320
2011,Male,bus,Cork City and suburbs,>=15,junior-cert,1990
2011,Male,bus,Cork City and suburbs,5 to 12,primary-school,378
2011,Male,bus,Cork City and suburbs,13 to 18,leaving-cert,1106
2011,Male,bus,Cork City and suburbs,>=19,university,847
2011,Male,bus,Limerick City and suburbs,>=15,junior-cert,525
2011,Male,bus,Limerick City and suburbs,5 to 12,primary-school,188
2011,Male,bus,Limerick City and suburbs,13 to 18,leaving-cert,522
2011,Male,bus,Limerick City and suburbs,>=19,university,384
2011,Male,bus,Galway City and suburbs,>=15,junior-cert,634
2011,Male,bus,Galway City and suburbs,5 to 12,primary-school,221
2011,Male,bus,Galway City and suburbs,13 to 18,leaving-cert,550
2011,Male,bus,Galway City and suburbs,>=19,university,314
2011,Male,bus,Waterford City and suburbs,>=15,junior-cert,174
2011,Male,bus,Waterford City and suburbs,5 to 12,primary-school,167
2011,Male,bus,Waterford City and suburbs,13 to 18,leaving-cert,229
2011,Male,bus,Waterford City and suburbs,>=19,university,125
2011,Male,bus,"Towns 10,000 population and over",>=15,junior-cert,4928
2011,Male,bus,"Towns 10,000 population and over",5 to 12,primary-school,3502
2011,Male,bus,"Towns 10,000 population and over",13 to 18,leaving-cert,3301
