year,sex,home,travelling_time,age_range,edu_status,value
2011,Male,Carlow,0.125,15-66,working,2985
2011,Male,Carlow,0.125,5-12,at primary school,2226
2011,Male,Carlow,0.125,13-18,at secondary school,863
2011,Male,Carlow,0.125,19-66,at university,440
2011,Male,Carlow,0.275,15-66,working,2344
2011,Male,Carlow,0.275,5-12,at primary school,635
2011,Male,Carlow,0.275,13-18,at secondary school,709
2011,Male,Carlow,0.275,19-66,at university,372
2011,Male,Carlow,0.375,15-66,working,1356
2011,Male,Carlow,0.375,5-12,at primary school,152
2011,Male,Carlow,0.375,13-18,at secondary school,199
2011,Male,Carlow,0.375,19-66,at university,123
2011,Male,Carlow,0.525,15-66,working,582
2011,Male,Carlow,0.525,5-12,at primary school,19
2011,Male,Carlow,0.525,13-18,at secondary school,35
2011,Male,Carlow,0.525,19-66,at university,23
2011,Male,Carlow,1.25,15-66,working,959
2011,Male,Carlow,1.25,5-12,at primary school,15
2011,Male,Carlow,1.25,13-18,at secondary school,28
2011,Male,Carlow,1.25,19-66,at university,44
2011,Male,Carlow,1.3,15-66,working,526
2011,Male,Carlow,1.3,5-12,at primary school,6
2011,Male,Carlow,1.3,13-18,at secondary school,11
2011,Male,Carlow,1.3,19-66,at university,63
2011,Male,Dublin City,0.125,15-66,working,16522
2011,Male,Dublin City,0.125,5-12,at primary school,10807
2011,Male,Dublin City,0.125,13-18,at secondary school,4573
2011,Male,Dublin City,0.125,19-66,at university,2638
2011,Male,Dublin City,0.275,15-66,working,37515
2011,Male,Dublin City,0.275,5-12,at primary school,6487
2011,Male,Dublin City,0.275,13-18,at secondary school,5732
2011,Male,Dublin City,0.275,19-66,at university,5338
2011,Male,Dublin City,0.375,15-66,working,28856
2011,Male,Dublin City,0.375,5-12,at primary school,1259
2011,Male,Dublin City,0.375,13-18,at secondary school,2104
2011,Male,Dublin City,0.375,19-66,at university,4160
2011,Male,Dublin City,0.525,15-66,working,8143
2011,Male,Dublin City,0.525,5-12,at primary school,172
2011,Male,Dublin City,0.525,13-18,at secondary school,400
2011,Male,Dublin City,0.525,19-66,at university,1196
2011,Male,Dublin City,1.25,15-66,working,5768
2011,Male,Dublin City,1.25,5-12,at primary school,119
2011,Male,Dublin City,1.25,13-18,at secondary school,234
2011,Male,Dublin City,1.25,19-66,at university,1223
2011,Male,Dublin City,1.3,15-66,working,1267
2011,Male,Dublin City,1.3,5-12,at primary school,25
2011,Male,Dublin City,1.3,13-18,at secondary school,59
2011,Male,Dublin City,1.3,19-66,at university,296
2011,Male,Dún Laoghaire-Rathdown,0.125,15-66,working,6028
2011,Male,Dún Laoghaire-Rathdown,0.125,5-12,at primary school,5316
2011,Male,Dún Laoghaire-Rathdown,0.125,13-18,at secondary school,2024
2011,Male,Dún Laoghaire-Rathdown,0.125,19-66,at university,992
2011,Male,Dún Laoghaire-Rathdown,0.275,15-66,working,13562
2011,Male,Dún Laoghaire-Rathdown,0.275,5-12,at primary school,3087
2011,Male,Dún Laoghaire-Rathdown,0.275,13-18,at secondary school,3057
2011,Male,Dún Laoghaire-Rathdown,0.275,19-66,at university,1852
2011,Male,Dún Laoghaire-Rathdown,0.375,15-66,working,13112
2011,Male,Dún Laoghaire-Rathdown,0.375,5-12,at primary school,777
2011,Male,Dún Laoghaire-Rathdown,0.375,13-18,at secondary school,1609
2011,Male,Dún Laoghaire-Rathdown,0.375,19-66,at university,1799
2011,Male,Dún Laoghaire-Rathdown,0.525,15-66,working,4707
2011,Male,Dún Laoghaire-Rathdown,0.525,5-12,at primary school,117
2011,Male,Dún Laoghaire-Rathdown,0.525,13-18,at secondary school,325
2011,Male,Dún Laoghaire-Rathdown,0.525,19-66,at university,688
2011,Male,Dún Laoghaire-Rathdown,1.25,15-66,working,2704
2011,Male,Dún Laoghaire-Rathdown,1.25,5-12,at primary school,56
2011,Male,Dún Laoghaire-Rathdown,1.25,13-18,at secondary school,146
2011,Male,Dún Laoghaire-Rathdown,1.25,19-66,at university,553
2011,Male,Dún Laoghaire-Rathdown,1.3,15-66,working,453
2011,Male,Dún Laoghaire-Rathdown,1.3,5-12,at primary school,12
2011,Male,Dún Laoghaire-Rathdown,1.3,13-18,at secondary school,13
2011,Male,Dún Laoghaire-Rathdown,1.3,19-66,at university,111
2011,Male,Fingal,0.125,15-66,working,8446
2011,Male,Fingal,0.125,5-12,at primary school,9820
2011,Male,Fingal,0.125,13-18,at secondary school,3493
2011,Male,Fingal,0.125,19-66,at university,264
2011,Male,Fingal,0.275,15-66,working,15608
2011,Male,Fingal,0.275,5-12,at primary school,4438
2011,Male,Fingal,0.275,13-18,at secondary school,3104
2011,Male,Fingal,0.275,19-66,at university,778
2011,Male,Fingal,0.375,15-66,working,16738
2011,Male,Fingal,0.375,5-12,at primary school,929
2011,Male,Fingal,0.375,13-18,at secondary school,1262
2011,Male,Fingal,0.375,19-66,at university,1334
2011,Male,Fingal,0.525,15-66,working,7061
2011,Male,Fingal,0.525,5-12,at primary school,188
2011,Male,Fingal,0.525,13-18,at secondary school,457
2011,Male,Fingal,0.525,19-66,at university,902
2011,Male,Fingal,1.25,15-66,working,6658
2011,Male,Fingal,1.25,5-12,at primary school,184
2011,Male,Fingal,1.25,13-18,at secondary school,404
2011,Male,Fingal,1.25,19-66,at university,1097
2011,Male,Fingal,1.3,15-66,working,1385
2011,Male,Fingal,1.3,5-12,at primary school,53
2011,Male,Fingal,1.3,13-18,at secondary school,124
2011,Male,Fingal,1.3,19-66,at university,458
2011,Male,South Dublin,0.125,15-66,working,7343
2011,Male,South Dublin,0.125,5-12,at primary school,8917
2011,Male,South Dublin,0.125,13-18,at secondary school,3457
2011,Male,South Dublin,0.125,19-66,at university,362
2011,Male,South Dublin,0.275,15-66,working,17379
2011,Male,South Dublin,0.275,5-12,at primary school,4809
2011,Male,South Dublin,0.275,13-18,at secondary school,3722
2011,Male,South Dublin,0.275,19-66,at university,1149
2011,Male,South Dublin,0.375,15-66,working,15084
2011,Male,South Dublin,0.375,5-12,at primary school,988
2011,Male,South Dublin,0.375,13-18,at secondary school,1279
2011,Male,South Dublin,0.375,19-66,at university,1500
2011,Male,South Dublin,0.525,15-66,working,4791
2011,Male,South Dublin,0.525,5-12,at primary school,176
2011,Male,South Dublin,0.525,13-18,at secondary school,291
2011,Male,South Dublin,0.525,19-66,at university,708
2011,Male,South Dublin,1.25,15-66,working,3723
2011,Male,South Dublin,1.25,5-12,at primary school,137
2011,Male,South Dublin,1.25,13-18,at secondary school,270
2011,Male,South Dublin,1.25,19-66,at university,717
2011,Male,South Dublin,1.3,15-66,working,765
2011,Male,South Dublin,1.3,5-12,at primary school,29
2011,Male,South Dublin,1.3,13-18,at secondary school,68
2011,Male,South Dublin,1.3,19-66,at university,273
2011,Male,Kildare,0.125,15-66,working,8347
2011,Male,Kildare,0.125,5-12,at primary school,8702
2011,Male,Kildare,0.125,13-18,at secondary school,2717
2011,Male,Kildare,0.125,19-66,at university,687
2011,Male,Kildare,0.275,15-66,working,10207
2011,Male,Kildare,0.275,5-12,at primary school,3644
2011,Male,Kildare,0.275,13-18,at secondary school,3306
2011,Male,Kildare,0.275,19-66,at university,831
2011,Male,Kildare,0.375,15-66,working,10166
2011,Male,Kildare,0.375,5-12,at primary school,641
2011,Male,Kildare,0.375,13-18,at secondary school,932
2011,Male,Kildare,0.375,19-66,at university,562
2011,Male,Kildare,0.525,15-66,working,4972
2011,Male,Kildare,0.525,5-12,at primary school,105
2011,Male,Kildare,0.525,13-18,at secondary school,193
2011,Male,Kildare,0.525,19-66,at university,449
2011,Male,Kildare,1.25,15-66,working,5999
2011,Male,Kildare,1.25,5-12,at primary school,65
2011,Male,Kildare,1.25,13-18,at secondary school,187
2011,Male,Kildare,1.25,19-66,at university,739
2011,Male,Kildare,1.3,15-66,working,1527
2011,Male,Kildare,1.3,5-12,at primary school,18
2011,Male,Kildare,1.3,13-18,at secondary school,79
2011,Male,Kildare,1.3,19-66,at university,311
2011,Male,Kilkenny,0.125,15-66,working,5382
