"Statistic","CensusYear","Towns with a Population of over 1,500","UNIT","VALUE"
"Total residents with a fixed place of work (A)","2016","Dublin City and suburbs","Number","422354"
"Total residents with a fixed place of work (A)","2016","Cork City and suburbs","Number","72747"
"Total residents with a fixed place of work (A)","2016","Limerick City and suburbs","Number","28543"
"Total residents with a fixed place of work (A)","2016","Galway City and suburbs","Number","27836"
"Total residents with a fixed place of work (A)","2016","Waterford City and suburbs","Number","16610"
"Total residents with a fixed place of work (A)","2016","Towns 1,500 population and over","Number","1018138"
"Total residents with a fixed place of work (A)","2016","Drogheda","Number","13062"
"Total residents with a fixed place of work (A)","2016","Dundalk","Number","11594"
"Total residents with a fixed place of work (A)","2016","Swords","Number","16030"
"Total residents with a fixed place of work (A)","2016","Bray","Number","11418"
"Total residents with a fixed place of work (A)","2016","Navan (An Uaimh)","Number","9823"
"Total residents with a fixed place of work (A)","2016","Ennis","Number","8472"
"Total residents with a fixed place of work (A)","2016","Kilkenny","Number","9059"
"Total residents with a fixed place of work (A)","2016","Tralee","Number","6625"
"Total residents with a fixed place of work (A)","2016","Carlow","Number","6765"
"Total residents with a fixed place of work (A)","2016","Droichead Nua","Number","7863"
"Total residents with a fixed place of work (A)","2016","Naas","Number","8516"
"Total residents with a fixed place of work (A)","2016","Athlone","Number","6609"
"Total residents with a fixed place of work (A)","2016","Portlaoise","Number","6391"
"Total residents with a fixed place of work (A)","2016","Mullingar","Number","6392"
"Total residents with a fixed place of work (A)","2016","Wexford","Number","6386"
"Total residents with a fixed place of work (A)","2016","Balbriggan","Number","6733"
"Total residents with a fixed place of work (A)","2016","Letterkenny","Number","6422"
"Total residents with a fixed place of work (A)","2016","Celbridge","Number","7937"
"Total residents with a fixed place of work (A)","2016","Sligo","Number","5664"
"Total residents with a fixed place of work (A)","2016","Clonmel","Number","5553"
"Total residents with a fixed place of work (A)","2016","Greystones","Number","6661"
"Total residents with a fixed place of work (A)","2016","Malahide","Number","6289"
"Total residents with a fixed place of work (A)","2016","Leixlip","Number","6049"
"Total residents with a fixed place of work (A)","2016","Carrigaline","Number","5997"
"Total residents with a fixed place of work (A)","2016","Tullamore","Number","4312"
"Total residents with a fixed place of work (A)","2016","Killarney","Number","4377"
"Total residents with a fixed place of work (A)","2016","Arklow","Number","3849"
"Total residents with a fixed place of work (A)","2016","Maynooth","Number","5430"
"Total residents with a fixed place of work (A)","2016","Cobh","Number","4308"
"Total residents with a fixed place of work (A)","2016","Castlebar","Number","3940"
"Total residents with a fixed place of work (A)","2016","Midleton","Number","4286"
"Total residents with a fixed place of work (A)","2016","Mallow","Number","3864"
"Total residents with a fixed place of work (A)","2016","Ashbourne","Number","4960"
"Total residents with a fixed place of work (A)","2016","Ballina","Number","2967"
"Total residents with a fixed place of work (A)","2016","Laytown-Bettystown-Mornington","Number","3815"
"Total residents with a fixed place of work (A)","2016","Enniscorthy","Number","2996"
"Total residents with a fixed place of work (A)","2016","Wicklow","Number","3624"
"Total residents with a fixed place of work (A)","2016","Tramore","Number","3320"
"Total residents with a fixed place of work (A)","2016","Cavan","Number","3193"
"Total residents with a fixed place of work (A)","2016","Athy","Number","2436"
"Total residents with a fixed place of work (A)","2016","Shannon","Number","3570"
"Total residents with a fixed place of work (A)","2016","Skerries","Number","3580"
"Total residents with a fixed place of work (A)","2016","Longford","Number","2434"
"Total residents with a fixed place of work (A)","2016","Dungarvan","Number","2701"
"Total residents with a fixed place of work (A)","2016","Portmarnock","Number","3482"
"Total residents with a fixed place of work (A)","2016","Rush","Number","3560"
"Total residents with a fixed place of work (A)","2016","Gorey","Number","2999"
"Total residents with a fixed place of work (A)","2016","Ratoath","Number","3585"
"Total residents with a fixed place of work (A)","2016","Nenagh","Number","2715"
"Total residents with a fixed place of work (A)","2016","Trim","Number","3033"
"Total residents with a fixed place of work (A)","2016","Tuam","Number","2634"
"Total residents with a fixed place of work (A)","2016","New Ross","Number","2307"
"Total residents with a fixed place of work (A)","2016","Kildare","Number","2807"
"Total residents with a fixed place of work (A)","2016","Thurles","Number","2254"
"Total residents with a fixed place of work (A)","2016","Youghal","Number","2336"
"Total residents with a fixed place of work (A)","2016","Portarlington","Number","2462"
"Total residents with a fixed place of work (A)","2016","Monaghan","Number","2620"
"Total residents with a fixed place of work (A)","2016","Lusk","Number","2935"
"Total residents with a fixed place of work (A)","2016","Edenderry","Number","2162"
"Total residents with a fixed place of work (A)","2016","Dunboyne","Number","2737"
"Total residents with a fixed place of work (A)","2016","Buncrana","Number","1812"
"Total residents with a fixed place of work (A)","2016","Donabate","Number","2895"
"Total residents with a fixed place of work (A)","2016","Clane","Number","2768"
"Total residents with a fixed place of work (A)","2016","Ballinasloe","Number","1755"
"Total residents with a fixed place of work (A)","2016","Bandon","Number","2354"
"Total residents with a fixed place of work (A)","2016","Fermoy","Number","2172"
"Total residents with a fixed place of work (A)","2016","Newcastle West","Number","2076"
"Total residents with a fixed place of work (A)","2016","Westport","Number","2129"
"Total residents with a fixed place of work (A)","2016","Carrick-on-Suir","Number","1427"
"Total residents with a fixed place of work (A)","2016","Kells (Ceanannas)","Number","1862"
"Total residents with a fixed place of work (A)","2016","Birr","Number","1214"
"Total residents with a fixed place of work (A)","2016","Kinsealy-Drinan","Number","2965"
"Total residents with a fixed place of work (A)","2016","Passage West","Number","2167"
"Total residents with a fixed place of work (A)","2016","Roscommon","Number","1818"
"Total residents with a fixed place of work (A)","2016","Kilcock","Number","2425"
"Total residents with a fixed place of work (A)","2016","Roscrea","Number","1506"
"Total residents with a fixed place of work (A)","2016","Tipperary","Number","1261"
