"Statistic","CensusYear","Age Group","Sex","Travelling Time","UNIT","VALUE"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","All ages","Both sexes","Total time travelling","Number","1695074"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","All ages","Both sexes","< ¼ hour","Number","427993"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","All ages","Both sexes","¼ hour - < ½ hour","Number","520128"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","All ages","Both sexes","½ hour - < ¾ hour","Number","352362"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","All ages","Both sexes","¾ hour - < 1 hour","Number","123298"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","All ages","Both sexes","1 hour - < 1½ hours","Number","112701"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","All ages","Both sexes","1½ hours and over","Number","39764"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","All ages","Both sexes","Not stated","Number","118828"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","All ages","Male","Total time travelling","Number","879897"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","All ages","Male","< ¼ hour","Number","209852"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","All ages","Male","¼ hour - < ½ hour","Number","252017"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","All ages","Male","½ hour - < ¾ hour","Number","186174"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","All ages","Male","¾ hour - < 1 hour","Number","63975"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","All ages","Male","1 hour - < 1½ hours","Number","65991"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","All ages","Male","1½ hours and over","Number","26009"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","All ages","Male","Not stated","Number","75879"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","All ages","Female","Total time travelling","Number","815177"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","All ages","Female","< ¼ hour","Number","218141"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","All ages","Female","¼ hour - < ½ hour","Number","268111"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","All ages","Female","½ hour - < ¾ hour","Number","166188"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","All ages","Female","¾ hour - < 1 hour","Number","59323"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","All ages","Female","1 hour - < 1½ hours","Number","46710"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","All ages","Female","1½ hours and over","Number","13755"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","All ages","Female","Not stated","Number","42949"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","15 - 19 years","Both sexes","Total time travelling","Number","13615"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","15 - 19 years","Both sexes","< ¼ hour","Number","4037"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","15 - 19 years","Both sexes","¼ hour - < ½ hour","Number","4135"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","15 - 19 years","Both sexes","½ hour - < ¾ hour","Number","2236"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","15 - 19 years","Both sexes","¾ hour - < 1 hour","Number","546"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","15 - 19 years","Both sexes","1 hour - < 1½ hours","Number","591"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","15 - 19 years","Both sexes","1½ hours and over","Number","233"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","15 - 19 years","Both sexes","Not stated","Number","1837"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","15 - 19 years","Male","Total time travelling","Number","7701"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","15 - 19 years","Male","< ¼ hour","Number","2266"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","15 - 19 years","Male","¼ hour - < ½ hour","Number","2262"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","15 - 19 years","Male","½ hour - < ¾ hour","Number","1301"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","15 - 19 years","Male","¾ hour - < 1 hour","Number","328"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","15 - 19 years","Male","1 hour - < 1½ hours","Number","357"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","15 - 19 years","Male","1½ hours and over","Number","165"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","15 - 19 years","Male","Not stated","Number","1022"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","15 - 19 years","Female","Total time travelling","Number","5914"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","15 - 19 years","Female","< ¼ hour","Number","1771"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","15 - 19 years","Female","¼ hour - < ½ hour","Number","1873"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","15 - 19 years","Female","½ hour - < ¾ hour","Number","935"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","15 - 19 years","Female","¾ hour - < 1 hour","Number","218"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","15 - 19 years","Female","1 hour - < 1½ hours","Number","234"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","15 - 19 years","Female","1½ hours and over","Number","68"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","15 - 19 years","Female","Not stated","Number","815"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","20 - 24 years","Both sexes","Total time travelling","Number","112069"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","20 - 24 years","Both sexes","< ¼ hour","Number","31329"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","20 - 24 years","Both sexes","¼ hour - < ½ hour","Number","35778"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","20 - 24 years","Both sexes","½ hour - < ¾ hour","Number","21700"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","20 - 24 years","Both sexes","¾ hour - < 1 hour","Number","6979"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","20 - 24 years","Both sexes","1 hour - < 1½ hours","Number","6642"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","20 - 24 years","Both sexes","1½ hours and over","Number","2375"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","20 - 24 years","Both sexes","Not stated","Number","7266"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","20 - 24 years","Male","Total time travelling","Number","52689"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","20 - 24 years","Male","< ¼ hour","Number","14166"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","20 - 24 years","Male","¼ hour - < ½ hour","Number","15811"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","20 - 24 years","Male","½ hour - < ¾ hour","Number","10429"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","20 - 24 years","Male","¾ hour - < 1 hour","Number","3244"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","20 - 24 years","Male","1 hour - < 1½ hours","Number","3515"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","20 - 24 years","Male","1½ hours and over","Number","1429"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","20 - 24 years","Male","Not stated","Number","4095"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","20 - 24 years","Female","Total time travelling","Number","59380"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","20 - 24 years","Female","< ¼ hour","Number","17163"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","20 - 24 years","Female","¼ hour - < ½ hour","Number","19967"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","20 - 24 years","Female","½ hour - < ¾ hour","Number","11271"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","20 - 24 years","Female","¾ hour - < 1 hour","Number","3735"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","20 - 24 years","Female","1 hour - < 1½ hours","Number","3127"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","20 - 24 years","Female","1½ hours and over","Number","946"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","20 - 24 years","Female","Not stated","Number","3171"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","25 - 29 years","Both sexes","Total time travelling","Number","238182"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","25 - 29 years","Both sexes","< ¼ hour","Number","59809"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","25 - 29 years","Both sexes","¼ hour - < ½ hour","Number","75419"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","25 - 29 years","Both sexes","½ hour - < ¾ hour","Number","51059"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","25 - 29 years","Both sexes","¾ hour - < 1 hour","Number","17289"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","25 - 29 years","Both sexes","1 hour - < 1½ hours","Number","16313"
