year,age_group,sex,travelling_time,value
2011,15 - 19 years,Male,0.125,2266
2011,15 - 19 years,Male,0.275,2262
2011,15 - 19 years,Male,0.375,1301
2011,15 - 19 years,Male,0.525,328
2011,15 - 19 years,Male,1.25,357
2011,15 - 19 years,Male,1.3,165
2011,15 - 19 years,Female,0.125,1771
2011,15 - 19 years,Female,0.275,1873
2011,15 - 19 years,Female,0.375,935
2011,15 - 19 years,Female,0.525,218
2011,15 - 19 years,Female,1.25,234
2011,15 - 19 years,Female,1.3,68
2011,20 - 24 years,Male,0.125,14166
2011,20 - 24 years,Male,0.275,15811
2011,20 - 24 years,Male,0.375,10429
2011,20 - 24 years,Male,0.525,3244
2011,20 - 24 years,Male,1.25,3515
2011,20 - 24 years,Male,1.3,1429
2011,20 - 24 years,Female,0.125,17163
2011,20 - 24 years,Female,0.275,19967
2011,20 - 24 years,Female,0.375,11271
2011,20 - 24 years,Female,0.525,3735
2011,20 - 24 years,Female,1.25,3127
2011,20 - 24 years,Female,1.3,946
2011,25 - 29 years,Male,0.125,26944
2011,25 - 29 years,Male,0.275,33354
2011,25 - 29 years,Male,0.375,23698
2011,25 - 29 years,Male,0.525,7456
2011,25 - 29 years,Male,1.25,8129
2011,25 - 29 years,Male,1.3,3021
2011,25 - 29 years,Female,0.125,32865
2011,25 - 29 years,Female,0.275,42065
2011,25 - 29 years,Female,0.375,27361
2011,25 - 29 years,Female,0.525,9833
2011,25 - 29 years,Female,1.25,8184
2011,25 - 29 years,Female,1.3,2332
2011,30 - 34 years,Male,0.125,31183
2011,30 - 34 years,Male,0.275,40300
2011,30 - 34 years,Male,0.375,30747
2011,30 - 34 years,Male,0.525,11251
2011,30 - 34 years,Male,1.25,11811
2011,30 - 34 years,Male,1.3,4319
2011,30 - 34 years,Female,0.125,31521
2011,30 - 34 years,Female,0.275,43883
2011,30 - 34 years,Female,0.375,31186
2011,30 - 34 years,Female,0.525,12452
2011,30 - 34 years,Female,1.25,10228
2011,30 - 34 years,Female,1.3,2939
2011,35 - 39 years,Male,0.125,28069
2011,35 - 39 years,Male,0.275,36488
2011,35 - 39 years,Male,0.375,29679
2011,35 - 39 years,Male,0.525,11141
2011,35 - 39 years,Male,1.25,11845
2011,35 - 39 years,Male,1.3,4666
2011,35 - 39 years,Female,0.125,27309
2011,35 - 39 years,Female,0.275,36551
2011,35 - 39 years,Female,0.375,25942
2011,35 - 39 years,Female,0.525,9901
2011,35 - 39 years,Female,1.25,8232
2011,35 - 39 years,Female,1.3,2470
2011,40 - 44 years,Male,0.125,26036
2011,40 - 44 years,Male,0.275,32669
2011,40 - 44 years,Male,0.375,25410
2011,40 - 44 years,Male,0.525,9316
2011,40 - 44 years,Male,1.25,9824
2011,40 - 44 years,Male,1.3,4213
2011,40 - 44 years,Female,0.125,26381
2011,40 - 44 years,Female,0.275,32148
2011,40 - 44 years,Female,0.375,20063
2011,40 - 44 years,Female,0.525,7200
2011,40 - 44 years,Female,1.25,5558
2011,40 - 44 years,Female,1.3,1716
2011,45 - 49 years,Male,0.125,24268
2011,45 - 49 years,Male,0.275,29583
2011,45 - 49 years,Male,0.375,21880
2011,45 - 49 years,Male,0.525,7701
2011,45 - 49 years,Male,1.25,7775
2011,45 - 49 years,Male,1.3,3301
2011,45 - 49 years,Female,0.125,27121
2011,45 - 49 years,Female,0.275,31268
2011,45 - 49 years,Female,0.375,17938
2011,45 - 49 years,Female,0.525,6104
2011,45 - 49 years,Female,1.25,4273
2011,45 - 49 years,Female,1.3,1307
2011,50 - 54 years,Male,0.125,21566
2011,50 - 54 years,Male,0.275,25580
2011,50 - 54 years,Male,0.375,18352
2011,50 - 54 years,Male,0.525,6086
2011,50 - 54 years,Male,1.25,5732
2011,50 - 54 years,Male,1.3,2228
2011,50 - 54 years,Female,0.125,23606
2011,50 - 54 years,Female,0.275,27283
2011,50 - 54 years,Female,0.375,14772
2011,50 - 54 years,Female,0.525,4842
2011,50 - 54 years,Female,1.25,3377
2011,50 - 54 years,Female,1.3,943
2011,55 - 59 years,Male,0.125,17526
2011,55 - 59 years,Male,0.275,19676
2011,55 - 59 years,Male,0.375,13698
2011,55 - 59 years,Male,0.525,4306
2011,55 - 59 years,Male,1.25,3957
2011,55 - 59 years,Male,1.3,1481
2011,55 - 59 years,Female,0.125,17197
2011,55 - 59 years,Female,0.275,19704
2011,55 - 59 years,Female,0.375,10203
2011,55 - 59 years,Female,0.525,3168
2011,55 - 59 years,Female,1.25,2169
2011,55 - 59 years,Female,1.3,629
2011,60 - 64 years,Male,0.125,11726
2011,60 - 64 years,Male,0.275,11885
2011,60 - 64 years,Male,0.375,8129
2011,60 - 64 years,Male,0.525,2322
2011,60 - 64 years,Male,1.25,2275
2011,60 - 64 years,Male,1.3,861
2011,60 - 64 years,Female,0.125,9874
2011,60 - 64 years,Female,0.275,10481
2011,60 - 64 years,Female,0.375,5184
2011,60 - 64 years,Female,0.525,1515
2011,60 - 64 years,Female,1.25,1013
2011,60 - 64 years,Female,1.3,294
2011,65 - 69 years,Male,0.125,3865
2011,65 - 69 years,Male,0.275,3027
2011,65 - 69 years,Male,0.375,2055
2011,65 - 69 years,Male,0.525,617
2011,65 - 69 years,Male,1.25,578
2011,65 - 69 years,Male,1.3,246
2011,65 - 69 years,Female,0.125,2461
2011,65 - 69 years,Female,0.275,2181
2011,65 - 69 years,Female,0.375,1005
2011,65 - 69 years,Female,0.525,273
2011,65 - 69 years,Female,1.25,231
2011,65 - 69 years,Female,1.3,93
2011,70 years and over,Male,0.125,2237
2011,70 years and over,Male,0.275,1382
2011,70 years and over,Male,0.375,796
2011,70 years and over,Male,0.525,207
2011,70 years and over,Male,1.25,193
2011,70 years and over,Male,1.3,79
2011,70 years and over,Female,0.125,872
2011,70 years and over,Female,0.275,707
2011,70 years and over,Female,0.375,328
2011,70 years and over,Female,0.525,82
2011,70 years and over,Female,1.25,84
2011,70 years and over,Female,1.3,18
