capacity,episodes,reward
1M,0,180.0
1M,1,180.0
1M,2,102.5
1M,3,102.5
1M,4,102.5
1M,5,102.5
1M,6,102.5
1M,7,68.33333333333333
1M,8,68.33333333333333
1M,9,68.33333333333333
1M,10,122.5
1M,11,122.5
1M,12,122.5
1M,13,122.5
1M,14,122.5
1M,15,122.5
1M,16,122.5
1M,17,145.0
1M,18,145.0
1M,19,145.0
1M,20,145.0
1M,21,151.66666666666666
1M,22,151.66666666666666
1M,23,151.66666666666666
1M,24,151.66666666666666
1M,25,152.14285714285714
1M,26,152.14285714285714
1M,27,152.14285714285714
1M,28,150.0
1M,29,150.0
1M,30,150.0
1M,31,150.0
1M,32,155.55555555555554
1M,33,155.55555555555554
1M,34,155.55555555555554
1M,35,161.0
1M,36,161.0
1M,37,161.0
1M,38,161.0
1M,39,161.0
1M,40,161.0
1M,41,161.0
1M,42,205.45454545454547
1M,43,205.45454545454547
1M,44,205.45454545454547
1M,45,205.45454545454547
1M,46,205.83333333333334
1M,47,205.83333333333334
1M,48,205.83333333333334
1M,49,205.83333333333334
1M,50,205.83333333333334
1M,51,234.23076923076923
1M,52,234.23076923076923
1M,53,225.35714285714286
1M,54,225.35714285714286
1M,55,225.35714285714286
1M,56,230.0
1M,57,230.0
1M,58,230.0
1M,59,230.0
1M,60,230.0
1M,61,230.0
1M,62,230.0
1M,63,230.0
1M,64,230.0
1M,65,261.25
1M,66,261.25
1M,67,256.1764705882353
1M,68,256.1764705882353
1M,69,256.1764705882353
1M,70,256.1764705882353
1M,71,256.3888888888889
1M,72,256.3888888888889
1M,73,256.3888888888889
1M,74,256.3888888888889
1M,75,253.94736842105263
1M,76,253.94736842105263
1M,77,253.94736842105263
1M,78,253.94736842105263
1M,79,253.0
1M,80,253.0
1M,81,253.0
1M,82,253.0
1M,83,251.42857142857142
1M,84,251.42857142857142
1M,85,251.42857142857142
1M,86,251.42857142857142
1M,87,252.27272727272728
1M,88,252.27272727272728
1M,89,252.27272727272728
1M,90,249.1304347826087
1M,91,249.1304347826087
1M,92,249.1304347826087
1M,93,249.1304347826087
1M,94,249.375
1M,95,249.375
1M,96,243.6
1M,97,243.6
1M,98,243.6
1M,99,234.6153846153846
1M,100,234.6153846153846
1M,101,234.6153846153846
1M,102,227.77777777777777
1M,103,227.77777777777777
1M,104,227.77777777777777
1M,105,219.64285714285714
1M,106,219.64285714285714
1M,107,219.64285714285714
1M,108,219.64285714285714
1M,109,218.6206896551724
1M,110,218.6206896551724
1M,111,218.6206896551724
1M,112,218.6206896551724
1M,113,220.33333333333334
1M,114,220.33333333333334
1M,115,220.33333333333334
1M,116,216.7741935483871
1M,117,216.7741935483871
1M,118,216.7741935483871
1M,119,214.0625
1M,120,214.0625
1M,121,214.0625
1M,122,211.21212121212122
1M,123,211.21212121212122
1M,124,211.21212121212122
1M,125,211.21212121212122
1M,126,212.35294117647058
1M,127,212.35294117647058
1M,128,212.42857142857142
1M,129,212.42857142857142
1M,130,212.42857142857142
1M,131,211.66666666666666
1M,132,211.66666666666666
1M,133,213.78378378378378
1M,134,213.78378378378378
1M,135,213.78378378378378
1M,136,213.78378378378378
1M,137,213.78378378378378
1M,138,213.78378378378378
1M,139,213.78378378378378
1M,140,220.26315789473685
1M,141,220.26315789473685
1M,142,220.26315789473685
1M,143,226.53846153846155
1M,144,226.53846153846155
1M,145,226.53846153846155
1M,146,226.53846153846155
1M,147,226.53846153846155
1M,148,230.75
1M,149,230.75
1M,150,230.75
1M,151,230.75
1M,152,227.8048780487805
1M,153,227.8048780487805
1M,154,227.8048780487805
1M,155,227.8048780487805
1M,156,234.04761904761904
1M,157,234.04761904761904
1M,158,234.04761904761904
1M,159,234.04761904761904
1M,160,234.04761904761904
1M,161,234.04761904761904
1M,162,234.04761904761904
1M,163,233.48837209302326
1M,164,233.48837209302326
1M,165,233.48837209302326
1M,166,232.27272727272728
1M,167,232.27272727272728
1M,168,232.27272727272728
1M,169,231.11111111111111
1M,170,231.11111111111111
1M,171,231.11111111111111
1M,172,230.65217391304347
1M,173,230.65217391304347
1M,174,230.65217391304347
1M,175,231.06382978723406
1M,176,231.06382978723406
1M,177,231.06382978723406
1M,178,231.06382978723406
1M,179,231.06382978723406
1M,180,231.66666666666666
1M,181,231.66666666666666
1M,182,231.66666666666666
1M,183,231.22448979591837
1M,184,231.22448979591837
1M,185,227.6
1M,186,227.6
1M,187,227.6
1M,188,227.6
1M,189,227.6
1M,190,227.6
1M,191,232.35294117647058
1M,192,232.35294117647058
1M,193,232.35294117647058
1M,194,232.35294117647058
500k,0,320.0
500k,1,320.0
500k,2,167.5
500k,3,167.5
500k,4,167.5
500k,5,167.5
500k,6,211.66666666666666
500k,7,211.66666666666666
500k,8,211.66666666666666
500k,9,185.0
500k,10,185.0
500k,11,185.0
500k,12,185.0
500k,13,165.0
500k,14,165.0
500k,15,165.0
500k,16,157.5
500k,17,157.5
500k,18,157.5
500k,19,157.5
500k,20,175.71428571428572
500k,21,175.71428571428572
500k,22,175.71428571428572
500k,23,175.71428571428572
500k,24,189.375
500k,25,189.375
500k,26,189.375
500k,27,189.375
500k,28,189.375
500k,29,183.88888888888889
500k,30,183.88888888888889
500k,31,183.88888888888889
500k,32,183.88888888888889
500k,33,182.5
500k,34,182.5
500k,35,182.5
500k,36,182.5
500k,37,191.8181818181818
500k,38,191.8181818181818
500k,39,191.8181818181818
500k,40,191.8181818181818
500k,41,191.8181818181818
500k,42,193.33333333333334
500k,43,193.33333333333334
500k,44,186.92307692307693
500k,45,186.92307692307693
500k,46,186.92307692307693
500k,47,188.92857142857142
500k,48,188.92857142857142
500k,49,188.92857142857142
500k,50,188.92857142857142
500k,51,199.0
500k,52,199.0
500k,53,197.1875
500k,54,197.1875
500k,55,197.1875
500k,56,197.1875
500k,57,197.1875
500k,58,197.1875
500k,59,200.0
500k,60,200.0
500k,61,200.0
500k,62,200.0
500k,63,199.44444444444446
500k,64,199.44444444444446
500k,65,200.78947368421052
500k,66,200.78947368421052
500k,67,200.78947368421052
500k,68,200.78947368421052
500k,69,205.5
500k,70,205.5
500k,71,205.5
500k,72,205.5
500k,73,220.23809523809524
500k,74,220.23809523809524
500k,75,220.23809523809524
500k,76,220.23809523809524
500k,77,220.23809523809524
500k,78,220.23809523809524
500k,79,229.3181818181818
500k,80,229.3181818181818
500k,81,229.3181818181818
500k,82,229.3181818181818
500k,83,229.3181818181818
500k,84,232.6086956521739
500k,85,232.6086956521739
500k,86,232.6086956521739
500k,87,233.33333333333334
500k,88,233.33333333333334
500k,89,233.33333333333334
500k,90,233.33333333333334
500k,91,233.33333333333334
500k,92,231.4
500k,93,231.4
500k,94,231.4
500k,95,225.96153846153845
500k,96,225.96153846153845
500k,97,225.96153846153845
500k,98,223.14814814814815
500k,99,223.14814814814815
500k,100,223.14814814814815
500k,101,223.14814814814815
500k,102,228.21428571428572
500k,103,228.21428571428572
500k,104,228.21428571428572
500k,105,228.21428571428572
500k,106,228.21428571428572
500k,107,227.75862068965517
500k,108,227.75862068965517
500k,109,227.75862068965517
500k,110,227.75862068965517
500k,111,222.33333333333334
