capacity,episodes,reward
1M,0,4.0
1M,1,2.5
1M,2,2.6666666666666665
1M,3,2.0
1M,4,1.6
1M,5,1.6666666666666667
1M,6,1.6666666666666667
1M,7,1.8571428571428572
1M,8,1.875
1M,9,1.8888888888888888
1M,10,2.0
1M,11,2.0
1M,12,2.0
1M,13,2.090909090909091
1M,14,2.090909090909091
1M,15,2.3333333333333335
1M,16,2.5384615384615383
1M,17,2.4285714285714284
1M,18,2.1875
1M,19,2.176470588235294
1M,20,2.176470588235294
1M,21,2.111111111111111
1M,22,2.111111111111111
1M,23,2.1052631578947367
1M,24,2.15
1M,25,2.0952380952380953
1M,26,2.090909090909091
1M,27,2.0869565217391304
1M,28,2.0416666666666665
1M,29,2.0
1M,30,1.8888888888888888
1M,31,1.8928571428571428
1M,32,1.896551724137931
1M,33,1.896551724137931
1M,34,1.9333333333333333
1M,35,1.8125
1M,36,1.7878787878787878
1M,37,1.8235294117647058
1M,38,1.8235294117647058
1M,39,1.9142857142857144
1M,40,1.9444444444444444
1M,41,1.972972972972973
1M,42,1.9473684210526316
1M,43,1.9743589743589745
1M,44,1.925
1M,45,1.9268292682926829
1M,46,1.9047619047619047
1M,47,1.930232558139535
1M,48,1.9318181818181819
1M,49,1.9318181818181819
1M,50,2.0
1M,51,2.0
1M,52,2.0
1M,53,2.0851063829787235
1M,54,2.0833333333333335
1M,55,2.061224489795918
1M,56,2.061224489795918
1M,57,2.1
1M,58,2.0588235294117645
1M,59,2.0384615384615383
1M,60,2.056603773584906
1M,61,2.0555555555555554
1M,62,2.036363636363636
1M,63,2.0
1M,64,2.0
1M,65,2.0172413793103448
1M,66,1.9666666666666666
1M,67,1.9666666666666666
1M,68,1.9508196721311475
1M,69,1.9508196721311475
1M,70,1.9838709677419355
1M,71,1.9841269841269842
1M,72,1.96875
1M,73,1.9384615384615385
1M,74,1.9393939393939394
1M,75,1.9402985074626866
1M,76,1.911764705882353
1M,77,1.9855072463768115
1M,78,1.9855072463768115
1M,79,1.9859154929577465
1M,80,1.9722222222222223
1M,81,1.9452054794520548
1M,82,1.9324324324324325
1M,83,1.9066666666666667
1M,84,1.894736842105263
1M,85,1.894736842105263
1M,86,1.9610389610389611
1M,87,1.9487179487179487
1M,88,1.9493670886075949
1M,89,1.95
1M,90,1.9753086419753085
1M,91,1.951219512195122
1M,92,1.927710843373494
1M,93,1.9642857142857142
1M,94,1.9411764705882353
1M,95,1.930232558139535
1M,96,1.930232558139535
1M,97,1.9655172413793103
1M,98,1.9431818181818181
1M,99,1.9550561797752808
1M,100,1.9444444444444444
1M,101,1.9444444444444444
1M,102,1.9444444444444444
1M,103,1.9444444444444444
1M,104,1.989010989010989
1M,105,1.9891304347826086
1M,106,1.9891304347826086
1M,107,2.0
1M,108,2.0
1M,109,1.9791666666666667
1M,110,1.9791666666666667
1M,111,1.9896907216494846
1M,112,2.0
1M,113,2.0
1M,114,2.0
1M,115,2.0
1M,116,2.0
1M,117,2.03
1M,118,2.0
1M,119,2.0
1M,120,2.0
1M,121,2.0
1M,122,2.0
1M,123,1.99
1M,124,2.02
1M,125,2.0
1M,126,2.0
1M,127,2.0
1M,128,1.98
1M,129,2.04
1M,130,2.04
1M,131,2.09
1M,132,2.1
1M,133,2.1
1M,134,2.16
1M,135,2.16
1M,136,2.17
1M,137,2.17
1M,138,2.15
1M,139,2.14
1M,140,2.14
1M,141,2.14
1M,142,2.18
1M,143,2.17
1M,144,2.21
1M,145,2.21
1M,146,2.23
1M,147,2.21
1M,148,2.22
1M,149,2.22
1M,150,2.23
1M,151,2.3
