capacity,episodes,reward
1M,0,725.0
1M,1,650.0
1M,2,650.0
1M,3,533.3333333333334
1M,4,475.0
1M,5,440.0
1M,6,400.0
1M,7,371.875
1M,8,363.8888888888889
1M,9,357.5
1M,10,347.72727272727275
1M,11,347.72727272727275
1M,12,347.72727272727275
1M,13,318.75
1M,14,318.75
1M,15,318.75
1M,16,318.75
1M,17,318.75
1M,18,318.75
1M,19,318.75
1M,20,318.75
1M,21,318.75
1M,22,318.75
1M,23,294.2307692307692
1M,24,294.2307692307692
1M,25,283.92857142857144
1M,26,283.92857142857144
1M,27,283.92857142857144
1M,28,283.92857142857144
1M,29,283.92857142857144
1M,30,283.92857142857144
1M,31,283.92857142857144
1M,32,283.92857142857144
1M,33,283.92857142857144
1M,34,283.92857142857144
1M,35,283.92857142857144
1M,36,283.92857142857144
1M,37,270.0
1M,38,270.0
1M,39,270.0
1M,40,270.0
1M,41,268.75
1M,42,258.8235294117647
1M,43,258.8235294117647
1M,44,258.8235294117647
1M,45,258.8235294117647
1M,46,258.8235294117647
1M,47,258.8235294117647
1M,48,258.8235294117647
1M,49,258.8235294117647
1M,50,258.8235294117647
1M,51,258.8235294117647
1M,52,258.8235294117647
1M,53,258.8235294117647
1M,54,244.44444444444446
1M,55,238.1578947368421
1M,56,241.25
1M,57,244.04761904761904
1M,58,244.04761904761904
1M,59,247.72727272727272
1M,60,236.95652173913044
1M,61,236.95652173913044
1M,62,236.95652173913044
1M,63,236.95652173913044
1M,64,236.95652173913044
1M,65,236.95652173913044
1M,66,236.95652173913044
1M,67,236.95652173913044
1M,68,253.125
1M,69,255.0
1M,70,245.37037037037038
1M,71,245.37037037037038
1M,72,245.37037037037038
1M,73,248.21428571428572
1M,74,241.3793103448276
1M,75,241.3793103448276
1M,76,241.3793103448276
1M,77,241.3793103448276
1M,78,241.3793103448276
1M,79,233.33333333333334
1M,80,233.33333333333334
1M,81,233.33333333333334
1M,82,233.33333333333334
1M,83,233.33333333333334
1M,84,233.33333333333334
1M,85,233.33333333333334
1M,86,233.33333333333334
1M,87,226.61290322580646
1M,88,223.4375
1M,89,218.93939393939394
1M,90,218.93939393939394
1M,91,218.93939393939394
1M,92,218.93939393939394
1M,93,218.93939393939394
1M,94,218.93939393939394
1M,95,216.91176470588235
1M,96,222.14285714285714
1M,97,222.14285714285714
1M,98,222.14285714285714
1M,99,222.14285714285714
1M,100,222.14285714285714
1M,101,222.14285714285714
1M,102,222.14285714285714
1M,103,222.14285714285714
1M,104,222.14285714285714
1M,105,222.14285714285714
1M,106,222.14285714285714
1M,107,223.61111111111111
1M,108,224.32432432432432
1M,109,224.32432432432432
1M,110,225.6578947368421
1M,111,225.6578947368421
1M,112,225.6578947368421
1M,113,222.43589743589743
1M,114,222.43589743589743
1M,115,218.75
1M,116,218.75
1M,117,218.75
