capacity,episodes,reward
1M,0,100.0
1M,1,275.0
1M,2,233.33333333333334
1M,3,233.33333333333334
1M,4,233.33333333333334
1M,5,233.33333333333334
1M,6,233.33333333333334
1M,7,233.33333333333334
1M,8,233.33333333333334
1M,9,362.5
1M,10,362.5
1M,11,362.5
1M,12,362.5
1M,13,362.5
1M,14,362.5
1M,15,362.5
1M,16,420.0
1M,17,420.0
1M,18,420.0
1M,19,420.0
1M,20,420.0
1M,21,420.0
1M,22,420.0
1M,23,420.0
1M,24,458.3333333333333
1M,25,458.3333333333333
1M,26,458.3333333333333
1M,27,458.3333333333333
1M,28,458.3333333333333
1M,29,458.3333333333333
1M,30,458.3333333333333
1M,31,485.7142857142857
1M,32,485.7142857142857
1M,33,485.7142857142857
1M,34,485.7142857142857
1M,35,485.7142857142857
1M,36,485.7142857142857
1M,37,493.75
1M,38,493.75
1M,39,493.75
1M,40,493.75
1M,41,493.75
1M,42,493.75
1M,43,493.75
1M,44,511.1111111111111
1M,45,511.1111111111111
1M,46,511.1111111111111
1M,47,485.0
1M,48,485.0
1M,49,485.0
1M,50,472.72727272727275
1M,51,472.72727272727275
1M,52,441.6666666666667
1M,53,441.6666666666667
1M,54,441.6666666666667
1M,55,441.6666666666667
1M,56,441.6666666666667
1M,57,446.15384615384613
1M,58,425.0
1M,59,406.6666666666667
1M,60,384.375
1M,61,384.375
1M,62,364.70588235294116
1M,63,350.0
1M,64,350.0
1M,65,344.7368421052632
1M,66,344.7368421052632
1M,67,344.7368421052632
1M,68,344.7368421052632
1M,69,344.7368421052632
1M,70,352.5
1M,71,352.5
1M,72,352.5
1M,73,347.6190476190476
1M,74,347.6190476190476
1M,75,347.6190476190476
1M,76,347.6190476190476
1M,77,345.45454545454544
1M,78,345.45454545454544
1M,79,345.45454545454544
1M,80,345.45454545454544
1M,81,347.82608695652175
1M,82,347.82608695652175
1M,83,347.82608695652175
1M,84,347.82608695652175
1M,85,347.82608695652175
1M,86,347.82608695652175
1M,87,347.82608695652175
1M,88,360.4166666666667
1M,89,360.4166666666667
1M,90,360.4166666666667
1M,91,360.4166666666667
1M,92,360.4166666666667
1M,93,360.4166666666667
1M,94,360.4166666666667
1M,95,360.4166666666667
1M,96,372.0
1M,97,372.0
1M,98,372.0
1M,99,372.0
1M,100,372.0
1M,101,372.0
1M,102,372.0
1M,103,382.6923076923077
1M,104,382.6923076923077
1M,105,382.6923076923077
1M,106,382.6923076923077
1M,107,382.6923076923077
1M,108,382.6923076923077
1M,109,387.037037037037
1M,110,387.037037037037
1M,111,387.037037037037
1M,112,387.037037037037
1M,113,387.037037037037
1M,114,387.037037037037
1M,115,387.037037037037
1M,116,396.42857142857144
1M,117,396.42857142857144
1M,118,396.42857142857144
1M,119,393.1034482758621
1M,120,393.1034482758621
1M,121,393.1034482758621
1M,122,390.0
1M,123,379.03225806451616
1M,124,379.03225806451616
1M,125,379.03225806451616
1M,126,379.03225806451616
1M,127,379.03225806451616
1M,128,379.03225806451616
1M,129,384.375
1M,130,384.375
1M,131,384.375
1M,132,384.375
1M,133,384.375
1M,134,384.375
1M,135,384.375
1M,136,384.375
1M,137,393.93939393939394
1M,138,393.93939393939394
1M,139,393.93939393939394
1M,140,393.93939393939394
1M,141,393.93939393939394
1M,142,393.93939393939394
1M,143,393.93939393939394
1M,144,402.94117647058823
1M,145,402.94117647058823
1M,146,402.94117647058823
1M,147,402.94117647058823
1M,148,402.94117647058823
1M,149,402.85714285714283
1M,150,402.85714285714283
1M,151,402.85714285714283
1M,152,402.85714285714283
1M,153,402.85714285714283
1M,154,402.85714285714283
1M,155,402.85714285714283
1M,156,406.94444444444446
1M,157,406.94444444444446
1M,158,398.64864864864865
1M,159,398.64864864864865
1M,160,398.64864864864865
1M,161,398.64864864864865
1M,162,398.64864864864865
1M,163,398.64864864864865
1M,164,398.64864864864865
1M,165,405.2631578947368
1M,166,405.2631578947368
1M,167,405.2631578947368
1M,168,401.28205128205127
1M,169,401.28205128205127
1M,170,395.0
1M,171,395.0
1M,172,386.5853658536585
1M,173,386.5853658536585
1M,174,380.95238095238096
1M,175,380.95238095238096
1M,176,374.4186046511628
1M,177,374.4186046511628
1M,178,374.4186046511628
1M,179,371.59090909090907
1M,180,371.59090909090907
1M,181,371.59090909090907
1M,182,371.59090909090907
1M,183,371.59090909090907
1M,184,371.59090909090907
1M,185,371.59090909090907
1M,186,371.59090909090907
1M,187,382.22222222222223
