capacity,episodes,reward
1M,0,25.0
1M,1,25.0
1M,2,25.0
1M,3,25.0
1M,4,25.0
1M,5,25.0
1M,6,25.0
1M,7,25.0
1M,8,25.0
1M,9,25.0
1M,10,25.0
1M,11,25.0
1M,12,25.0
1M,13,18.5
1M,14,18.5
1M,15,18.5
1M,16,18.5
1M,17,18.5
1M,18,18.5
1M,19,18.5
1M,20,18.5
1M,21,18.5
1M,22,18.5
1M,23,16.333333333333332
1M,24,16.333333333333332
1M,25,16.333333333333332
1M,26,16.333333333333332
1M,27,16.333333333333332
1M,28,16.333333333333332
1M,29,16.333333333333332
1M,30,16.333333333333332
1M,31,16.333333333333332
1M,32,16.333333333333332
1M,33,16.333333333333332
1M,34,16.333333333333332
1M,35,17.25
1M,36,17.25
1M,37,17.25
1M,38,17.25
1M,39,17.25
1M,40,17.25
1M,41,17.25
1M,42,17.25
1M,43,17.25
1M,44,17.25
1M,45,17.25
1M,46,17.25
1M,47,19.6
1M,48,19.6
1M,49,19.6
1M,50,19.6
1M,51,19.6
1M,52,19.6
1M,53,19.6
1M,54,19.6
1M,55,19.6
1M,56,19.6
1M,57,19.6
1M,58,19.6
1M,59,17.833333333333332
1M,60,17.833333333333332
1M,61,17.833333333333332
1M,62,17.833333333333332
1M,63,17.833333333333332
1M,64,17.833333333333332
1M,65,17.833333333333332
1M,66,17.833333333333332
1M,67,17.833333333333332
1M,68,17.833333333333332
1M,69,17.833333333333332
1M,70,17.833333333333332
1M,71,17.833333333333332
1M,72,17.571428571428573
1M,73,17.571428571428573
1M,74,17.571428571428573
1M,75,17.571428571428573
1M,76,17.571428571428573
1M,77,17.571428571428573
1M,78,17.571428571428573
1M,79,17.571428571428573
1M,80,17.571428571428573
1M,81,17.571428571428573
1M,82,17.571428571428573
1M,83,17.375
1M,84,17.375
1M,85,17.375
1M,86,17.375
1M,87,17.375
1M,88,17.375
1M,89,17.375
1M,90,17.375
1M,91,17.375
1M,92,17.375
1M,93,17.375
1M,94,18.88888888888889
1M,95,18.88888888888889
1M,96,18.88888888888889
1M,97,18.88888888888889
1M,98,18.88888888888889
1M,99,18.88888888888889
1M,100,18.88888888888889
1M,101,18.88888888888889
1M,102,18.88888888888889
1M,103,18.88888888888889
1M,104,18.88888888888889
1M,105,19.2
1M,106,19.2
1M,107,19.2
1M,108,19.2
1M,109,19.2
1M,110,19.2
1M,111,19.2
1M,112,19.2
1M,113,19.2
1M,114,19.2
1M,115,19.2
1M,116,18.90909090909091
1M,117,18.90909090909091
1M,118,18.90909090909091
1M,119,18.90909090909091
1M,120,18.90909090909091
1M,121,18.90909090909091
1M,122,18.90909090909091
1M,123,18.90909090909091
1M,124,18.90909090909091
1M,125,18.90909090909091
1M,126,18.90909090909091
1M,127,19.333333333333332
1M,128,19.333333333333332
1M,129,19.333333333333332
1M,130,19.333333333333332
1M,131,19.333333333333332
1M,132,19.333333333333332
1M,133,19.333333333333332
1M,134,19.333333333333332
1M,135,19.333333333333332
1M,136,19.333333333333332
1M,137,19.333333333333332
1M,138,19.333333333333332
1M,139,19.615384615384617
1M,140,19.615384615384617
1M,141,19.615384615384617
1M,142,19.615384615384617
1M,143,19.615384615384617
1M,144,19.615384615384617
1M,145,19.615384615384617
1M,146,19.615384615384617
1M,147,19.615384615384617
1M,148,19.615384615384617
1M,149,19.615384615384617
1M,150,18.5
1M,151,18.5
1M,152,18.5
1M,153,18.5
1M,154,18.5
1M,155,18.5
1M,156,18.5
1M,157,18.5
1M,158,18.5
1M,159,18.5
1M,160,18.5
1M,161,18.5
1M,162,18.466666666666665
1M,163,18.466666666666665
1M,164,18.466666666666665
1M,165,18.466666666666665
1M,166,18.466666666666665
1M,167,18.466666666666665
1M,168,18.466666666666665
1M,169,18.466666666666665
1M,170,18.466666666666665
1M,171,18.466666666666665
1M,172,18.466666666666665
1M,173,18.3125
1M,174,18.3125
1M,175,18.3125
1M,176,18.3125
1M,177,18.3125
1M,178,18.3125
1M,179,18.3125
1M,180,18.3125
1M,181,18.3125
1M,182,18.3125
1M,183,18.3125
1M,184,18.3125
1M,185,18.3125
1M,186,18.3125
1M,187,17.941176470588236
1M,188,17.941176470588236
1M,189,17.941176470588236
500k,0,10.0
500k,1,10.0
500k,2,10.0
500k,3,10.0
500k,4,10.0
500k,5,10.0
500k,6,10.0
500k,7,10.0
500k,8,10.0
500k,9,10.0
500k,10,14.0
500k,11,14.0
500k,12,14.0
500k,13,14.0
500k,14,14.0
500k,15,14.0
500k,16,14.0
500k,17,14.0
500k,18,14.0
500k,19,14.0
500k,20,14.0
500k,21,14.0
500k,22,15.0
500k,23,15.0
500k,24,15.0
500k,25,15.0
500k,26,15.0
500k,27,15.0
500k,28,15.0
500k,29,15.0
500k,30,15.0
500k,31,15.0
500k,32,15.0
500k,33,15.0
500k,34,15.0
500k,35,15.0
500k,36,15.0
500k,37,15.0
500k,38,15.0
500k,39,15.0
500k,40,15.0
500k,41,15.0
500k,42,15.0
500k,43,15.0
500k,44,15.0
500k,45,13.75
500k,46,13.75
500k,47,13.75
500k,48,13.75
500k,49,13.75
500k,50,13.75
500k,51,13.75
500k,52,13.75
500k,53,13.75
500k,54,13.75
500k,55,13.75
500k,56,15.2
500k,57,15.2
500k,58,15.2
500k,59,15.2
500k,60,15.2
500k,61,15.2
500k,62,15.2
500k,63,15.2
500k,64,15.2
500k,65,15.2
500k,66,15.2
500k,67,17.166666666666668
500k,68,17.166666666666668
500k,69,17.166666666666668
500k,70,17.166666666666668
500k,71,17.166666666666668
500k,72,17.166666666666668
500k,73,17.166666666666668
500k,74,17.166666666666668
500k,75,17.166666666666668
500k,76,17.166666666666668
500k,77,20.571428571428573
500k,78,20.571428571428573
500k,79,20.571428571428573
500k,80,20.571428571428573
500k,81,20.571428571428573
500k,82,20.571428571428573
500k,83,20.571428571428573
500k,84,20.571428571428573
500k,85,20.571428571428573
500k,86,20.571428571428573
500k,87,20.571428571428573
500k,88,20.571428571428573
500k,89,20.571428571428573
500k,90,20.571428571428573
500k,91,20.571428571428573
500k,92,20.571428571428573
500k,93,20.571428571428573
500k,94,20.571428571428573
500k,95,20.571428571428573
500k,96,23.25
500k,97,23.25
500k,98,23.25
500k,99,23.25
500k,100,23.25
500k,101,23.25
500k,102,23.25
500k,103,23.25
500k,104,23.25
500k,105,23.25
500k,106,23.25
500k,107,23.25
500k,108,23.25
500k,109,23.25
500k,110,23.25
500k,111,23.25
500k,112,23.25
500k,113,23.25
500k,114,24.77777777777778
500k,115,24.77777777777778
500k,116,24.77777777777778
500k,117,24.77777777777778
500k,118,24.77777777777778
500k,119,24.77777777777778
500k,120,24.77777777777778
500k,121,24.77777777777778
500k,122,24.77777777777778
500k,123,24.77777777777778
500k,124,24.77777777777778
500k,125,24.77777777777778
500k,126,24.77777777777778
500k,127,24.77777777777778
500k,128,24.5
500k,129,24.5
500k,130,24.5
500k,131,24.5
500k,132,24.5
500k,133,24.5
500k,134,24.5
500k,135,24.5
500k,136,24.5
500k,137,24.5
500k,138,24.5
500k,139,24.5
500k,140,26.545454545454547
500k,141,26.545454545454547
500k,142,26.545454545454547
500k,143,26.545454545454547
500k,144,26.545454545454547
500k,145,26.545454545454547
500k,146,26.545454545454547
500k,147,26.545454545454547
500k,148,26.545454545454547
500k,149,26.545454545454547
500k,150,26.545454545454547
500k,151,26.545454545454547
500k,152,27.5
500k,153,27.5
500k,154,27.5
500k,155,27.5
500k,156,27.5
500k,157,27.5
500k,158,27.5
500k,159,27.5
500k,160,27.5
500k,161,27.5
500k,162,27.5
500k,163,27.5
500k,164,27.5
500k,165,27.5
500k,166,27.5
500k,167,27.5
500k,168,29.307692307692307
500k,169,29.307692307692307
500k,170,29.307692307692307
500k,171,29.307692307692307
500k,172,29.307692307692307
500k,173,29.307692307692307
500k,174,29.307692307692307
500k,175,29.307692307692307
500k,176,29.307692307692307
500k,177,29.307692307692307
500k,178,29.307692307692307
500k,179,29.307692307692307
500k,180,29.307692307692307
500k,181,28.714285714285715
500k,182,28.714285714285715
500k,183,28.714285714285715
500k,184,28.714285714285715
500k,185,28.714285714285715
500k,186,28.714285714285715
500k,187,28.714285714285715
100k,0,30.0
100k,1,30.0
100k,2,30.0
100k,3,30.0
100k,4,30.0
100k,5,30.0
100k,6,30.0
100k,7,30.0
100k,8,30.0
100k,9,30.0
100k,10,30.0
100k,11,30.0
100k,12,30.0
100k,13,30.0
100k,14,30.0
100k,15,30.0
100k,16,34.5
100k,17,34.5
100k,18,34.5
100k,19,34.5
100k,20,34.5
100k,21,34.5
100k,22,34.5
100k,23,34.5
100k,24,34.5
100k,25,34.5
100k,26,34.5
100k,27,34.5
100k,28,34.5
100k,29,34.5
100k,30,34.5
100k,31,34.5
100k,32,34.5
100k,33,34.5
100k,34,34.5
100k,35,34.5
100k,36,33.0
100k,37,33.0
100k,38,33.0
100k,39,33.0
100k,40,33.0
100k,41,33.0
100k,42,33.0
100k,43,33.0
100k,44,33.0
100k,45,33.0
100k,46,33.0
100k,47,33.0
100k,48,33.0
100k,49,33.0
100k,50,33.0
100k,51,33.0
100k,52,33.0
100k,53,33.0
100k,54,33.0
100k,55,33.0
100k,56,33.0
100k,57,33.0
100k,58,33.0
100k,59,33.0
100k,60,33.0
100k,61,27.25
100k,62,27.25
100k,63,27.25
100k,64,27.25
100k,65,27.25
100k,66,27.25
100k,67,27.25
100k,68,27.25
100k,69,27.25
100k,70,27.25
100k,71,27.25
100k,72,27.25
100k,73,27.25
100k,74,27.25
100k,75,27.25
100k,76,28.8
100k,77,28.8
100k,78,28.8
100k,79,28.8
100k,80,28.8
100k,81,28.8
100k,82,28.8
100k,83,28.8
100k,84,28.8
100k,85,28.8
100k,86,28.8
100k,87,28.8
100k,88,28.8
100k,89,28.8
100k,90,28.8
100k,91,28.8
100k,92,28.8
100k,93,30.666666666666668
100k,94,30.666666666666668
100k,95,30.666666666666668
100k,96,30.666666666666668
100k,97,30.666666666666668
100k,98,30.666666666666668
100k,99,30.666666666666668
100k,100,30.666666666666668
100k,101,30.666666666666668
100k,102,30.666666666666668
100k,103,30.666666666666668
100k,104,30.666666666666668
100k,105,30.666666666666668
100k,106,29.857142857142858
100k,107,29.857142857142858
100k,108,29.857142857142858
100k,109,29.857142857142858
100k,110,29.857142857142858
100k,111,29.857142857142858
100k,112,29.857142857142858
100k,113,29.857142857142858
100k,114,29.857142857142858
100k,115,29.857142857142858
100k,116,29.857142857142858
100k,117,29.0
100k,118,29.0
