capacity,episodes,reward
1M,0,780.0
1M,1,445.0
1M,2,445.0
1M,3,445.0
1M,4,445.0
1M,5,556.6666666666666
1M,6,556.6666666666666
1M,7,445.0
1M,8,445.0
1M,9,445.0
1M,10,378.0
1M,11,378.0
1M,12,333.3333333333333
1M,13,333.3333333333333
1M,14,333.3333333333333
1M,15,333.3333333333333
1M,16,301.42857142857144
1M,17,301.42857142857144
1M,18,301.42857142857144
1M,19,277.5
1M,20,277.5
1M,21,277.5
1M,22,277.5
1M,23,277.5
1M,24,262.22222222222223
1M,25,262.22222222222223
1M,26,262.22222222222223
1M,27,249.0
1M,28,249.0
1M,29,249.0
1M,30,246.36363636363637
1M,31,246.36363636363637
1M,32,246.36363636363637
1M,33,247.5
1M,34,247.5
1M,35,247.5
1M,36,247.5
1M,37,244.6153846153846
1M,38,244.6153846153846
1M,39,244.6153846153846
1M,40,244.6153846153846
1M,41,244.6153846153846
1M,42,268.57142857142856
1M,43,268.57142857142856
1M,44,258.0
1M,45,258.0
1M,46,250.625
1M,47,250.625
1M,48,244.11764705882354
1M,49,244.11764705882354
1M,50,244.11764705882354
1M,51,239.44444444444446
1M,52,239.44444444444446
1M,53,239.44444444444446
1M,54,239.44444444444446
1M,55,233.68421052631578
1M,56,233.68421052631578
1M,57,233.68421052631578
1M,58,233.68421052631578
1M,59,233.68421052631578
1M,60,227.5
1M,61,227.5
1M,62,227.5
1M,63,228.0952380952381
1M,64,228.0952380952381
1M,65,228.0952380952381
1M,66,222.72727272727272
1M,67,222.72727272727272
1M,68,222.72727272727272
1M,69,222.72727272727272
1M,70,218.69565217391303
1M,71,218.69565217391303
1M,72,218.69565217391303
1M,73,218.69565217391303
1M,74,218.69565217391303
1M,75,218.69565217391303
1M,76,216.25
1M,77,216.25
1M,78,218.0
1M,79,218.0
1M,80,213.84615384615384
1M,81,213.84615384615384
1M,82,214.8148148148148
1M,83,214.8148148148148
1M,84,214.8148148148148
1M,85,214.8148148148148
1M,86,211.78571428571428
1M,87,211.78571428571428
1M,88,211.78571428571428
1M,89,211.78571428571428
1M,90,211.78571428571428
1M,91,210.0
1M,92,210.0
1M,93,210.0
1M,94,210.0
1M,95,210.0
1M,96,207.66666666666666
1M,97,207.66666666666666
1M,98,207.66666666666666
