capacity,episodes,reward
1M,0,60.0
1M,1,65.0
1M,2,65.0
1M,3,56.666666666666664
1M,4,56.666666666666664
1M,5,56.666666666666664
1M,6,56.666666666666664
1M,7,56.666666666666664
1M,8,56.666666666666664
1M,9,56.666666666666664
1M,10,56.666666666666664
1M,11,56.666666666666664
1M,12,56.666666666666664
1M,13,56.666666666666664
1M,14,56.666666666666664
1M,15,56.666666666666664
1M,16,56.666666666666664
1M,17,56.666666666666664
1M,18,56.666666666666664
1M,19,56.666666666666664
1M,20,56.666666666666664
1M,21,56.666666666666664
1M,22,56.666666666666664
1M,23,56.666666666666664
1M,24,56.666666666666664
1M,25,135.0
1M,26,135.0
1M,27,135.0
1M,28,135.0
1M,29,135.0
1M,30,135.0
1M,31,135.0
1M,32,135.0
1M,33,135.0
1M,34,135.0
1M,35,135.0
1M,36,135.0
1M,37,135.0
1M,38,135.0
1M,39,135.0
1M,40,135.0
1M,41,135.0
1M,42,135.0
1M,43,128.0
1M,44,128.0
1M,45,128.0
1M,46,128.0
1M,47,128.0
1M,48,128.0
1M,49,128.0
1M,50,128.0
1M,51,128.0
1M,52,128.0
1M,53,128.0
1M,54,128.0
1M,55,128.0
1M,56,128.0
1M,57,128.0
1M,58,128.0
1M,59,128.0
1M,60,128.0
1M,61,128.0
1M,62,128.0
1M,63,128.0
1M,64,128.0
1M,65,128.0
1M,66,128.0
1M,67,128.0
1M,68,176.66666666666666
1M,69,176.66666666666666
1M,70,176.66666666666666
1M,71,176.66666666666666
1M,72,176.66666666666666
1M,73,176.66666666666666
1M,74,176.66666666666666
1M,75,176.66666666666666
1M,76,176.66666666666666
1M,77,176.66666666666666
1M,78,176.66666666666666
1M,79,176.66666666666666
1M,80,176.66666666666666
1M,81,176.66666666666666
1M,82,176.66666666666666
1M,83,176.66666666666666
1M,84,176.66666666666666
1M,85,176.66666666666666
1M,86,176.66666666666666
1M,87,176.66666666666666
1M,88,176.66666666666666
1M,89,176.66666666666666
1M,90,176.66666666666666
1M,91,176.66666666666666
1M,92,176.66666666666666
1M,93,176.66666666666666
1M,94,176.66666666666666
1M,95,176.66666666666666
1M,96,176.66666666666666
1M,97,302.85714285714283
1M,98,302.85714285714283
1M,99,302.85714285714283
1M,100,302.85714285714283
1M,101,302.85714285714283
1M,102,302.85714285714283
1M,103,302.85714285714283
1M,104,302.85714285714283
1M,105,302.85714285714283
1M,106,302.85714285714283
1M,107,302.85714285714283
1M,108,302.85714285714283
1M,109,302.85714285714283
1M,110,302.85714285714283
1M,111,302.85714285714283
1M,112,302.85714285714283
1M,113,317.5
1M,114,317.5
1M,115,317.5
1M,116,317.5
1M,117,317.5
1M,118,317.5
1M,119,317.5
1M,120,317.5
1M,121,317.5
1M,122,308.3333333333333
1M,123,308.3333333333333
1M,124,308.3333333333333
1M,125,308.3333333333333
1M,126,308.3333333333333
1M,127,308.3333333333333
1M,128,308.3333333333333
1M,129,308.3333333333333
1M,130,308.3333333333333
1M,131,308.3333333333333
1M,132,308.3333333333333
1M,133,308.3333333333333
1M,134,308.3333333333333
1M,135,308.3333333333333
1M,136,308.3333333333333
1M,137,308.3333333333333
1M,138,308.3333333333333
1M,139,369.5
1M,140,369.5
1M,141,369.5
1M,142,369.5
1M,143,369.5
1M,144,369.5
1M,145,369.5
1M,146,369.5
1M,147,369.5
1M,148,369.5
1M,149,369.5
1M,150,375.90909090909093
1M,151,348.75
1M,152,348.75
1M,153,348.75
1M,154,348.75
1M,155,348.75
1M,156,348.75
1M,157,348.75
1M,158,348.75
1M,159,348.75
1M,160,348.75
1M,161,348.75
1M,162,348.75
1M,163,348.75
1M,164,348.75
1M,165,348.75
1M,166,377.3076923076923
1M,167,377.3076923076923
1M,168,377.3076923076923
1M,169,377.3076923076923
1M,170,377.3076923076923
1M,171,377.3076923076923
1M,172,377.3076923076923
1M,173,377.3076923076923
1M,174,377.3076923076923
1M,175,377.3076923076923
1M,176,377.3076923076923
1M,177,370.35714285714283
1M,178,370.35714285714283
1M,179,370.35714285714283
1M,180,370.35714285714283
1M,181,370.35714285714283
1M,182,370.35714285714283
1M,183,370.35714285714283
1M,184,370.35714285714283
1M,185,370.35714285714283
1M,186,370.35714285714283
1M,187,370.35714285714283
1M,188,370.35714285714283
1M,189,370.35714285714283
1M,190,370.35714285714283
1M,191,370.35714285714283
1M,192,370.35714285714283
1M,193,421.6666666666667
1M,194,421.6666666666667
1M,195,421.6666666666667
1M,196,421.6666666666667
1M,197,421.6666666666667
500k,0,205.0
500k,1,205.0
500k,2,205.0
500k,3,205.0
500k,4,205.0
500k,5,205.0
500k,6,205.0
500k,7,205.0
500k,8,205.0
500k,9,205.0
500k,10,205.0
500k,11,205.0
500k,12,205.0
500k,13,205.0
500k,14,205.0
500k,15,205.0
500k,16,205.0
500k,17,205.0
500k,18,205.0
500k,19,205.0
500k,20,205.0
500k,21,205.0
500k,22,205.0
500k,23,205.0
500k,24,205.0
500k,25,205.0
500k,26,205.0
500k,27,205.0
500k,28,205.0
500k,29,205.0
500k,30,422.5
500k,31,422.5
500k,32,422.5
500k,33,422.5
500k,34,422.5
500k,35,422.5
500k,36,422.5
500k,37,422.5
500k,38,422.5
500k,39,422.5
500k,40,422.5
500k,41,422.5
500k,42,422.5
500k,43,422.5
500k,44,422.5
500k,45,422.5
500k,46,422.5
500k,47,422.5
500k,48,421.6666666666667
500k,49,421.6666666666667
500k,50,421.6666666666667
500k,51,421.6666666666667
500k,52,421.6666666666667
500k,53,421.6666666666667
500k,54,421.6666666666667
500k,55,421.6666666666667
500k,56,421.6666666666667
500k,57,421.6666666666667
500k,58,421.6666666666667
500k,59,421.6666666666667
500k,60,421.6666666666667
500k,61,421.6666666666667
500k,62,421.6666666666667
500k,63,421.6666666666667
500k,64,421.6666666666667
500k,65,421.6666666666667
500k,66,421.6666666666667
500k,67,421.6666666666667
500k,68,421.6666666666667
500k,69,421.6666666666667
500k,70,421.6666666666667
500k,71,421.6666666666667
500k,72,421.6666666666667
500k,73,481.25
500k,74,481.25
500k,75,481.25
500k,76,481.25
500k,77,481.25
500k,78,481.25
500k,79,481.25
500k,80,481.25
500k,81,481.25
500k,82,481.25
500k,83,481.25
500k,84,481.25
500k,85,481.25
500k,86,481.25
500k,87,481.25
500k,88,481.25
500k,89,481.25
500k,90,481.25
500k,91,481.25
500k,92,481.25
500k,93,481.25
500k,94,481.25
500k,95,481.25
500k,96,481.25
500k,97,481.25
500k,98,481.25
500k,99,481.25
500k,100,481.25
500k,101,561.0
500k,102,561.0
500k,103,561.0
500k,104,561.0
500k,105,561.0
500k,106,561.0
500k,107,561.0
500k,108,561.0
500k,109,561.0
500k,110,561.0
500k,111,561.0
500k,112,561.0
500k,113,561.0
500k,114,561.0
500k,115,561.0
500k,116,561.0
500k,117,561.0
500k,118,561.0
500k,119,561.0
500k,120,561.0
500k,121,561.0
500k,122,561.0
500k,123,561.0
500k,124,561.0
500k,125,561.0
500k,126,561.0
500k,127,561.0
500k,128,561.0
500k,129,561.0
500k,130,561.0
500k,131,561.0
500k,132,561.0
500k,133,561.0
500k,134,561.0
500k,135,561.0
500k,136,561.0
500k,137,501.6666666666667
500k,138,501.6666666666667
500k,139,501.6666666666667
500k,140,501.6666666666667
500k,141,501.6666666666667
500k,142,501.6666666666667
500k,143,501.6666666666667
500k,144,501.6666666666667
500k,145,501.6666666666667
500k,146,501.6666666666667
500k,147,501.6666666666667
500k,148,501.6666666666667
500k,149,501.6666666666667
500k,150,501.6666666666667
500k,151,490.0
500k,152,490.0
500k,153,490.0
500k,154,490.0
500k,155,490.0
500k,156,490.0
500k,157,490.0
500k,158,490.0
500k,159,490.0
500k,160,490.0
500k,161,490.0
500k,162,490.0
500k,163,490.0
500k,164,490.0
100k,0,90.0
100k,1,90.0
100k,2,90.0
100k,3,90.0
100k,4,90.0
100k,5,90.0
100k,6,90.0
100k,7,90.0
100k,8,90.0
100k,9,90.0
100k,10,90.0
100k,11,90.0
100k,12,90.0
100k,13,105.0
100k,14,105.0
100k,15,105.0
100k,16,105.0
100k,17,105.0
100k,18,105.0
100k,19,105.0
100k,20,105.0
100k,21,105.0
100k,22,105.0
100k,23,105.0
100k,24,105.0
100k,25,105.0
100k,26,105.0
100k,27,105.0
100k,28,105.0
100k,29,105.0
100k,30,105.0
100k,31,105.0
100k,32,105.0
100k,33,105.0
100k,34,105.0
100k,35,105.0
100k,36,105.0
100k,37,105.0
100k,38,105.0
100k,39,105.0
100k,40,105.0
100k,41,105.0
100k,42,105.0
100k,43,105.0
100k,44,105.0
100k,45,105.0
100k,46,105.0
100k,47,105.0
100k,48,105.0
100k,49,105.0
100k,50,105.0
100k,51,105.0
100k,52,105.0
100k,53,105.0
100k,54,105.0
100k,55,105.0
100k,56,105.0
100k,57,105.0
100k,58,105.0
100k,59,105.0
100k,60,105.0
100k,61,105.0
100k,62,105.0
100k,63,105.0
100k,64,105.0
100k,65,105.0
100k,66,105.0
100k,67,105.0
100k,68,105.0
100k,69,105.0
100k,70,105.0
100k,71,105.0
100k,72,105.0
100k,73,105.0
100k,74,105.0
100k,75,105.0
100k,76,105.0
100k,77,105.0
100k,78,105.0
100k,79,105.0
100k,80,105.0
100k,81,105.0
100k,82,105.0
100k,83,105.0
100k,84,105.0
100k,85,105.0
100k,86,105.0
100k,87,105.0
100k,88,105.0
100k,89,105.0
100k,90,105.0
100k,91,105.0
100k,92,105.0
100k,93,105.0
100k,94,105.0
100k,95,105.0
100k,96,105.0
100k,97,105.0
100k,98,105.0
100k,99,105.0
100k,100,143.33333333333334
100k,101,143.33333333333334
100k,102,143.33333333333334
100k,103,143.33333333333334
100k,104,143.33333333333334
100k,105,143.33333333333334
100k,106,143.33333333333334
100k,107,143.33333333333334
100k,108,143.33333333333334
100k,109,143.33333333333334
100k,110,143.33333333333334
100k,111,143.33333333333334
100k,112,143.33333333333334
100k,113,143.33333333333334
100k,114,143.33333333333334
100k,115,143.33333333333334
100k,116,143.33333333333334
100k,117,143.33333333333334
100k,118,143.33333333333334
100k,119,143.33333333333334
100k,120,143.33333333333334
100k,121,143.33333333333334
100k,122,143.33333333333334
100k,123,143.33333333333334
100k,124,143.33333333333334
100k,125,143.33333333333334
100k,126,143.33333333333334
100k,127,143.33333333333334
100k,128,143.33333333333334
100k,129,143.33333333333334
100k,130,143.33333333333334
100k,131,143.33333333333334
100k,132,143.33333333333334
100k,133,143.33333333333334
100k,134,143.33333333333334
100k,135,143.33333333333334
100k,136,143.33333333333334
100k,137,143.33333333333334
100k,138,143.33333333333334
100k,139,247.5
100k,140,247.5
100k,141,247.5
100k,142,247.5
100k,143,247.5
100k,144,247.5
100k,145,247.5
100k,146,247.5
100k,147,247.5
100k,148,247.5
100k,149,247.5
100k,150,247.5
100k,151,247.5
100k,152,247.5
100k,153,247.5
100k,154,247.5
100k,155,247.5
100k,156,247.5
100k,157,247.5
100k,158,247.5
100k,159,294.0
100k,160,294.0
100k,161,294.0
100k,162,294.0
100k,163,294.0
100k,164,294.0
100k,165,294.0
100k,166,294.0
100k,167,294.0
100k,168,294.0
100k,169,281.6666666666667
100k,170,281.6666666666667
100k,171,281.6666666666667
100k,172,281.6666666666667
100k,173,281.6666666666667
100k,174,281.6666666666667
100k,175,281.6666666666667
100k,176,281.6666666666667
100k,177,281.6666666666667
100k,178,281.6666666666667
100k,179,281.6666666666667
100k,180,281.6666666666667
100k,181,307.14285714285717
100k,182,307.14285714285717
100k,183,307.14285714285717
100k,184,307.14285714285717
100k,185,307.14285714285717
100k,186,307.14285714285717
100k,187,307.14285714285717
100k,188,307.14285714285717
100k,189,307.14285714285717
100k,190,307.14285714285717
100k,191,307.14285714285717
100k,192,307.14285714285717
100k,193,307.14285714285717
100k,194,307.14285714285717
100k,195,307.14285714285717
100k,196,307.14285714285717
50k,0,140.0
50k,1,140.0
50k,2,140.0
50k,3,140.0
50k,4,140.0
50k,5,140.0
50k,6,140.0
50k,7,140.0
50k,8,140.0
50k,9,140.0
50k,10,140.0
