capacity,episodes,reward
1M,0,250.0
1M,1,250.0
1M,2,250.0
1M,3,125.0
1M,4,125.0
1M,5,125.0
1M,6,83.33333333333333
1M,7,83.33333333333333
1M,8,83.33333333333333
1M,9,125.0
1M,10,125.0
1M,11,120.0
1M,12,120.0
1M,13,100.0
1M,14,100.0
1M,15,85.71428571428571
1M,16,85.71428571428571
1M,17,85.71428571428571
1M,18,75.0
1M,19,75.0
1M,20,66.66666666666667
1M,21,66.66666666666667
1M,22,60.0
1M,23,60.0
1M,24,54.54545454545455
1M,25,54.54545454545455
1M,26,54.54545454545455
1M,27,50.0
1M,28,50.0
1M,29,46.15384615384615
1M,30,46.15384615384615
1M,31,46.15384615384615
1M,32,42.857142857142854
1M,33,42.857142857142854
1M,34,40.0
1M,35,40.0
1M,36,40.0
1M,37,37.5
1M,38,37.5
1M,39,37.5
1M,40,35.294117647058826
1M,41,35.294117647058826
1M,42,33.333333333333336
1M,43,31.57894736842105
1M,44,31.57894736842105
1M,45,30.0
1M,46,30.0
1M,47,30.0
1M,48,28.571428571428573
1M,49,28.571428571428573
1M,50,28.571428571428573
1M,51,27.272727272727273
1M,52,30.434782608695652
1M,53,30.434782608695652
1M,54,30.434782608695652
1M,55,30.434782608695652
1M,56,29.166666666666668
1M,57,29.166666666666668
1M,58,29.166666666666668
1M,59,29.166666666666668
1M,60,29.166666666666668
1M,61,28.0
1M,62,28.0
1M,63,28.0
1M,64,30.76923076923077
1M,65,30.76923076923077
1M,66,29.62962962962963
1M,67,29.62962962962963
1M,68,28.571428571428573
1M,69,28.571428571428573
1M,70,27.586206896551722
1M,71,27.586206896551722
1M,72,27.586206896551722
1M,73,35.0
1M,74,35.0
1M,75,35.0
1M,76,41.935483870967744
1M,77,40.625
1M,78,40.625
1M,79,40.625
1M,80,40.625
1M,81,46.96969696969697
1M,82,46.96969696969697
1M,83,46.96969696969697
1M,84,52.94117647058823
1M,85,52.94117647058823
1M,86,52.94117647058823
1M,87,51.42857142857143
1M,88,51.42857142857143
1M,89,51.42857142857143
1M,90,51.42857142857143
1M,91,56.94444444444444
1M,92,56.94444444444444
1M,93,56.94444444444444
1M,94,55.4054054054054
1M,95,55.4054054054054
1M,96,53.94736842105263
1M,97,53.94736842105263
1M,98,52.56410256410256
1M,99,52.56410256410256
1M,100,52.56410256410256
1M,101,57.5
1M,102,57.5
1M,103,57.5
1M,104,56.09756097560975
1M,105,56.09756097560975
1M,106,56.09756097560975
1M,107,54.76190476190476
1M,108,54.76190476190476
1M,109,53.48837209302326
1M,110,53.48837209302326
1M,111,53.48837209302326
1M,112,57.95454545454545
1M,113,57.95454545454545
1M,114,62.22222222222222
1M,115,62.22222222222222
1M,116,62.22222222222222
1M,117,60.869565217391305
1M,118,60.869565217391305
1M,119,60.869565217391305
1M,120,59.57446808510638
1M,121,59.57446808510638
1M,122,58.333333333333336
1M,123,58.333333333333336
1M,124,57.142857142857146
1M,125,57.142857142857146
1M,126,57.142857142857146
1M,127,57.142857142857146
1M,128,57.142857142857146
1M,129,61.0
1M,130,59.80392156862745
1M,131,59.80392156862745
1M,132,58.65384615384615
1M,133,58.65384615384615
1M,134,58.65384615384615
1M,135,58.65384615384615
1M,136,57.54716981132076
1M,137,57.54716981132076
1M,138,57.54716981132076
1M,139,56.48148148148148
1M,140,56.48148148148148
1M,141,55.45454545454545
1M,142,55.45454545454545
1M,143,55.45454545454545
1M,144,55.45454545454545
1M,145,55.45454545454545
1M,146,54.464285714285715
1M,147,54.464285714285715
1M,148,54.464285714285715
1M,149,55.26315789473684
1M,150,55.26315789473684
1M,151,55.26315789473684
1M,152,54.310344827586206
1M,153,54.310344827586206
1M,154,54.310344827586206
1M,155,53.389830508474574
1M,156,53.389830508474574
1M,157,52.5
1M,158,52.5
1M,159,52.5
1M,160,52.5
1M,161,52.5
1M,162,51.63934426229508
1M,163,51.63934426229508
1M,164,51.63934426229508
1M,165,51.63934426229508
1M,166,54.83870967741935
1M,167,54.83870967741935
1M,168,53.96825396825397
1M,169,53.96825396825397
1M,170,53.125
1M,171,53.125
1M,172,53.125
1M,173,52.30769230769231
1M,174,52.30769230769231
1M,175,52.30769230769231
1M,176,51.515151515151516
1M,177,51.515151515151516
1M,178,50.74626865671642
1M,179,50.74626865671642
1M,180,50.0
1M,181,50.0
1M,182,50.0
1M,183,50.0
1M,184,49.27536231884058
1M,185,49.27536231884058
1M,186,48.57142857142857
1M,187,48.57142857142857
1M,188,47.88732394366197
1M,189,47.88732394366197
1M,190,47.22222222222222
1M,191,47.22222222222222
1M,192,46.57534246575342
1M,193,46.57534246575342
1M,194,45.945945945945944
1M,195,45.945945945945944
1M,196,45.945945945945944
500k,0,250.0
500k,1,250.0
500k,2,375.0
500k,3,375.0
500k,4,375.0
500k,5,375.0
500k,6,375.0
500k,7,250.0
500k,8,250.0
500k,9,250.0
500k,10,312.5
500k,11,312.5
500k,12,312.5
500k,13,250.0
500k,14,250.0
500k,15,250.0
500k,16,208.33333333333334
500k,17,208.33333333333334
500k,18,178.57142857142858
500k,19,178.57142857142858
500k,20,178.57142857142858
500k,21,178.57142857142858
500k,22,187.5
500k,23,187.5
500k,24,166.66666666666666
500k,25,166.66666666666666
500k,26,166.66666666666666
500k,27,150.0
500k,28,150.0
500k,29,136.36363636363637
500k,30,136.36363636363637
500k,31,136.36363636363637
500k,32,125.0
500k,33,125.0
500k,34,125.0
500k,35,115.38461538461539
500k,36,115.38461538461539
500k,37,107.14285714285714
500k,38,107.14285714285714
500k,39,107.14285714285714
500k,40,100.0
500k,41,100.0
500k,42,100.0
500k,43,100.0
500k,44,100.0
500k,45,109.375
500k,46,109.375
500k,47,102.94117647058823
500k,48,102.94117647058823
500k,49,97.22222222222223
500k,50,97.22222222222223
500k,51,92.10526315789474
500k,52,87.5
500k,53,87.5
500k,54,87.5
500k,55,95.23809523809524
500k,56,95.23809523809524
500k,57,90.9090909090909
500k,58,90.9090909090909
500k,59,90.9090909090909
500k,60,90.9090909090909
500k,61,90.9090909090909
500k,62,86.95652173913044
500k,63,83.33333333333333
500k,64,83.33333333333333
500k,65,80.0
500k,66,80.0
500k,67,80.0
500k,68,76.92307692307692
500k,69,74.07407407407408
500k,70,74.07407407407408
500k,71,74.07407407407408
500k,72,71.42857142857143
500k,73,71.42857142857143
500k,74,71.42857142857143
500k,75,68.96551724137932
500k,76,68.96551724137932
500k,77,68.96551724137932
500k,78,66.66666666666667
500k,79,66.66666666666667
500k,80,64.51612903225806
500k,81,64.51612903225806
500k,82,62.5
500k,83,62.5
500k,84,62.5
