capacity,episodes,reward
1M,0,0.0
1M,1,0.0
1M,2,0.0
1M,3,0.0
1M,4,0.0
1M,5,0.0
1M,6,0.0
1M,7,25.0
1M,8,25.0
1M,9,25.0
1M,10,20.0
1M,11,20.0
1M,12,20.0
1M,13,20.0
1M,14,16.666666666666668
1M,15,16.666666666666668
1M,16,14.285714285714286
1M,17,14.285714285714286
1M,18,14.285714285714286
1M,19,14.285714285714286
1M,20,12.5
1M,21,12.5
1M,22,12.5
1M,23,16.666666666666668
1M,24,16.666666666666668
1M,25,20.0
1M,26,20.0
1M,27,20.0
1M,28,18.181818181818183
1M,29,18.181818181818183
1M,30,16.666666666666668
1M,31,16.666666666666668
1M,32,15.384615384615385
1M,33,15.384615384615385
1M,34,15.384615384615385
1M,35,21.428571428571427
1M,36,23.333333333333332
1M,37,23.333333333333332
1M,38,23.333333333333332
1M,39,21.875
1M,40,21.875
1M,41,20.58823529411765
1M,42,20.58823529411765
1M,43,19.444444444444443
1M,44,19.444444444444443
1M,45,19.444444444444443
1M,46,19.444444444444443
1M,47,19.444444444444443
1M,48,19.444444444444443
1M,49,19.444444444444443
1M,50,23.68421052631579
1M,51,23.68421052631579
1M,52,23.68421052631579
1M,53,27.5
1M,54,27.5
1M,55,26.19047619047619
1M,56,26.19047619047619
1M,57,27.272727272727273
1M,58,27.272727272727273
1M,59,26.08695652173913
1M,60,26.08695652173913
1M,61,25.0
1M,62,25.0
1M,63,25.0
1M,64,24.0
1M,65,24.0
1M,66,24.0
1M,67,24.0
1M,68,24.0
1M,69,25.0
1M,70,25.0
1M,71,25.0
1M,72,24.074074074074073
1M,73,24.074074074074073
1M,74,24.074074074074073
1M,75,24.074074074074073
1M,76,26.785714285714285
1M,77,26.785714285714285
1M,78,26.785714285714285
1M,79,26.785714285714285
1M,80,25.862068965517242
1M,81,25.862068965517242
1M,82,25.862068965517242
1M,83,25.0
1M,84,25.0
1M,85,24.193548387096776
1M,86,24.193548387096776
1M,87,24.193548387096776
1M,88,24.193548387096776
1M,89,23.4375
1M,90,23.4375
1M,91,23.4375
1M,92,23.4375
1M,93,22.727272727272727
1M,94,22.727272727272727
1M,95,22.727272727272727
1M,96,22.058823529411764
1M,97,22.058823529411764
1M,98,22.058823529411764
1M,99,22.058823529411764
1M,100,22.857142857142858
1M,101,22.857142857142858
1M,102,22.857142857142858
1M,103,22.857142857142858
1M,104,22.22222222222222
1M,105,22.22222222222222
1M,106,22.22222222222222
1M,107,21.62162162162162
1M,108,21.62162162162162
1M,109,21.62162162162162
1M,110,21.62162162162162
1M,111,21.05263157894737
1M,112,21.05263157894737
1M,113,21.05263157894737
1M,114,20.512820512820515
1M,115,20.512820512820515
1M,116,20.512820512820515
1M,117,20.512820512820515
1M,118,20.512820512820515
1M,119,21.25
1M,120,21.25
1M,121,21.25
1M,122,20.73170731707317
1M,123,20.73170731707317
1M,124,20.73170731707317
1M,125,20.238095238095237
1M,126,20.238095238095237
1M,127,20.238095238095237
1M,128,20.238095238095237
1M,129,20.238095238095237
1M,130,20.238095238095237
1M,131,20.238095238095237
1M,132,20.930232558139537
1M,133,20.930232558139537
1M,134,20.930232558139537
1M,135,20.930232558139537
1M,136,22.727272727272727
1M,137,22.727272727272727
1M,138,22.727272727272727
1M,139,22.727272727272727
1M,140,22.727272727272727
1M,141,22.727272727272727
1M,142,22.727272727272727
1M,143,25.555555555555557
1M,144,25.555555555555557
1M,145,25.555555555555557
1M,146,25.555555555555557
1M,147,28.26086956521739
1M,148,28.26086956521739
1M,149,28.72340425531915
1M,150,28.72340425531915
1M,151,28.72340425531915
1M,152,28.72340425531915
1M,153,30.208333333333332
1M,154,30.208333333333332
1M,155,29.591836734693878
1M,156,29.591836734693878
1M,157,29.0
1M,158,29.0
1M,159,28.431372549019606
1M,160,28.431372549019606
1M,161,27.884615384615383
1M,162,27.884615384615383
1M,163,28.30188679245283
1M,164,28.30188679245283
1M,165,28.30188679245283
1M,166,29.62962962962963
1M,167,29.62962962962963
1M,168,29.62962962962963
1M,169,30.90909090909091
1M,170,30.90909090909091
1M,171,30.90909090909091
1M,172,30.90909090909091
1M,173,30.90909090909091
1M,174,30.90909090909091
1M,175,31.25
1M,176,31.25
1M,177,30.70175438596491
1M,178,30.70175438596491
1M,179,31.03448275862069
1M,180,30.508474576271187
1M,181,30.508474576271187
1M,182,30.508474576271187
1M,183,30.508474576271187
1M,184,31.666666666666668
1M,185,31.666666666666668
1M,186,31.666666666666668
1M,187,31.666666666666668
1M,188,31.147540983606557
1M,189,31.147540983606557
1M,190,30.64516129032258
1M,191,30.64516129032258
1M,192,30.64516129032258
1M,193,30.64516129032258
1M,194,30.158730158730158
1M,195,30.158730158730158
1M,196,30.158730158730158
1M,197,29.6875
500k,0,0.0
500k,1,0.0
500k,2,0.0
500k,3,0.0
500k,4,0.0
500k,5,16.666666666666668
500k,6,16.666666666666668
500k,7,37.5
500k,8,37.5
500k,9,37.5
500k,10,30.0
500k,11,30.0
500k,12,30.0
500k,13,30.0
500k,14,30.0
500k,15,30.0
500k,16,25.0
500k,17,25.0
500k,18,25.0
500k,19,25.0
500k,20,21.428571428571427
500k,21,21.428571428571427
500k,22,21.428571428571427
500k,23,18.75
500k,24,18.75
500k,25,18.75
500k,26,18.75
500k,27,18.75
500k,28,16.666666666666668
500k,29,16.666666666666668
500k,30,15.0
500k,31,15.0
500k,32,15.0
500k,33,15.0
500k,34,13.636363636363637
500k,35,13.636363636363637
500k,36,12.5
500k,37,12.5
500k,38,11.538461538461538
500k,39,11.538461538461538
500k,40,17.857142857142858
500k,41,17.857142857142858
500k,42,16.666666666666668
500k,43,16.666666666666668
500k,44,18.75
500k,45,18.75
500k,46,18.75
500k,47,17.647058823529413
500k,48,17.647058823529413
500k,49,17.647058823529413
500k,50,19.444444444444443
500k,51,19.444444444444443
500k,52,18.42105263157895
500k,53,18.42105263157895
500k,54,18.42105263157895
500k,55,17.5
500k,56,16.666666666666668
500k,57,16.666666666666668
500k,58,18.181818181818183
500k,59,18.181818181818183
500k,60,18.181818181818183
500k,61,17.391304347826086
500k,62,17.391304347826086
500k,63,17.391304347826086
500k,64,17.391304347826086
500k,65,17.391304347826086
500k,66,18.75
500k,67,18.75
500k,68,18.75
500k,69,18.0
500k,70,18.0
500k,71,18.0
500k,72,21.153846153846153
500k,73,21.153846153846153
500k,74,21.153846153846153
500k,75,22.22222222222222
500k,76,22.22222222222222
500k,77,25.0
500k,78,25.0
500k,79,24.137931034482758
500k,80,24.137931034482758
500k,81,23.333333333333332
500k,82,23.333333333333332
500k,83,22.580645161290324
500k,84,22.580645161290324
500k,85,22.580645161290324
500k,86,22.580645161290324
500k,87,22.580645161290324
500k,88,22.580645161290324
500k,89,21.875
500k,90,21.875
500k,91,21.875
500k,92,21.21212121212121
500k,93,21.21212121212121
500k,94,21.21212121212121
500k,95,21.21212121212121
500k,96,22.058823529411764
500k,97,22.058823529411764
500k,98,22.058823529411764
500k,99,21.428571428571427
500k,100,21.428571428571427
500k,101,20.833333333333332
500k,102,20.833333333333332
500k,103,20.27027027027027
500k,104,20.27027027027027
500k,105,20.27027027027027
500k,106,19.736842105263158
500k,107,19.736842105263158
500k,108,19.736842105263158
500k,109,19.23076923076923
500k,110,19.23076923076923
500k,111,18.75
500k,112,18.75
500k,113,19.51219512195122
500k,114,19.51219512195122
500k,115,19.51219512195122
500k,116,20.238095238095237
500k,117,20.238095238095237
500k,118,20.238095238095237
500k,119,19.767441860465116
500k,120,19.767441860465116
500k,121,19.318181818181817
500k,122,19.318181818181817
500k,123,19.318181818181817
