capacity,episodes,reward
1M,0,-21.0
1M,1,-21.0
1M,2,-21.0
1M,3,-21.0
1M,4,-21.0
1M,5,-21.0
1M,6,-21.0
1M,7,-21.0
1M,8,-21.0
1M,9,-21.0
1M,10,-21.0
1M,11,-21.0
1M,12,-21.0
1M,13,-21.0
1M,14,-21.0
1M,15,-21.0
1M,16,-21.0
1M,17,-21.0
1M,18,-21.0
1M,19,-21.0
1M,20,-21.0
1M,21,-21.0
1M,22,-21.0
1M,23,-21.0
1M,24,-21.0
1M,25,-21.0
1M,26,-21.0
1M,27,-21.0
1M,28,-21.0
1M,29,-21.0
1M,30,-21.0
1M,31,-21.0
1M,32,-21.0
1M,33,-21.0
1M,34,-21.0
1M,35,-21.0
1M,36,-21.0
1M,37,-21.0
1M,38,-21.0
1M,39,-21.0
1M,40,-21.0
1M,41,-21.0
1M,42,-21.0
1M,43,-21.0
1M,44,-21.0
1M,45,-21.0
1M,46,-21.0
1M,47,-20.846153846153847
1M,48,-20.846153846153847
1M,49,-20.846153846153847
1M,50,-20.846153846153847
1M,51,-20.857142857142858
1M,52,-20.857142857142858
1M,53,-20.857142857142858
1M,54,-20.857142857142858
1M,55,-20.866666666666667
1M,56,-20.866666666666667
1M,57,-20.866666666666667
1M,58,-20.866666666666667
1M,59,-20.866666666666667
1M,60,-20.8125
1M,61,-20.8125
1M,62,-20.8125
1M,63,-20.823529411764707
1M,64,-20.823529411764707
1M,65,-20.823529411764707
1M,66,-20.823529411764707
1M,67,-20.833333333333332
1M,68,-20.833333333333332
1M,69,-20.833333333333332
1M,70,-20.833333333333332
1M,71,-20.842105263157894
1M,72,-20.842105263157894
1M,73,-20.842105263157894
1M,74,-20.842105263157894
1M,75,-20.85
1M,76,-20.85
1M,77,-20.85
1M,78,-20.85
1M,79,-20.857142857142858
1M,80,-20.857142857142858
1M,81,-20.857142857142858
1M,82,-20.857142857142858
1M,83,-20.857142857142858
1M,84,-20.863636363636363
1M,85,-20.863636363636363
1M,86,-20.863636363636363
1M,87,-20.869565217391305
1M,88,-20.869565217391305
1M,89,-20.869565217391305
1M,90,-20.869565217391305
1M,91,-20.875
1M,92,-20.875
1M,93,-20.875
1M,94,-20.875
1M,95,-20.88
1M,96,-20.88
1M,97,-20.88
1M,98,-20.88
1M,99,-20.884615384615383
1M,100,-20.884615384615383
1M,101,-20.884615384615383
1M,102,-20.884615384615383
1M,103,-20.88888888888889
1M,104,-20.88888888888889
1M,105,-20.88888888888889
1M,106,-20.88888888888889
1M,107,-20.892857142857142
1M,108,-20.892857142857142
1M,109,-20.892857142857142
1M,110,-20.892857142857142
1M,111,-20.896551724137932
1M,112,-20.896551724137932
1M,113,-20.896551724137932
1M,114,-20.896551724137932
1M,115,-20.9
1M,116,-20.9
1M,117,-20.9
1M,118,-20.9
1M,119,-20.903225806451612
1M,120,-20.903225806451612
1M,121,-20.903225806451612
1M,122,-20.903225806451612
1M,123,-20.90625
1M,124,-20.90625
1M,125,-20.90625
1M,126,-20.90625
1M,127,-20.90909090909091
1M,128,-20.90909090909091
1M,129,-20.90909090909091
1M,130,-20.90909090909091
1M,131,-20.91176470588235
1M,132,-20.91176470588235
1M,133,-20.91176470588235
1M,134,-20.91176470588235
1M,135,-20.914285714285715
1M,136,-20.914285714285715
1M,137,-20.914285714285715
1M,138,-20.914285714285715
1M,139,-20.916666666666668
1M,140,-20.916666666666668
1M,141,-20.916666666666668
1M,142,-20.916666666666668
1M,143,-20.91891891891892
1M,144,-20.91891891891892
1M,145,-20.91891891891892
1M,146,-20.92105263157895
1M,147,-20.92105263157895
1M,148,-20.92105263157895
1M,149,-20.92105263157895
1M,150,-20.923076923076923
1M,151,-20.923076923076923
1M,152,-20.923076923076923
1M,153,-20.923076923076923
1M,154,-20.925
1M,155,-20.925
1M,156,-20.925
1M,157,-20.925
1M,158,-20.925
1M,159,-20.902439024390244
1M,160,-20.902439024390244
1M,161,-20.902439024390244
1M,162,-20.902439024390244
1M,163,-20.88095238095238
1M,164,-20.88095238095238
1M,165,-20.88095238095238
1M,166,-20.88095238095238
1M,167,-20.88372093023256
1M,168,-20.88372093023256
1M,169,-20.88372093023256
1M,170,-20.886363636363637
1M,171,-20.886363636363637
1M,172,-20.886363636363637
1M,173,-20.886363636363637
1M,174,-20.886363636363637
1M,175,-20.866666666666667
1M,176,-20.866666666666667
1M,177,-20.866666666666667
1M,178,-20.866666666666667
1M,179,-20.869565217391305
1M,180,-20.869565217391305
1M,181,-20.869565217391305
1M,182,-20.872340425531913
1M,183,-20.872340425531913
1M,184,-20.872340425531913
1M,185,-20.872340425531913
1M,186,-20.875
1M,187,-20.875
1M,188,-20.875
1M,189,-20.875
1M,190,-20.877551020408163
1M,191,-20.877551020408163
1M,192,-20.877551020408163
1M,193,-20.877551020408163
1M,194,-20.88
1M,195,-20.88
500k,0,-21.0
500k,1,-21.0
500k,2,-21.0
500k,3,-21.0
500k,4,-21.0
500k,5,-21.0
500k,6,-21.0
500k,7,-21.0
500k,8,-21.0
500k,9,-21.0
500k,10,-21.0
500k,11,-21.0
500k,12,-21.0
500k,13,-21.0
500k,14,-21.0
500k,15,-21.0
500k,16,-21.0
500k,17,-21.0
500k,18,-21.0
500k,19,-21.0
500k,20,-21.0
500k,21,-21.0
500k,22,-21.0
500k,23,-21.0
500k,24,-21.0
