capacity,episodes,reward
1M,0,490.0
1M,1,490.0
1M,2,375.0
1M,3,375.0
1M,4,375.0
1M,5,443.3333333333333
1M,6,443.3333333333333
1M,7,443.3333333333333
1M,8,443.3333333333333
1M,9,402.5
1M,10,402.5
1M,11,402.5
1M,12,360.0
1M,13,360.0
1M,14,323.3333333333333
1M,15,323.3333333333333
1M,16,323.3333333333333
1M,17,292.85714285714283
1M,18,292.85714285714283
1M,19,263.75
1M,20,263.75
1M,21,263.75
1M,22,263.75
1M,23,262.22222222222223
1M,24,262.22222222222223
1M,25,262.22222222222223
1M,26,264.0
1M,27,264.0
1M,28,249.0909090909091
1M,29,249.0909090909091
1M,30,249.0909090909091
1M,31,259.1666666666667
1M,32,259.1666666666667
1M,33,259.1666666666667
1M,34,259.1666666666667
1M,35,255.3846153846154
1M,36,255.3846153846154
1M,37,255.3846153846154
1M,38,265.7142857142857
1M,39,265.7142857142857
1M,40,265.7142857142857
1M,41,265.7142857142857
1M,42,282.0
1M,43,282.0
1M,44,282.0
1M,45,285.625
1M,46,285.625
1M,47,285.625
1M,48,278.8235294117647
1M,49,278.8235294117647
1M,50,267.22222222222223
1M,51,267.22222222222223
1M,52,267.22222222222223
1M,53,267.22222222222223
1M,54,304.2105263157895
1M,55,304.2105263157895
1M,56,304.2105263157895
1M,57,296.0
1M,58,296.0
1M,59,296.0
1M,60,293.8095238095238
1M,61,293.8095238095238
1M,62,286.8181818181818
1M,63,286.8181818181818
1M,64,286.8181818181818
1M,65,282.17391304347825
1M,66,282.17391304347825
1M,67,282.0833333333333
1M,68,282.0833333333333
1M,69,282.0833333333333
1M,70,273.6
1M,71,273.6
1M,72,271.9230769230769
1M,73,271.9230769230769
1M,74,266.6666666666667
1M,75,266.6666666666667
1M,76,266.6666666666667
1M,77,268.57142857142856
1M,78,268.57142857142856
1M,79,270.6896551724138
1M,80,270.6896551724138
1M,81,270.6896551724138
1M,82,267.3333333333333
1M,83,267.3333333333333
1M,84,267.3333333333333
1M,85,280.3225806451613
1M,86,280.3225806451613
1M,87,280.3225806451613
1M,88,286.25
1M,89,286.25
1M,90,286.25
1M,91,283.030303030303
1M,92,283.030303030303
1M,93,283.030303030303
1M,94,284.70588235294116
1M,95,284.70588235294116
1M,96,284.85714285714283
1M,97,284.85714285714283
1M,98,284.44444444444446
1M,99,284.44444444444446
1M,100,284.44444444444446
1M,101,286.2162162162162
1M,102,286.2162162162162
1M,103,286.2162162162162
1M,104,286.2162162162162
1M,105,282.89473684210526
1M,106,282.89473684210526
1M,107,282.89473684210526
1M,108,282.89473684210526
1M,109,300.2564102564103
1M,110,300.2564102564103
1M,111,294.5
1M,112,294.5
1M,113,294.5
1M,114,295.609756097561
