capacity,episodes,reward
1M,0,100.0
1M,1,100.0
1M,2,100.0
1M,3,100.0
1M,4,100.0
1M,5,100.0
1M,6,100.0
1M,7,100.0
1M,8,100.0
1M,9,100.0
1M,10,100.0
1M,11,100.0
1M,12,100.0
1M,13,-450.0
1M,14,-450.0
1M,15,-450.0
1M,16,-450.0
1M,17,-450.0
1M,18,-450.0
1M,19,-450.0
1M,20,-450.0
1M,21,-450.0
1M,22,-450.0
1M,23,-450.0
1M,24,-450.0
1M,25,-450.0
1M,26,-450.0
1M,27,-633.3333333333334
1M,28,-633.3333333333334
1M,29,-633.3333333333334
1M,30,-633.3333333333334
1M,31,-633.3333333333334
1M,32,-633.3333333333334
1M,33,-633.3333333333334
1M,34,-633.3333333333334
1M,35,-633.3333333333334
1M,36,-633.3333333333334
1M,37,-633.3333333333334
1M,38,-633.3333333333334
1M,39,-633.3333333333334
1M,40,339.75
1M,41,339.75
1M,42,339.75
1M,43,339.75
1M,44,339.75
1M,45,339.75
1M,46,339.75
1M,47,339.75
1M,48,339.75
1M,49,339.75
1M,50,339.75
1M,51,339.75
1M,52,339.75
1M,53,339.75
1M,54,271.8
1M,55,271.8
1M,56,271.8
1M,57,271.8
1M,58,271.8
1M,59,271.8
1M,60,271.8
1M,61,271.8
1M,62,271.8
1M,63,271.8
1M,64,271.8
1M,65,271.8
1M,66,271.8
1M,67,59.833333333333336
1M,68,59.833333333333336
1M,69,59.833333333333336
1M,70,59.833333333333336
1M,71,59.833333333333336
1M,72,59.833333333333336
1M,73,59.833333333333336
1M,74,59.833333333333336
1M,75,59.833333333333336
1M,76,59.833333333333336
1M,77,59.833333333333336
1M,78,59.833333333333336
1M,79,59.833333333333336
1M,80,59.833333333333336
1M,81,-91.57142857142857
1M,82,-91.57142857142857
1M,83,-91.57142857142857
1M,84,-91.57142857142857
1M,85,-91.57142857142857
1M,86,-91.57142857142857
1M,87,-91.57142857142857
1M,88,-91.57142857142857
1M,89,-91.57142857142857
1M,90,-91.57142857142857
1M,91,-91.57142857142857
1M,92,-91.57142857142857
1M,93,-91.57142857142857
1M,94,-205.125
1M,95,-205.125
1M,96,-205.125
1M,97,-205.125
1M,98,-205.125
1M,99,-205.125
1M,100,-205.125
1M,101,-205.125
1M,102,-205.125
1M,103,-205.125
1M,104,-205.125
1M,105,-205.125
1M,106,-205.125
1M,107,-205.125
1M,108,-293.44444444444446
1M,109,-293.44444444444446
1M,110,-293.44444444444446
1M,111,-293.44444444444446
1M,112,-293.44444444444446
1M,113,-293.44444444444446
1M,114,-293.44444444444446
1M,115,-293.44444444444446
1M,116,-293.44444444444446
1M,117,-293.44444444444446
1M,118,-293.44444444444446
1M,119,-293.44444444444446
