capacity,episodes,reward
1M,0,100.0
1M,1,100.0
1M,2,137.5
1M,3,137.5
1M,4,116.66666666666667
1M,5,118.75
1M,6,118.75
1M,7,95.0
1M,8,100.0
1M,9,100.0
1M,10,125.0
1M,11,125.0
1M,12,125.0
1M,13,118.75
1M,14,105.55555555555556
1M,15,105.55555555555556
1M,16,107.5
1M,17,107.5
1M,18,109.0909090909091
1M,19,110.41666666666667
1M,20,110.41666666666667
1M,21,111.53846153846153
1M,22,111.53846153846153
1M,23,114.28571428571429
1M,24,114.28571428571429
1M,25,114.28571428571429
1M,26,114.28571428571429
1M,27,110.0
1M,28,110.9375
1M,29,110.9375
1M,30,113.23529411764706
1M,31,113.23529411764706
1M,32,120.83333333333333
1M,33,120.83333333333333
1M,34,121.05263157894737
1M,35,121.05263157894737
1M,36,121.25
1M,37,132.14285714285714
1M,38,132.14285714285714
1M,39,137.5
1M,40,137.5
1M,41,140.2173913043478
1M,42,140.625
1M,43,140.625
1M,44,143.0
1M,45,143.0
1M,46,147.1153846153846
1M,47,146.2962962962963
1M,48,146.2962962962963
1M,49,146.2962962962963
1M,50,146.42857142857142
1M,51,146.42857142857142
1M,52,152.58620689655172
1M,53,152.58620689655172
1M,54,159.16666666666666
1M,55,159.16666666666666
1M,56,158.06451612903226
1M,57,158.06451612903226
1M,58,160.9375
1M,59,160.9375
1M,60,160.9375
1M,61,163.63636363636363
1M,62,163.63636363636363
1M,63,162.5
1M,64,162.5
1M,65,162.5
1M,66,161.42857142857142
1M,67,163.88888888888889
1M,68,163.88888888888889
1M,69,162.83783783783784
1M,70,162.83783783783784
1M,71,162.83783783783784
1M,72,161.8421052631579
1M,73,161.53846153846155
1M,74,161.53846153846155
1M,75,165.0
1M,76,165.0
1M,77,165.0
1M,78,167.0731707317073
1M,79,169.04761904761904
1M,80,169.04761904761904
1M,81,168.6046511627907
1M,82,168.6046511627907
1M,83,170.45454545454547
1M,84,170.45454545454547
1M,85,169.44444444444446
1M,86,169.44444444444446
1M,87,169.44444444444446
1M,88,170.1086956521739
1M,89,170.1086956521739
1M,90,172.3404255319149
1M,91,172.3404255319149
1M,92,172.3404255319149
1M,93,171.35416666666666
1M,94,171.35416666666666
1M,95,170.40816326530611
1M,96,169.5
1M,97,169.5
1M,98,171.07843137254903
1M,99,170.19230769230768
1M,100,170.19230769230768
1M,101,170.19230769230768
1M,102,169.33962264150944
1M,103,171.75925925925927
1M,104,171.75925925925927
1M,105,172.72727272727272
1M,106,172.72727272727272
1M,107,174.10714285714286
1M,108,175.0
1M,109,175.0
1M,110,175.0
1M,111,180.60344827586206
1M,112,180.60344827586206
1M,113,182.20338983050848
1M,114,182.20338983050848
1M,115,181.25
