capacity,episodes,reward
1M,0,260.0
1M,1,260.0
1M,2,260.0
1M,3,260.0
1M,4,260.0
1M,5,260.0
1M,6,260.0
1M,7,260.0
1M,8,160.0
1M,9,160.0
1M,10,160.0
1M,11,160.0
1M,12,160.0
1M,13,160.0
1M,14,160.0
1M,15,133.33333333333334
1M,16,133.33333333333334
1M,17,133.33333333333334
1M,18,133.33333333333334
1M,19,133.33333333333334
1M,20,133.33333333333334
1M,21,133.33333333333334
1M,22,133.33333333333334
1M,23,145.0
1M,24,145.0
1M,25,145.0
1M,26,136.0
1M,27,136.0
1M,28,136.0
1M,29,136.0
1M,30,136.0
1M,31,136.0
1M,32,123.33333333333333
1M,33,123.33333333333333
1M,34,123.33333333333333
1M,35,123.33333333333333
1M,36,125.71428571428571
1M,37,125.71428571428571
1M,38,125.71428571428571
1M,39,120.0
1M,40,120.0
1M,41,120.0
1M,42,120.0
1M,43,115.55555555555556
1M,44,115.55555555555556
1M,45,115.55555555555556
1M,46,115.55555555555556
1M,47,116.0
1M,48,116.0
1M,49,116.0
1M,50,116.0
1M,51,116.0
1M,52,116.0
1M,53,116.0
1M,54,116.0
1M,55,116.0
1M,56,114.54545454545455
1M,57,114.54545454545455
1M,58,114.54545454545455
1M,59,114.54545454545455
1M,60,114.54545454545455
1M,61,120.0
1M,62,120.0
1M,63,120.0
1M,64,120.0
1M,65,120.0
1M,66,120.0
1M,67,120.0
1M,68,120.0
1M,69,120.0
1M,70,120.0
1M,71,116.92307692307692
1M,72,116.92307692307692
1M,73,116.92307692307692
1M,74,116.92307692307692
1M,75,116.92307692307692
1M,76,116.92307692307692
1M,77,120.0
1M,78,120.0
1M,79,120.0
1M,80,120.0
1M,81,120.0
1M,82,120.0
1M,83,120.0
1M,84,120.0
1M,85,120.0
1M,86,120.0
1M,87,120.0
1M,88,117.5
1M,89,117.5
1M,90,117.5
1M,91,115.29411764705883
1M,92,115.29411764705883
1M,93,111.11111111111111
1M,94,111.11111111111111
1M,95,111.11111111111111
1M,96,108.42105263157895
1M,97,108.42105263157895
1M,98,108.42105263157895
1M,99,104.0
1M,100,104.0
1M,101,100.0
1M,102,100.0
1M,103,100.0
1M,104,97.27272727272727
1M,105,97.27272727272727
1M,106,97.27272727272727
1M,107,97.27272727272727
1M,108,97.27272727272727
1M,109,96.52173913043478
1M,110,96.52173913043478
1M,111,96.52173913043478
1M,112,95.0
1M,113,95.0
1M,114,95.0
1M,115,95.0
1M,116,96.8
1M,117,96.8
1M,118,96.8
1M,119,96.8
1M,120,98.46153846153847
1M,121,98.46153846153847
1M,122,98.46153846153847
1M,123,96.29629629629629
1M,124,96.29629629629629
1M,125,95.0
1M,126,95.0
1M,127,95.0
1M,128,95.0
1M,129,93.79310344827586
1M,130,93.79310344827586
1M,131,93.79310344827586
1M,132,93.79310344827586
1M,133,93.79310344827586
1M,134,93.79310344827586
1M,135,93.79310344827586
1M,136,93.79310344827586
1M,137,93.79310344827586
1M,138,93.79310344827586
1M,139,95.33333333333333
1M,140,95.33333333333333
1M,141,95.33333333333333
1M,142,94.83870967741936
1M,143,94.83870967741936
1M,144,94.83870967741936
1M,145,94.83870967741936
1M,146,94.375
1M,147,94.375
1M,148,94.375
1M,149,94.375
1M,150,94.375
1M,151,94.375
1M,152,92.12121212121212
1M,153,92.12121212121212
1M,154,91.76470588235294
1M,155,91.76470588235294
1M,156,91.76470588235294
1M,157,91.76470588235294
1M,158,91.76470588235294
1M,159,91.76470588235294
1M,160,90.85714285714286
1M,161,90.85714285714286
1M,162,90.85714285714286
1M,163,90.85714285714286
1M,164,90.85714285714286
1M,165,90.0
1M,166,90.0
1M,167,88.64864864864865
1M,168,88.64864864864865
1M,169,88.64864864864865
1M,170,88.64864864864865
1M,171,88.64864864864865
1M,172,88.42105263157895
1M,173,88.42105263157895
1M,174,88.42105263157895
1M,175,88.2051282051282
1M,176,88.2051282051282
1M,177,88.2051282051282
1M,178,88.0
1M,179,88.0
1M,180,88.0
1M,181,88.0
1M,182,87.8048780487805
1M,183,87.8048780487805
1M,184,87.8048780487805
1M,185,88.0952380952381
1M,186,88.0952380952381
1M,187,88.0952380952381
1M,188,88.37209302325581
1M,189,88.37209302325581
1M,190,88.37209302325581
1M,191,88.37209302325581
1M,192,88.37209302325581
1M,193,88.37209302325581
1M,194,88.37209302325581
500k,0,60.0
500k,1,60.0
500k,2,40.0
500k,3,40.0
500k,4,46.666666666666664
500k,5,46.666666666666664
500k,6,46.666666666666664
500k,7,55.0
500k,8,55.0
500k,9,55.0
500k,10,55.0
500k,11,72.0
500k,12,72.0
500k,13,72.0
500k,14,72.0
500k,15,72.0
500k,16,80.0
500k,17,80.0
500k,18,80.0
500k,19,80.0
500k,20,80.0
500k,21,80.0
500k,22,80.0
500k,23,80.0
500k,24,80.0
500k,25,80.0
500k,26,80.0
500k,27,80.0
500k,28,80.0
500k,29,80.0
500k,30,80.0
500k,31,80.0
500k,32,77.5
500k,33,77.5
500k,34,77.5
500k,35,77.77777777777777
500k,36,77.77777777777777
500k,37,77.77777777777777
500k,38,78.0
500k,39,78.0
500k,40,78.0
500k,41,78.0
500k,42,78.0
500k,43,78.0
500k,44,78.0
500k,45,83.63636363636364
500k,46,83.63636363636364
500k,47,83.63636363636364
500k,48,83.63636363636364
500k,49,90.0
500k,50,90.0
500k,51,90.0
500k,52,90.0
500k,53,90.76923076923077
500k,54,90.76923076923077
500k,55,90.76923076923077
500k,56,91.42857142857143
500k,57,91.42857142857143
500k,58,91.42857142857143
500k,59,92.0
500k,60,92.0
500k,61,92.0
500k,62,92.0
500k,63,92.0
500k,64,92.0
500k,65,92.0
500k,66,92.0
500k,67,96.25
500k,68,96.25
500k,69,96.25
