capacity,episodes,reward
1M,0,0.0
1M,1,0.0
1M,2,0.0
1M,3,0.0
1M,4,0.0
1M,5,0.0
1M,6,0.0
1M,7,0.0
1M,8,0.0
1M,9,0.0
1M,10,0.0
1M,11,0.0
1M,12,0.0
1M,13,0.0
1M,14,0.0
1M,15,0.0
1M,16,0.0
1M,17,0.0
1M,18,0.0
1M,19,0.0
1M,20,0.0
1M,21,0.0
1M,22,0.0
1M,23,0.0
1M,24,0.0
1M,25,0.0
1M,26,0.0
1M,27,0.0
1M,28,0.0
1M,29,0.0
1M,30,0.0
1M,31,0.0
1M,32,0.0
1M,33,0.0
1M,34,0.0
1M,35,0.0
1M,36,0.0
1M,37,0.0
1M,38,0.0
1M,39,0.0
1M,40,0.0
1M,41,0.0
1M,42,0.0
1M,43,0.0
1M,44,0.0
1M,45,0.0
1M,46,0.0
1M,47,0.0
1M,48,0.0
1M,49,0.0
1M,50,0.0
1M,51,0.0
1M,52,0.0
1M,53,0.0
1M,54,0.0
1M,55,0.0
1M,56,0.0
1M,57,0.0
1M,58,0.0
1M,59,0.0
1M,60,0.0
1M,61,0.0
1M,62,0.0
1M,63,0.0
1M,64,0.0
1M,65,0.0
1M,66,0.0
1M,67,0.0
1M,68,0.0
1M,69,0.0
1M,70,0.0
1M,71,0.0
1M,72,0.0
1M,73,0.0
1M,74,0.0
1M,75,0.0
1M,76,0.0
1M,77,0.0
1M,78,0.0
1M,79,0.0
1M,80,0.0
1M,81,0.0
1M,82,0.0
1M,83,0.0
1M,84,0.0
1M,85,0.0
1M,86,0.0
1M,87,0.0
1M,88,0.0
1M,89,0.0
1M,90,0.0
1M,91,0.0
1M,92,0.0
1M,93,0.0
1M,94,0.0
1M,95,0.0
1M,96,0.0
1M,97,0.0
1M,98,0.0
1M,99,0.0
1M,100,0.0
1M,101,0.0
1M,102,0.0
1M,103,0.0
1M,104,0.0
1M,105,0.0
1M,106,0.0
1M,107,0.0
1M,108,0.0
1M,109,0.0
1M,110,0.0
1M,111,0.0
1M,112,0.0
1M,113,0.0
1M,114,0.0
1M,115,0.0
1M,116,0.0
1M,117,0.0
1M,118,0.0
1M,119,0.0
1M,120,0.0
1M,121,0.0
1M,122,0.0
1M,123,0.0
1M,124,0.0
1M,125,0.0
1M,126,0.0
1M,127,0.0
1M,128,0.0
1M,129,0.0
1M,130,0.0
1M,131,0.0
1M,132,0.0
1M,133,0.0
1M,134,0.0
1M,135,0.0
1M,136,0.0
1M,137,0.0
1M,138,0.0
1M,139,0.0
1M,140,0.0
1M,141,0.0
1M,142,0.0
1M,143,0.0
1M,144,0.0
1M,145,0.0
1M,146,0.0
1M,147,0.0
1M,148,0.0
1M,149,0.0
1M,150,0.0
1M,151,0.0
1M,152,0.0
1M,153,0.0
1M,154,0.0
1M,155,0.0
1M,156,0.0
1M,157,0.0
1M,158,0.0
1M,159,0.0
1M,160,0.0
1M,161,0.0
1M,162,0.0
1M,163,0.0
1M,164,0.0
1M,165,0.0
1M,166,0.0
1M,167,0.0
1M,168,0.0
1M,169,0.0
1M,170,0.0
1M,171,0.0
1M,172,0.0
1M,173,0.0
1M,174,0.0
1M,175,0.0
1M,176,0.0
1M,177,0.0
1M,178,0.0
1M,179,0.0
1M,180,0.0
1M,181,0.0
1M,182,0.0
1M,183,0.0
1M,184,0.0
1M,185,0.0
1M,186,0.0
1M,187,0.0
1M,188,0.0
1M,189,0.0
1M,190,0.0
1M,191,0.0
1M,192,0.0
500k,0,0.0
500k,1,0.0
500k,2,0.0
500k,3,0.0
500k,4,0.0
500k,5,0.0
500k,6,0.0
500k,7,0.0
500k,8,0.0
500k,9,0.0
500k,10,0.0
500k,11,0.0
500k,12,0.0
500k,13,0.0
500k,14,0.0
500k,15,0.0
500k,16,0.0
500k,17,0.0
500k,18,0.0
500k,19,0.0
500k,20,0.0
500k,21,0.0
500k,22,0.0
500k,23,0.0
500k,24,0.0
500k,25,0.0
500k,26,0.0
500k,27,0.0
500k,28,0.0
500k,29,0.0
500k,30,0.0
500k,31,0.0
500k,32,0.0
500k,33,0.0
500k,34,0.0
500k,35,0.0
500k,36,0.0
500k,37,0.0
500k,38,0.0
500k,39,0.0
500k,40,0.0
500k,41,0.0
500k,42,0.0
500k,43,0.0
500k,44,0.0
500k,45,0.0
500k,46,0.0
500k,47,0.0
500k,48,0.0
500k,49,0.0
500k,50,0.0
500k,51,0.0
500k,52,0.0
500k,53,0.0
500k,54,0.0
500k,55,0.0
500k,56,0.0
500k,57,0.0
500k,58,0.0
500k,59,0.0
500k,60,0.0
500k,61,0.0
500k,62,0.0
500k,63,0.0
500k,64,0.0
500k,65,0.0
500k,66,0.0
500k,67,0.0
500k,68,0.0
500k,69,0.0
500k,70,0.0
500k,71,0.0
500k,72,0.0
500k,73,0.0
500k,74,0.0
500k,75,0.0
500k,76,0.0
500k,77,0.0
500k,78,0.0
500k,79,0.0
500k,80,0.0
500k,81,0.0
500k,82,0.0
500k,83,0.0
500k,84,0.0
500k,85,0.0
500k,86,0.0
500k,87,0.0
500k,88,0.0
500k,89,0.0
500k,90,0.0
500k,91,0.0
500k,92,0.0
500k,93,0.0
500k,94,0.0
500k,95,0.0
500k,96,0.0
500k,97,0.0
500k,98,0.0
500k,99,0.0
500k,100,0.0
500k,101,0.0
500k,102,0.0
500k,103,0.0
500k,104,0.0
500k,105,0.0
500k,106,0.0
500k,107,0.0
500k,108,0.0
500k,109,0.0
500k,110,0.0
500k,111,0.0
500k,112,0.0
500k,113,0.0
500k,114,0.0
500k,115,0.0
500k,116,0.0
500k,117,0.0
500k,118,0.0
500k,119,0.0
500k,120,0.0
500k,121,0.0
500k,122,0.0
500k,123,0.0
500k,124,0.0
500k,125,0.0
500k,126,0.0
500k,127,0.0
500k,128,0.0
500k,129,0.0
500k,130,0.0
500k,131,0.0
500k,132,0.0
500k,133,0.0
500k,134,0.0
500k,135,0.0
500k,136,0.0
500k,137,0.0
500k,138,0.0
500k,139,0.0
500k,140,0.0
500k,141,0.0
500k,142,0.0
500k,143,0.0
500k,144,0.0
500k,145,0.0
500k,146,0.0
500k,147,0.0
500k,148,0.0
500k,149,0.0
500k,150,0.0
500k,151,0.0
500k,152,0.0
500k,153,0.0
500k,154,0.0
500k,155,0.0
500k,156,0.0
500k,157,0.0
500k,158,0.0
500k,159,0.0
500k,160,0.0
500k,161,0.0
500k,162,0.0
500k,163,0.0
500k,164,0.0
500k,165,0.0
500k,166,0.0
500k,167,0.0
500k,168,0.0
500k,169,0.0
500k,170,0.0
500k,171,0.0
500k,172,0.0
500k,173,0.0
500k,174,0.0
500k,175,0.0
500k,176,0.0
500k,177,0.0
500k,178,0.0
500k,179,0.0
500k,180,0.0
500k,181,0.0
500k,182,0.0
500k,183,0.0
500k,184,0.0
500k,185,0.0
500k,186,0.0
500k,187,0.0
500k,188,0.0
500k,189,0.0
500k,190,0.0
500k,191,0.0
500k,192,0.0
500k,193,0.0
500k,194,0.0
100k,0,0.0
100k,1,0.0
100k,2,0.0
100k,3,0.0
100k,4,0.0
100k,5,0.0
100k,6,0.0
100k,7,0.0
100k,8,0.0
100k,9,0.0
100k,10,0.0
100k,11,0.0
100k,12,0.0
100k,13,0.0
100k,14,0.0
100k,15,0.0
100k,16,0.0
100k,17,0.0
100k,18,0.0
100k,19,0.0
100k,20,0.0
100k,21,0.0
100k,22,0.0
100k,23,0.0
100k,24,0.0
100k,25,0.0
100k,26,0.0
100k,27,0.0
100k,28,0.0
100k,29,0.0
100k,30,0.0
100k,31,0.0
100k,32,0.0
100k,33,0.0
100k,34,0.0
100k,35,0.0
