capacity,episodes,reward
1M,0,200.0
1M,1,200.0
1M,2,200.0
1M,3,200.0
1M,4,200.0
1M,5,200.0
1M,6,300.0
1M,7,200.0
1M,8,150.0
1M,9,150.0
1M,10,120.0
1M,11,120.0
1M,12,100.0
1M,13,100.0
1M,14,85.71428571428571
1M,15,85.71428571428571
1M,16,85.71428571428571
1M,17,85.71428571428571
1M,18,85.71428571428571
1M,19,85.71428571428571
1M,20,112.5
1M,21,100.0
1M,22,100.0
1M,23,90.0
1M,24,81.81818181818181
1M,25,75.0
1M,26,75.0
1M,27,69.23076923076923
1M,28,64.28571428571429
1M,29,64.28571428571429
1M,30,60.0
1M,31,60.0
1M,32,56.25
1M,33,56.25
1M,34,56.25
1M,35,56.25
1M,36,70.58823529411765
1M,37,70.58823529411765
1M,38,72.22222222222223
1M,39,68.42105263157895
1M,40,68.42105263157895
1M,41,65.0
1M,42,65.0
1M,43,65.0
1M,44,65.0
1M,45,76.19047619047619
1M,46,76.19047619047619
1M,47,76.19047619047619
1M,48,76.19047619047619
1M,49,76.19047619047619
1M,50,81.81818181818181
1M,51,82.6086956521739
1M,52,82.6086956521739
1M,53,83.33333333333333
1M,54,83.33333333333333
1M,55,83.33333333333333
1M,56,83.33333333333333
1M,57,83.33333333333333
1M,58,88.0
1M,59,88.0
1M,60,88.0
1M,61,88.0
1M,62,88.0
1M,63,96.15384615384616
1M,64,96.15384615384616
1M,65,92.5925925925926
1M,66,92.5925925925926
1M,67,92.5925925925926
1M,68,92.5925925925926
1M,69,100.0
1M,70,100.0
1M,71,96.55172413793103
1M,72,93.33333333333333
1M,73,93.33333333333333
1M,74,93.54838709677419
1M,75,93.54838709677419
1M,76,93.54838709677419
1M,77,93.54838709677419
1M,78,100.0
1M,79,100.0
1M,80,100.0
1M,81,100.0
1M,82,106.06060606060606
1M,83,106.06060606060606
1M,84,106.06060606060606
1M,85,106.06060606060606
1M,86,106.06060606060606
1M,87,108.82352941176471
1M,88,105.71428571428571
1M,89,105.71428571428571
1M,90,105.71428571428571
1M,91,105.71428571428571
1M,92,105.71428571428571
1M,93,105.55555555555556
1M,94,102.70270270270271
1M,95,102.70270270270271
1M,96,100.0
1M,97,100.0
1M,98,97.43589743589743
1M,99,97.43589743589743
1M,100,97.43589743589743
1M,101,97.43589743589743
1M,102,100.0
1M,103,100.0
1M,104,100.0
1M,105,100.0
1M,106,104.8780487804878
1M,107,104.8780487804878
1M,108,102.38095238095238
1M,109,102.32558139534883
1M,110,102.32558139534883
1M,111,102.32558139534883
1M,112,102.32558139534883
1M,113,102.32558139534883
1M,114,102.27272727272727
1M,115,102.27272727272727
1M,116,102.27272727272727
1M,117,102.22222222222223
1M,118,102.22222222222223
1M,119,102.17391304347827
1M,120,102.17391304347827
1M,121,102.17391304347827
1M,122,102.17391304347827
1M,123,104.25531914893617
1M,124,102.08333333333333
1M,125,102.08333333333333
1M,126,102.08333333333333
1M,127,102.08333333333333
1M,128,102.08333333333333
1M,129,106.12244897959184
1M,130,104.0
1M,131,104.0
1M,132,103.92156862745098
1M,133,103.92156862745098
1M,134,103.92156862745098
1M,135,105.76923076923077
1M,136,103.77358490566037
1M,137,103.77358490566037
1M,138,103.70370370370371
1M,139,103.70370370370371
1M,140,103.70370370370371
1M,141,105.45454545454545
1M,142,105.45454545454545
1M,143,105.45454545454545
1M,144,105.45454545454545
1M,145,108.92857142857143
1M,146,107.01754385964912
1M,147,107.01754385964912
1M,148,107.01754385964912
1M,149,107.01754385964912
1M,150,107.01754385964912
1M,151,110.34482758620689
1M,152,110.34482758620689
1M,153,110.34482758620689
1M,154,110.34482758620689
1M,155,110.16949152542372
1M,156,110.16949152542372
1M,157,110.16949152542372
1M,158,110.16949152542372
1M,159,110.16949152542372
1M,160,111.66666666666667
1M,161,109.8360655737705
1M,162,109.8360655737705
1M,163,108.06451612903226
1M,164,108.06451612903226
1M,165,108.06451612903226
1M,166,108.06451612903226
1M,167,108.06451612903226
1M,168,109.52380952380952
1M,169,109.52380952380952
1M,170,109.52380952380952
1M,171,107.8125
1M,172,107.8125
1M,173,107.8125
1M,174,107.8125
1M,175,110.76923076923077
1M,176,110.76923076923077
1M,177,110.76923076923077
1M,178,110.76923076923077
1M,179,112.12121212121212
1M,180,112.12121212121212
1M,181,111.94029850746269
1M,182,111.94029850746269
1M,183,111.76470588235294
1M,184,110.14492753623189
1M,185,110.14492753623189
1M,186,108.57142857142857
1M,187,108.57142857142857
1M,188,107.04225352112677
1M,189,107.04225352112677
1M,190,106.94444444444444
1M,191,106.94444444444444
1M,192,106.94444444444444
1M,193,106.94444444444444
1M,194,108.21917808219177
1M,195,108.21917808219177
1M,196,108.21917808219177
1M,197,108.21917808219177
500k,0,100.0
500k,1,100.0
500k,2,100.0
500k,3,100.0
500k,4,100.0
500k,5,100.0
500k,6,200.0
500k,7,200.0
500k,8,166.66666666666666
500k,9,166.66666666666666
500k,10,125.0
500k,11,100.0
500k,12,83.33333333333333
500k,13,83.33333333333333
500k,14,83.33333333333333
500k,15,83.33333333333333
500k,16,83.33333333333333
500k,17,114.28571428571429
500k,18,114.28571428571429
500k,19,114.28571428571429
500k,20,125.0
500k,21,125.0
500k,22,125.0
500k,23,125.0
500k,24,111.11111111111111
500k,25,111.11111111111111
500k,26,111.11111111111111
500k,27,120.0
500k,28,120.0
500k,29,118.18181818181819
500k,30,118.18181818181819
