capacity,episodes,reward
1M,0,2691.0
1M,1,2691.0
1M,2,2691.0
1M,3,2691.0
1M,4,2139.0
1M,5,2139.0
1M,6,2139.0
1M,7,2707.0
1M,8,2707.0
1M,9,3115.0
1M,10,3472.2
1M,11,3625.8333333333335
1M,12,3625.8333333333335
1M,13,3625.8333333333335
1M,14,3625.8333333333335
1M,15,3761.714285714286
1M,16,3761.714285714286
1M,17,3761.714285714286
1M,18,3761.714285714286
1M,19,3761.714285714286
1M,20,3761.714285714286
1M,21,3761.714285714286
1M,22,3761.714285714286
1M,23,3608.375
1M,24,3608.375
1M,25,3608.375
1M,26,3608.375
1M,27,3608.375
1M,28,3608.375
1M,29,3608.375
1M,30,3608.375
1M,31,3608.375
1M,32,3608.375
1M,33,3608.375
1M,34,3608.375
1M,35,3499.8888888888887
1M,36,3499.8888888888887
1M,37,3499.8888888888887
1M,38,3499.8888888888887
1M,39,3499.8888888888887
1M,40,3252.0
1M,41,3252.0
1M,42,3252.0
1M,43,3252.0
1M,44,3045.7272727272725
1M,45,3045.7272727272725
1M,46,3045.7272727272725
1M,47,3045.7272727272725
1M,48,3045.7272727272725
1M,49,3003.1666666666665
1M,50,3003.1666666666665
1M,51,3003.1666666666665
1M,52,3136.6923076923076
1M,53,3136.6923076923076
1M,54,3136.6923076923076
1M,55,3376.5714285714284
1M,56,3376.5714285714284
1M,57,3540.5333333333333
1M,58,3540.5333333333333
1M,59,3540.5333333333333
1M,60,3540.5333333333333
1M,61,3540.5333333333333
1M,62,3540.5333333333333
1M,63,3540.5333333333333
1M,64,3540.5333333333333
1M,65,3540.5333333333333
1M,66,3540.5333333333333
1M,67,3540.5333333333333
1M,68,3540.5333333333333
1M,69,3540.5333333333333
1M,70,3540.5333333333333
1M,71,3540.5333333333333
1M,72,3540.5333333333333
1M,73,3540.5333333333333
1M,74,3540.5333333333333
1M,75,3540.5333333333333
1M,76,3540.5333333333333
1M,77,3540.5333333333333
1M,78,3540.5333333333333
1M,79,3540.5333333333333
1M,80,3540.5333333333333
1M,81,3513.0625
1M,82,3513.0625
1M,83,3513.0625
1M,84,3513.0625
1M,85,3513.0625
1M,86,3513.0625
1M,87,3513.0625
1M,88,3513.0625
1M,89,3513.0625
1M,90,3513.0625
1M,91,3513.0625
1M,92,3513.0625
1M,93,3513.0625
1M,94,3513.0625
1M,95,3513.0625
1M,96,3513.0625
1M,97,3513.0625
1M,98,3545.0
1M,99,3545.0
1M,100,3545.0
1M,101,3545.0
1M,102,3545.0
1M,103,3545.0
1M,104,3545.0
1M,105,3545.0
1M,106,3545.0
