capacity,time_sec,reward
1M,0.0,74.3226336796376
1M,0.06666666666666667,59.25810694371009
1M,0.13333333333333333,120.0905613106593
1M,0.2,167.14491138539267
1M,0.26666666666666666,202.329877200579
1M,0.3333333333333333,227.08481887070582
1M,0.4,181.46785509656468
1M,0.4666666666666667,201.23976220851304
1M,0.5333333333333333,210.38075968376305
1M,0.6,206.1487672144976
1M,0.6666666666666666,161.3008152464796
1M,0.7333333333333333,128.84065219718366
1M,0.8,102.87252175774694
1M,0.8666666666666667,82.09801740619754
1M,0.9333333333333333,65.47841392495805
1M,1.0,52.182731139966435
1M,1.0666666666666667,41.54618491197316
1M,1.1333333333333333,33.036947929578524
1M,1.2,26.229558343662823
1M,1.2666666666666666,20.78364667493026
1M,1.3333333333333333,16.426917339944207
1M,1.4,12.941533871955368
1M,1.4666666666666666,10.153227097564294
1M,1.5333333333333334,7.9225816780514355
1M,1.6,6.138065342441148
1M,1.6666666666666667,4.710452273952919
1M,1.7333333333333334,3.5683618191623356
1M,1.8,2.654689455329869
1M,1.8666666666666667,1.9237515642638954
1M,1.9333333333333333,1.3390012514111165
1M,2.0,0.8712010011288931
1M,2.066666666666667,0.49696080090311456
1M,2.1333333333333333,0.1975686407224917
1M,2.2,-0.04194508742200653
1M,2.2666666666666666,-0.23355606993760525
1M,2.3333333333333335,-0.3868448559500842
1M,2.4,-0.5094758847600673
1M,2.466666666666667,-0.607580707808054
1M,2.533333333333333,-0.6860645662464431
1M,2.6,-0.7488516529971545
1M,2.6666666666666665,-0.7990813223977237
1M,2.7333333333333334,-0.8392650579181788
1M,2.8,-0.8714120463345431
1M,2.8666666666666667,-0.8971296370676345
1M,2.933333333333333,-0.9177037096541077
1M,3.0,-0.9341629677232862
1M,3.066666666666667,-0.947330374178629
1M,3.1333333333333333,-0.9578642993429033
1M,3.2,-0.9662914394743226
1M,3.2666666666666666,-0.9730331515794582
1M,3.3333333333333335,-0.9784265212635667
1M,3.4,-0.9827412170108534
1M,3.466666666666667,-0.9861929736086827
1M,3.533333333333333,-0.9889543788869463
1M,3.6,-0.9911635031095569
1M,3.6666666666666665,-0.9929308024876456
1M,3.7333333333333334,-0.9943446419901165
1M,3.8,-0.9954757135920933
1M,3.8666666666666667,-0.9963805708736746
1M,3.933333333333333,-0.9971044566989398
1M,4.0,-0.9976835653591517
1M,4.066666666666666,-0.9981468522873216
1M,4.133333333333334,-0.9985174818298572
1M,4.2,-0.9988139854638858
1M,4.266666666666667,-0.9990511883711087
1M,4.333333333333333,-0.9992409506968871
1M,4.4,-0.9993927605575098
1M,4.466666666666667,-0.9995142084460079
1M,4.533333333333333,-0.9996113667568063
1M,4.6,-0.9996890934054451
1M,4.666666666666667,-0.9997512747243561
1M,4.733333333333333,-0.9998010197794848
1M,4.8,-0.999840815823588
1M,4.866666666666666,-0.9998726526588705
1M,4.933333333333334,-0.9998981221270965
1M,5.0,-0.9999184977016772
1M,5.066666666666666,-0.9999347981613419
1M,5.133333333333334,-0.9999478385290734
1M,5.2,-0.9999582708232588
1M,5.266666666666667,-0.9999666166586071
1M,5.333333333333333,-0.9999732933268858
1M,5.4,-0.9999786346615087
1M,5.466666666666667,-0.9999829077292071
1M,5.533333333333333,-0.9999863261833657
1M,5.6,-0.9999890609466926
1M,5.666666666666667,-0.9999912487573541
1M,5.733333333333333,-0.9999929990058835
1M,5.8,-0.9999943992047069
1M,5.866666666666666,-0.9999955193637656
1M,5.933333333333334,-0.9999964154910126
1M,6.0,-0.9999971323928101
1M,6.066666666666666,-0.9999977059142482
1M,6.133333333333334,-0.9999981647313986
1M,6.2,-0.9999985317851188
1M,6.266666666666667,-0.999998825428095
1M,6.333333333333333,-0.9999990603424761
1M,6.4,-0.9999992482739809
1M,6.466666666666667,-0.9999993986191847
1M,6.533333333333333,-0.9999995188953478
1M,6.6,-0.9999996151162782
1M,6.666666666666667,-0.9999996920930226
1M,6.733333333333333,-0.9999997536744182
1M,6.8,-0.9999998029395345
1M,6.866666666666666,-0.9999998423516278
1M,6.933333333333334,-0.9999998738813021
1M,7.0,-0.9999998991050418
1M,7.066666666666666,-0.9999999192840334
1M,7.133333333333334,-0.9999999354272269
1M,7.2,-0.9999999483417816
1M,7.266666666666667,-0.9999999586734253
1M,7.333333333333333,-0.9999999669387403
1M,7.4,-0.9999999735509923
1M,7.466666666666667,-0.999999978840794
1M,7.533333333333333,-0.9999999830726353
1M,7.6,-0.9999999864581082
1M,7.666666666666667,-0.9999999891664867
1M,7.733333333333333,-0.9999999913331893
1M,7.8,-47.14109861226996
1M,7.866666666666666,-37.912878889815964
1M,7.933333333333334,-30.53030311185277
1M,8.0,-24.624242489482217
1M,8.066666666666666,-19.899393991585775
1M,8.133333333333333,-16.119515193268622
1M,8.2,-13.095612154614898
1M,8.266666666666667,-10.676489723691919
1M,8.333333333333334,-8.741191778953535
1M,8.4,-7.1929534231628285
1M,8.466666666666667,-5.954362738530263
1M,8.533333333333333,-4.963490190824211
1M,8.6,-4.170792152659368
1M,8.666666666666666,-3.536633722127495
1M,8.733333333333333,-3.029306977701996
1M,8.8,-54.86510734383635
1M,8.866666666666667,-97.83139278047874
1M,8.933333333333334,-134.9400366060252
1M,9.0,-168.12211156376856
1M,9.066666666666666,-134.69768925101485
1M,9.133333333333333,-174.81922628514528
1M,9.2,-140.05538102811622
1M,9.266666666666667,-112.24430482249298
1M,9.333333333333334,-89.99544385799439
1M,9.4,-72.19635508639553
1M,9.466666666666667,-57.95708406911642
1M,9.533333333333333,-46.565667255293135
1M,9.6,-37.45253380423451
1M,9.666666666666666,-30.16202704338761
1M,9.733333333333333,-24.329621634710087
1M,9.8,-19.66369730776807
1M,9.866666666666667,-15.930957846214458
1M,9.933333333333334,-12.944766276971567
1M,10.0,-10.555813021577254
1M,10.066666666666666,-8.644650417261804
1M,10.133333333333333,-7.115720333809444
1M,10.2,-5.892576267047555
1M,10.266666666666667,-4.914061013638044
1M,10.333333333333334,-4.131248810910435
1M,10.4,-3.5049990487283487
1M,10.466666666666667,-3.0039992389826793
1M,10.533333333333333,-2.603199391186143
1M,10.6,-2.2825595129489145
1M,10.666666666666666,-2.026047610359132
1M,10.733333333333333,-1.8208380882873054
1M,10.8,-1.6566704706298443
1M,10.866666666666667,-1.5253363765038754
1M,10.933333333333334,-1.4202691012031003
1M,11.0,-1.3362152809624803
1M,11.066666666666666,-1.2689722247699842
1M,11.133333333333333,-1.2151777798159873
1M,11.2,-1.1721422238527899
1M,11.266666666666667,-1.1377137790822318
1M,11.333333333333334,-1.1101710232657853
1M,11.4,-1.0881368186126283
1M,11.466666666666667,-1.0705094548901026
1M,11.533333333333333,-1.056407563912082
1M,11.6,-1.0451260511296656
1M,11.666666666666666,-1.0361008409037324
1M,11.733333333333333,-1.0288806727229858
1M,11.8,-1.0231045381783888
1M,11.866666666666667,-1.018483630542711
1M,11.933333333333334,-1.0147869044341686
1M,12.0,-1.011829523547335
1M,12.066666666666666,-1.0094636188378678
1M,12.133333333333333,-1.0075708950702942
1M,12.2,-1.0060567160562353
1M,12.266666666666667,-1.0048453728449882
1M,12.333333333333334,-1.0038762982759906
1M,12.4,-1.0031010386207924
1M,12.466666666666667,-1.002480830896634
1M,12.533333333333333,-1.001984664717307
1M,12.6,-1.0015877317738455
1M,12.666666666666666,-1.0012701854190764
1M,12.733333333333333,-1.001016148335261
1M,12.8,-1.0008129186682089
1M,12.866666666666667,-1.000650334934567
1M,12.933333333333334,-1.0005202679476535
1M,13.0,-1.0004162143581228
1M,13.066666666666666,-1.0003329714864981
1M,13.133333333333333,-1.0002663771891984
1M,13.2,-1.0002131017513587
1M,13.266666666666667,-1.000170481401087
1M,13.333333333333334,-1.0001363851208696
1M,13.4,-1.0001091080966955
1M,13.466666666666667,-1.0000872864773565
1M,13.533333333333333,-1.000069829181885
1M,13.6,-1.0000558633455081
1M,13.666666666666666,-1.0000446906764064
1M,13.733333333333333,-1.000035752541125
1M,13.8,-1.0000286020329
1M,13.866666666666667,-1.00002288162632
1M,13.933333333333334,-1.0000183053010558
1M,14.0,-1.0000146442408446
1M,14.066666666666666,-1.0000117153926757
1M,14.133333333333333,-1.0000093723141406
1M,14.2,-1.0000074978513123
1M,14.266666666666667,-1.0000059982810499
1M,14.333333333333334,-1.00000479862484
1M,14.4,-1.0000038388998718
1M,14.466666666666667,-1.0000030711198975
1M,14.533333333333333,-1.0000024568959178
1M,14.6,-1.0000019655167343
1M,14.666666666666666,-1.0000015724133873
1M,14.733333333333333,-1.0000012579307098
1M,14.8,-1.000001006344568
1M,14.866666666666667,-1.0000008050756541
1M,14.933333333333334,-1.0000006440605234
1M,15.0,-1.0000005152484186
1M,15.066666666666666,-1.000000412198735
1M,15.133333333333333,-1.000000329758988
1M,15.2,-1.0000002638071903
1M,15.266666666666667,-1.0000002110457522
1M,15.333333333333334,-1.0000001688366016
1M,15.4,-1.0000001350692813
1M,15.466666666666667,-1.000000108055425
1M,15.533333333333333,-1.00000008644434
1M,15.6,-1.000000069155472
1M,15.666666666666666,-1.0000000553243775
1M,15.733333333333333,-1.0000000442595018
1M,15.8,-1.0000000354076015
1M,15.866666666666667,-1.0000000283260813
1M,15.933333333333334,-1.000000022660865
1M,16.0,-1.0000000181286919
1M,16.066666666666666,-1.0000000145029535
1M,16.133333333333333,-53.5155122130395
1M,16.2,-43.0124097704316
1M,16.266666666666666,-34.609927816345284
1M,16.333333333333332,-27.88794225307623
1M,16.4,-22.510353802460983
1M,16.466666666666665,-18.208283041968787
1M,16.533333333333335,-14.76662643357503
1M,16.6,-12.013301146860025
1M,16.666666666666668,-9.810640917488021
1M,16.733333333333334,-8.048512733990417
1M,16.8,-6.638810187192334
1M,16.866666666666667,-5.511048149753868
1M,16.933333333333334,-4.608838519803094
1M,17.0,-3.887070815842476
1M,17.066666666666666,-3.30965665267398
1M,17.133333333333333,-2.8477253221391843
1M,17.2,-2.4781802577113474
1M,17.266666666666666,-2.182544206169078
1M,17.333333333333332,-1.9460353649352622
1M,17.4,-1.7568282919482099
1M,17.466666666666665,-1.605462633558568
1M,17.533333333333335,-1.4843701068468542
1M,17.6,-1.3874960854774834
1M,17.666666666666668,-1.3099968683819867
1M,17.733333333333334,-1.2479974947055894
1M,17.8,-1.1983979957644715
1M,17.866666666666667,-1.158718396611577
1M,17.933333333333334,-1.1269747172892617
1M,18.0,-1.1015797738314093
1M,18.066666666666666,-1.0812638190651274
1M,18.133333333333333,-52.618646104711104
1M,18.2,-42.294916883768884
1M,18.266666666666666,-34.03593350701511
1M,18.333333333333332,-27.42874680561209
1M,18.4,-22.142997444489673
1M,18.466666666666665,-17.91439795559174
1M,18.533333333333335,-14.531518364473392
1M,18.6,-11.825214691578715
1M,18.666666666666668,-9.660171753262972
1M,18.733333333333334,-7.928137402610378
1M,18.8,-6.542509922088303
1M,18.866666666666667,-5.434007937670643
1M,18.933333333333334,-4.5472063501365145
1M,19.0,-3.837765080109212
1M,19.066666666666666,-3.270212064087369
1M,19.133333333333333,-2.8161696512698953
1M,19.2,-2.4529357210159164
1M,19.266666666666666,-2.1623485768127333
1M,19.333333333333332,-1.9298788614501865
1M,19.4,-1.7439030891601492
1M,19.466666666666665,-1.5951224713281194
1M,19.533333333333335,-1.4760979770624956
1M,19.6,-1.3808783816499963
1M,19.666666666666668,-1.304702705319997
1M,19.733333333333334,-1.2437621642559975
1M,19.8,-1.195009731404798
1M,19.866666666666667,-1.1560077851238384
1M,19.933333333333334,-1.1248062280990707
1M,20.0,-1.0998449824792564
1M,20.066666666666666,-1.079875985983405
1M,20.133333333333333,-52.09483221619024
1M,20.2,-41.875865772952196
1M,20.266666666666666,-33.70069261836176
1M,20.333333333333332,-27.160554094689406
1M,20.4,-21.928443275751526
1M,20.466666666666665,-17.74275462060122
1M,20.533333333333335,-14.394203696480979
1M,20.6,-11.715362957184784
1M,20.666666666666668,-9.572290365747827
1M,20.733333333333334,-7.857832292598262
1M,20.8,-6.48626583407861
1M,20.866666666666667,-5.389012667262889
1M,20.933333333333334,-5.389012667262889
1M,21.0,-5.389012667262889
1M,21.066666666666666,-5.389012667262889
1M,21.133333333333333,-4.5112101338103106
1M,21.2,-3.8089681070482486
1M,21.266666666666666,-3.247174485638599
1M,21.333333333333332,-2.797739588510879
1M,21.4,-2.4381916708087035
1M,21.466666666666665,-2.1505533366469627
1M,21.533333333333335,-1.9204426693175702
1M,21.6,-1.7363541354540561
1M,21.666666666666668,-1.5890833083632447
1M,21.733333333333334,-1.471266646690596
1M,21.8,-1.3770133173524766
1M,21.866666666666667,-1.3016106538819814
1M,21.933333333333334,-1.241288523105585
1M,22.0,-52.562896001333606
1M,22.066666666666666,-42.25031680106689
1M,22.133333333333333,-34.00025344085351
1M,22.2,-27.400202752682812
1M,22.266666666666666,-22.12016220214625
1M,22.333333333333332,-17.896129761717003
1M,22.4,-14.516903809373602
1M,22.466666666666665,-11.813523047498883
1M,22.533333333333335,-9.650818437999106
1M,22.6,-7.920654750399286
1M,22.666666666666668,-6.536523800319429
1M,22.733333333333334,-5.429219040255544
1M,22.8,-4.5433752322044345
1M,22.866666666666667,-3.8347001857635483
1M,22.933333333333334,-3.2677601486108383
1M,23.0,-2.814208118888671
1M,23.066666666666666,-2.451366495110937
1M,23.133333333333333,-2.1610931960887494
1M,23.2,-1.9288745568709995
1M,23.266666666666666,-1.7430996454967995
1M,23.333333333333332,-1.7430996454967995
1M,23.4,-1.7430996454967995
1M,23.466666666666665,-1.7430996454967995
1M,23.533333333333335,-1.7430996454967995
1M,23.6,-1.7430996454967995
1M,23.666666666666668,-1.7430996454967995
1M,23.733333333333334,-1.5944797163974398
1M,23.8,-1.4755837731179517
1M,23.866666666666667,-1.4755837731179517
1M,23.933333333333334,-52.43521497729243
1M,24.0,-52.43521497729243
1M,24.066666666666666,-52.43521497729243
1M,24.133333333333333,-93.64443551528342
1M,24.2,-93.64443551528342
1M,24.266666666666666,-93.64443551528342
1M,24.333333333333332,-93.64443551528342
1M,24.4,-93.64443551528342
