capacity,episodes,reward
5k,0,80.0
5k,1,80.0
5k,2,85.0
5k,3,85.0
5k,4,75.0
5k,5,75.0
5k,6,75.0
5k,7,101.25
5k,8,101.25
5k,9,101.25
5k,10,102.0
5k,11,102.0
5k,12,102.0
5k,13,102.0
5k,14,107.5
5k,15,107.5
5k,16,107.5
5k,17,108.57142857142857
5k,18,108.57142857142857
5k,19,108.57142857142857
5k,20,121.875
5k,21,121.875
5k,22,121.875
5k,23,121.875
5k,24,131.66666666666666
5k,25,131.66666666666666
5k,26,131.66666666666666
5k,27,136.5
5k,28,136.5
5k,29,136.5
5k,30,136.5
5k,31,150.0
5k,32,150.0
5k,33,150.0
5k,34,150.0
5k,35,161.25
5k,36,161.25
5k,37,161.25
5k,38,165.3846153846154
5k,39,165.3846153846154
5k,40,165.3846153846154
5k,41,165.3846153846154
5k,42,165.3846153846154
5k,43,167.5
5k,44,167.5
5k,45,167.5
5k,46,167.5
5k,47,167.5
5k,48,183.0
5k,49,183.0
5k,50,183.0
5k,51,183.0
5k,52,192.5
5k,53,192.5
5k,54,192.5
5k,55,192.5
5k,56,192.5
5k,57,192.5
5k,58,192.5
5k,59,207.64705882352942
5k,60,207.64705882352942
5k,61,207.64705882352942
5k,62,207.64705882352942
5k,63,202.22222222222223
5k,64,202.22222222222223
5k,65,193.1578947368421
5k,66,193.1578947368421
5k,67,193.1578947368421
5k,68,193.1578947368421
5k,69,188.0
5k,70,188.0
5k,71,188.0
5k,72,188.0
5k,73,188.0
5k,74,191.42857142857142
5k,75,191.42857142857142
5k,76,191.42857142857142
5k,77,194.0909090909091
5k,78,194.0909090909091
5k,79,194.0909090909091
5k,80,196.7391304347826
5k,81,196.7391304347826
5k,82,196.7391304347826
5k,83,196.7391304347826
5k,84,196.7391304347826
5k,85,196.7391304347826
5k,86,200.83333333333334
5k,87,200.83333333333334
5k,88,200.83333333333334
5k,89,200.83333333333334
5k,90,200.83333333333334
5k,91,204.8
5k,92,204.8
5k,93,204.8
5k,94,204.8
5k,95,201.34615384615384
5k,96,201.34615384615384
5k,97,201.34615384615384
5k,98,201.4814814814815
5k,99,201.4814814814815
5k,100,201.4814814814815
5k,101,204.46428571428572
5k,102,204.46428571428572
5k,103,201.0344827586207
5k,104,201.0344827586207
5k,105,201.0344827586207
5k,106,199.16666666666666
5k,107,199.16666666666666
5k,108,199.16666666666666
5k,109,199.83870967741936
5k,110,199.83870967741936
5k,111,199.83870967741936
5k,112,199.83870967741936
5k,113,200.15625
5k,114,200.15625
5k,115,198.1818181818182
5k,116,198.1818181818182
5k,117,198.1818181818182
5k,118,196.02941176470588
5k,119,196.02941176470588
5k,120,196.02941176470588
5k,121,198.57142857142858
5k,122,198.57142857142858
5k,123,198.57142857142858
5k,124,198.57142857142858
5k,125,200.97222222222223
5k,126,200.97222222222223
5k,127,200.97222222222223
5k,128,200.97222222222223
5k,129,203.24324324324326
5k,130,203.24324324324326
5k,131,203.24324324324326
5k,132,205.39473684210526
5k,133,205.39473684210526
5k,134,205.39473684210526
5k,135,205.39473684210526
5k,136,207.43589743589743
5k,137,207.43589743589743
5k,138,207.43589743589743
5k,139,207.43589743589743
5k,140,209.375
5k,141,209.375
5k,142,209.375
5k,143,209.375
5k,144,209.6341463414634
5k,145,209.6341463414634
5k,146,209.6341463414634
5k,147,217.5
5k,148,217.5
5k,149,217.5
5k,150,217.5
5k,151,217.5
5k,152,217.5581395348837
5k,153,217.5581395348837
5k,154,217.5581395348837
5k,155,217.5581395348837
5k,156,217.5581395348837
5k,157,220.79545454545453
5k,158,220.79545454545453
5k,159,220.79545454545453
5k,160,220.79545454545453
5k,161,222.66666666666666
5k,162,222.66666666666666
5k,163,222.66666666666666
5k,164,220.8695652173913
5k,165,220.8695652173913
5k,166,220.8695652173913
5k,167,220.8695652173913
5k,168,220.85106382978722
5k,169,220.85106382978722
5k,170,220.9375
5k,171,220.9375
5k,172,220.9375
5k,173,220.9375
5k,174,221.83673469387756
5k,175,221.83673469387756
5k,176,221.83673469387756
5k,177,221.4
5k,178,221.4
5k,179,221.4
5k,180,221.4
5k,181,222.64705882352942
5k,182,222.64705882352942
5k,183,222.64705882352942
5k,184,223.55769230769232
5k,185,223.55769230769232
5k,186,223.55769230769232
5k,187,224.43396226415095
5k,188,224.43396226415095
5k,189,224.43396226415095
5k,190,224.07407407407408
5k,191,224.07407407407408
5k,192,224.07407407407408
5k,193,224.9090909090909
5k,194,224.9090909090909
5k,195,224.9090909090909
5k,196,224.9090909090909
5k,197,226.07142857142858
5k,198,226.07142857142858
