"id" "rsex" "typeschl" "sclotbul" "stfbuljb" "gotostaf" "schlbul" "ubullsch" "oftenbul" "ubulloth" "oftenub"
"1" 1 "Female" "Secondary" "A little" "Don't know" NA "Don't know" "No" NA "No" NA
"2" 2 "Male" "Secondary" "A little" "Yes" "It depends" "Don't know" "No" NA "No" NA
"3" 3 "Female" "Grammar" "A little" "Yes" "It depends" "Don't know" "No" NA "No" NA
"4" 4 "Female" "Planned Integrated" "A little" "Yes" "It depends" "Yes" "Yes" "Not at all" "No" NA
"5" 5 "Female" "Grammar" "A little" "Yes" "It depends" "Don't know" "No" NA "No" NA
"6" 6 "Male" "Grammar" "A lot" "Yes" "It depends" "Yes" "Yes" "A little" "No" NA
"7" 7 "Male" "Secondary" "A little" "No" NA "No" "No" NA "No" NA
"8" 8 "Female" "Grammar" "Not at all" "Yes" "Would not talk to them" "No" "No" NA "No" NA
"9" 9 "Male" "Secondary" "A little" "Yes" "It depends" "Don't know" "Yes" "Not at all" "No" NA
"10" 10 "Female" "Secondary" "A little" "Yes" "It depends" "Yes" "Yes" "Not at all" "No" NA
"11" 11 "Male" "Grammar" "A little" "Yes" "It depends" "Yes" "No" NA "Yes" "Not at all "
"12" 12 "Female" "Secondary" "A lot" "Yes" "Would not talk to them" "Yes" "No" NA "No" NA
"13" 13 "Male" "Grammar" "A little" "No" NA "Yes" "No" NA "No" NA
"14" 14 "Female" "Secondary" "A little" "No" NA "Yes" "Yes" "Not at all" "No" NA
"15" 15 "Female" "Grammar" "A little" "Don't know" NA "Yes" "No" NA "No" NA
"16" 16 "Male" "Grammar" "A little" "Yes" "Would not talk to them" "Yes" "Yes" "Not at all" "No" NA
"17" 17 "Female" "Grammar" "A little" "Yes" "It depends" "No" "No" NA "No" NA
"18" 18 "Female" "Secondary" "A little" "Yes" "It depends" "Don't know" "No" NA "No" NA
"19" 19 "Female" "Secondary" "A little" "Yes" "It depends" "No" "No" NA "No" NA
"20" 20 "Female" "Planned Integrated" "A little" "Yes" "Would talk to them" "Yes" "No" NA "No" NA
"21" 21 "Female" "Grammar" "A little" "No" NA "Yes" "No" NA "No" NA
