"Statistic","CensusYear","Sex","Means of Travel","At Work School or College","UNIT","VALUE"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","On foot","All persons","Number","505530"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","On foot","Population aged 15 years and over at work","Number","136000"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","On foot","Children at school aged between 5 and 12 years","Number","251947"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","On foot","Students at school or college aged between 13 and 18 years","Number","105292"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","On foot","Students at school or college aged 19 years and over","Number","12291"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","Bicycle","All persons","Number","146962"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","Bicycle","Population aged 15 years and over at work","Number","60750"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","Bicycle","Children at school aged between 5 and 12 years","Number","23635"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","Bicycle","Students at school or college aged between 13 and 18 years","Number","50648"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","Bicycle","Students at school or college aged 19 years and over","Number","11929"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","Bus, minibus or coach","All persons","Number","323914"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","Bus, minibus or coach","Population aged 15 years and over at work","Number","93336"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","105245"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","114827"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","10506"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","Train, DART or LUAS","All persons","Number","22690"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","Train, DART or LUAS","Population aged 15 years and over at work","Number","16096"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","636"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","3408"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","2550"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","Motorcycle or scooter","All persons","Number","16680"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","Motorcycle or scooter","Population aged 15 years and over at work","Number","15614"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","300"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","766"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","Motor car: Driver","All persons","Number","405180"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","Motor car: Driver","Population aged 15 years and over at work","Number","402878"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","373"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","Motor car: Driver","Students at school or college aged 19 years and over","Number","1929"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","Motor car: Passenger","All persons","Number","264125"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","Motor car: Passenger","Population aged 15 years and over at work","Number","89831"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","133624"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","36666"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","Motor car: Passenger","Students at school or college aged 19 years and over","Number","4004"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","Other means (incl. lorry or van)","All persons","Number","36239"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","Other means (incl. lorry or van)","Population aged 15 years and over at work","Number","33354"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","Other means (incl. lorry or van)","Children at school aged between 5 and 12 years","Number","1812"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","Other means (incl. lorry or van)","Students at school or college aged between 13 and 18 years","Number","829"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","Other means (incl. lorry or van)","Students at school or college aged 19 years and over","Number","244"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","Work mainly at or from home","All persons","Number","196982"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","Work mainly at or from home","Population aged 15 years and over at work","Number","186856"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","Work mainly at or from home","Children at school aged between 5 and 12 years","Number","938"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","Work mainly at or from home","Students at school or college aged between 13 and 18 years","Number","7930"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","Work mainly at or from home","Students at school or college aged 19 years and over","Number","1258"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","Not stated","All persons","Number","108579"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","Not stated","Population aged 15 years and over at work","Number","48932"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","Not stated","Children at school aged between 5 and 12 years","Number","39439"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","Not stated","Students at school or college aged between 13 and 18 years","Number","17818"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","Not stated","Students at school or college aged 19 years and over","Number","2390"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","All means of travel","All persons","Number","2026881"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","All means of travel","Population aged 15 years and over at work","Number","1083647"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","All means of travel","Children at school aged between 5 and 12 years","Number","557276"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","All means of travel","Students at school or college aged between 13 and 18 years","Number","338091"
"Population Usually Resident in the State at Each Census Since 1986","1986","Both sexes","All means of travel","Students at school or college aged 19 years and over","Number","47867"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","On foot","All persons","Number","256406"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","On foot","Population aged 15 years and over at work","Number","69916"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","On foot","Children at school aged between 5 and 12 years","Number","129973"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","On foot","Students at school or college aged between 13 and 18 years","Number","50585"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","On foot","Students at school or college aged 19 years and over","Number","5932"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","Bicycle","All persons","Number","92788"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","Bicycle","Population aged 15 years and over at work","Number","39469"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","Bicycle","Children at school aged between 5 and 12 years","Number","14507"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","Bicycle","Students at school or college aged between 13 and 18 years","Number","31522"
