"Statistic","CensusYear","Sex","Means of Travel","Aggregate Town Size","At Work School or College","UNIT","VALUE"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","All persons","Number","414938"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","Population aged 15 years and over at work","Number","170510"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","Children at school aged between 5 and 12 years","Number","118523"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","Students at school or college aged between 13 and 18 years","Number","73946"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","State","Students at school or college aged 19 years and over","Number","51959"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Dublin City and suburbs","All persons","Number","145232"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Dublin City and suburbs","Population aged 15 years and over at work","Number","63240"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Dublin City and suburbs","Children at school aged between 5 and 12 years","Number","43217"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Dublin City and suburbs","Students at school or college aged between 13 and 18 years","Number","25143"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Dublin City and suburbs","Students at school or college aged 19 years and over","Number","13632"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Cork City and suburbs","All persons","Number","24791"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Cork City and suburbs","Population aged 15 years and over at work","Number","11032"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Cork City and suburbs","Children at school aged between 5 and 12 years","Number","5359"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Cork City and suburbs","Students at school or college aged between 13 and 18 years","Number","3811"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Cork City and suburbs","Students at school or college aged 19 years and over","Number","4589"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Limerick City and suburbs","All persons","Number","12017"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Limerick City and suburbs","Population aged 15 years and over at work","Number","4852"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Limerick City and suburbs","Children at school aged between 5 and 12 years","Number","2936"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Limerick City and suburbs","Students at school or college aged between 13 and 18 years","Number","1799"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Limerick City and suburbs","Students at school or college aged 19 years and over","Number","2430"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Galway City and suburbs","All persons","Number","10287"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Galway City and suburbs","Population aged 15 years and over at work","Number","4899"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Galway City and suburbs","Children at school aged between 5 and 12 years","Number","1220"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Galway City and suburbs","Students at school or college aged between 13 and 18 years","Number","794"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Galway City and suburbs","Students at school or college aged 19 years and over","Number","3374"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Waterford City and suburbs","All persons","Number","5800"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Waterford City and suburbs","Population aged 15 years and over at work","Number","2542"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Waterford City and suburbs","Children at school aged between 5 and 12 years","Number","1231"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Waterford City and suburbs","Students at school or college aged between 13 and 18 years","Number","1047"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Waterford City and suburbs","Students at school or college aged 19 years and over","Number","980"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Towns 10,000 population and over","All persons","Number","82973"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Towns 10,000 population and over","Population aged 15 years and over at work","Number","33398"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Towns 10,000 population and over","Children at school aged between 5 and 12 years","Number","23364"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Towns 10,000 population and over","Students at school or college aged between 13 and 18 years","Number","17918"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Towns 10,000 population and over","Students at school or college aged 19 years and over","Number","8293"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Towns 5,000 - 9,999 population","All persons","Number","34400"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Towns 5,000 - 9,999 population","Population aged 15 years and over at work","Number","12424"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Towns 5,000 - 9,999 population","Children at school aged between 5 and 12 years","Number","11461"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Towns 5,000 - 9,999 population","Students at school or college aged between 13 and 18 years","Number","8604"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Towns 5,000 - 9,999 population","Students at school or college aged 19 years and over","Number","1911"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Towns 2,000 - 4,999 population","All persons","Number","24642"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Towns 2,000 - 4,999 population","Population aged 15 years and over at work","Number","9534"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Towns 2,000 - 4,999 population","Children at school aged between 5 and 12 years","Number","7833"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Towns 2,000 - 4,999 population","Students at school or college aged between 13 and 18 years","Number","5821"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Towns 2,000 - 4,999 population","Students at school or college aged 19 years and over","Number","1454"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Towns 1,500 - 1,999 population","All persons","Number","6542"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Towns 1,500 - 1,999 population","Population aged 15 years and over at work","Number","2462"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Towns 1,500 - 1,999 population","Children at school aged between 5 and 12 years","Number","2549"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Towns 1,500 - 1,999 population","Students at school or college aged between 13 and 18 years","Number","1066"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Towns 1,500 - 1,999 population","Students at school or college aged 19 years and over","Number","465"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Towns 1,000 - 1,499 population","All persons","Number","8820"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Towns 1,000 - 1,499 population","Population aged 15 years and over at work","Number","2996"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Towns 1,000 - 1,499 population","Children at school aged between 5 and 12 years","Number","3569"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Towns 1,000 - 1,499 population","Students at school or college aged between 13 and 18 years","Number","1725"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Towns 1,000 - 1,499 population","Students at school or college aged 19 years and over","Number","530"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Total Towns 500 - 999 population","All persons","Number","10882"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Total Towns 500 - 999 population","Population aged 15 years and over at work","Number","3527"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Total Towns 500 - 999 population","Children at school aged between 5 and 12 years","Number","5148"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Total Towns 500 - 999 population","Students at school or college aged between 13 and 18 years","Number","1426"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Total Towns 500 - 999 population","Students at school or college aged 19 years and over","Number","781"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Towns under 500 population but with at least 50 inhabited houses","All persons","Number","8524"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Towns under 500 population but with at least 50 inhabited houses","Population aged 15 years and over at work","Number","2574"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Towns under 500 population but with at least 50 inhabited houses","Children at school aged between 5 and 12 years","Number","4607"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Towns under 500 population but with at least 50 inhabited houses","Students at school or college aged between 13 and 18 years","Number","564"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Towns under 500 population but with at least 50 inhabited houses","Students at school or college aged 19 years and over","Number","779"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Remainder of country","All persons","Number","40028"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Remainder of country","Population aged 15 years and over at work","Number","17030"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Remainder of country","Children at school aged between 5 and 12 years","Number","6029"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Remainder of country","Students at school or college aged between 13 and 18 years","Number","4228"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Remainder of country","Students at school or college aged 19 years and over","Number","12741"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","All persons","Number","61177"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","Population aged 15 years and over at work","Number","39803"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","Children at school aged between 5 and 12 years","Number","6252"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","Students at school or college aged between 13 and 18 years","Number","6592"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","Students at school or college aged 19 years and over","Number","8530"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Dublin City and suburbs","All persons","Number","37353"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Dublin City and suburbs","Population aged 15 years and over at work","Number","25786"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Dublin City and suburbs","Children at school aged between 5 and 12 years","Number","2538"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Dublin City and suburbs","Students at school or college aged between 13 and 18 years","Number","4180"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Dublin City and suburbs","Students at school or college aged 19 years and over","Number","4849"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Cork City and suburbs","All persons","Number","2411"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Cork City and suburbs","Population aged 15 years and over at work","Number","1602"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Cork City and suburbs","Children at school aged between 5 and 12 years","Number","66"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Cork City and suburbs","Students at school or college aged between 13 and 18 years","Number","130"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Cork City and suburbs","Students at school or college aged 19 years and over","Number","613"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Limerick City and suburbs","All persons","Number","1287"
