year,sex,means_of_travel,town_size,age_range,edu_status,value
2011,Male,walking,Dublin City and suburbs,15-66,working,25517
2011,Male,walking,Dublin City and suburbs,5-12,at primary school,21769
2011,Male,walking,Dublin City and suburbs,13-18,at secondary school,12174
2011,Male,walking,Dublin City and suburbs,19-66,at university,6712
2011,Male,walking,Cork City and suburbs,15-66,working,4566
2011,Male,walking,Cork City and suburbs,5-12,at primary school,2809
2011,Male,walking,Cork City and suburbs,13-18,at secondary school,1975
2011,Male,walking,Cork City and suburbs,19-66,at university,2174
2011,Male,walking,Limerick City and suburbs,15-66,working,1910
2011,Male,walking,Limerick City and suburbs,5-12,at primary school,1490
2011,Male,walking,Limerick City and suburbs,13-18,at secondary school,924
2011,Male,walking,Limerick City and suburbs,19-66,at university,1236
2011,Male,walking,Galway City and suburbs,15-66,working,2050
2011,Male,walking,Galway City and suburbs,5-12,at primary school,592
2011,Male,walking,Galway City and suburbs,13-18,at secondary school,412
2011,Male,walking,Galway City and suburbs,19-66,at university,1634
2011,Male,walking,Waterford City and suburbs,15-66,working,1062
2011,Male,walking,Waterford City and suburbs,5-12,at primary school,603
2011,Male,walking,Waterford City and suburbs,13-18,at secondary school,471
2011,Male,walking,Waterford City and suburbs,19-66,at university,498
2011,Male,walking,"Towns 10,000 population and over",15-66,working,12806
2011,Male,walking,"Towns 10,000 population and over",5-12,at primary school,11732
2011,Male,walking,"Towns 10,000 population and over",13-18,at secondary school,9393
2011,Male,walking,"Towns 10,000 population and over",19-66,at university,4100
2011,Male,walking,"Towns 5,000 - 9,999 population",15-66,working,4788
2011,Male,walking,"Towns 5,000 - 9,999 population",5-12,at primary school,5796
2011,Male,walking,"Towns 5,000 - 9,999 population",13-18,at secondary school,4551
2011,Male,walking,"Towns 5,000 - 9,999 population",19-66,at university,868
2011,Male,walking,"Towns 2,000 - 4,999 population",15-66,working,3839
2011,Male,walking,"Towns 2,000 - 4,999 population",5-12,at primary school,4022
2011,Male,walking,"Towns 2,000 - 4,999 population",13-18,at secondary school,2996
2011,Male,walking,"Towns 2,000 - 4,999 population",19-66,at university,675
2011,Male,walking,"Towns 1,500 - 1,999 population",15-66,working,1046
2011,Male,walking,"Towns 1,500 - 1,999 population",5-12,at primary school,1252
2011,Male,walking,"Towns 1,500 - 1,999 population",13-18,at secondary school,556
2011,Male,walking,"Towns 1,500 - 1,999 population",19-66,at university,220
2011,Male,walking,"Towns 1,000 - 1,499 population",15-66,working,1253
2011,Male,walking,"Towns 1,000 - 1,499 population",5-12,at primary school,1818
2011,Male,walking,"Towns 1,000 - 1,499 population",13-18,at secondary school,909
2011,Male,walking,"Towns 1,000 - 1,499 population",19-66,at university,227
2011,Male,walking,Total Towns 500 - 999 population,15-66,working,1462
2011,Male,walking,Total Towns 500 - 999 population,5-12,at primary school,2646
2011,Male,walking,Total Towns 500 - 999 population,13-18,at secondary school,750
2011,Male,walking,Total Towns 500 - 999 population,19-66,at university,367
2011,Male,walking,Towns under 500 population but with at least 50 inhabited houses,15-66,working,1176
2011,Male,walking,Towns under 500 population but with at least 50 inhabited houses,5-12,at primary school,2377
2011,Male,walking,Towns under 500 population but with at least 50 inhabited houses,13-18,at secondary school,274
2011,Male,walking,Towns under 500 population but with at least 50 inhabited houses,19-66,at university,352
2011,Male,walking,Remainder of country,15-66,working,12239
2011,Male,walking,Remainder of country,5-12,at primary school,3080
2011,Male,walking,Remainder of country,13-18,at secondary school,2058
2011,Male,walking,Remainder of country,19-66,at university,5330
2011,Male,bike,Dublin City and suburbs,15-66,working,18534
