"Statistic","CensusYear","Sex","County of Usual Residence","Travelling Time","At Work School or College","UNIT","VALUE"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","State","Total time travelling","All persons","Number","2709706"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","State","Total time travelling","Population aged 15 years and over at work","Number","1695074"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","State","Total time travelling","Children at school aged between 5 and 12 years","Number","501200"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","State","Total time travelling","Students at school or college aged between 13 and 18 years","Number","322194"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","State","Total time travelling","Students at school or college aged 19 years and over","Number","191238"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","State","< ¼ hour","All persons","Number","921724"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","State","< ¼ hour","Population aged 15 years and over at work","Number","427993"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","State","< ¼ hour","Children at school aged between 5 and 12 years","Number","329793"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","State","< ¼ hour","Students at school or college aged between 13 and 18 years","Number","120816"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","State","< ¼ hour","Students at school or college aged 19 years and over","Number","43122"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","State","¼ hour - < ½ hour","All persons","Number","812773"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","State","¼ hour - < ½ hour","Population aged 15 years and over at work","Number","520128"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","State","¼ hour - < ½ hour","Children at school aged between 5 and 12 years","Number","116609"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","State","¼ hour - < ½ hour","Students at school or college aged between 13 and 18 years","Number","121522"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","State","¼ hour - < ½ hour","Students at school or college aged 19 years and over","Number","54514"
