"Statistic","CensusYear","Social Class","Means of Travel","UNIT","VALUE"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","All social classes","On foot","Number","170510"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","All social classes","Bicycle","Number","39803"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","All social classes","Bus, minibus or coach","Number","91676"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","All social classes","Train, DART or LUAS","Number","52749"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","All social classes","Motorcycle or scooter","Number","8443"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","All social classes","Motor car: Driver","Number","1067451"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","All social classes","Motor car: Passenger","Number","69164"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","All social classes","Van","Number","116248"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","All social classes","Other, incl. lorry","Number","14770"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","All social classes","Work mainly at or from home","Number","83326"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","All social classes","Not stated","Number","64260"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","All social classes","All means of travel","Number","1778400"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","Professional workers","On foot","Number","13193"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","Professional workers","Bicycle","Number","5915"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","Professional workers","Bus, minibus or coach","Number","7070"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","Professional workers","Train, DART or LUAS","Number","8828"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","Professional workers","Motorcycle or scooter","Number","937"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","Professional workers","Motor car: Driver","Number","95275"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","Professional workers","Motor car: Passenger","Number","2569"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","Professional workers","Van","Number","3791"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","Professional workers","Other, incl. lorry","Number","645"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","Professional workers","Work mainly at or from home","Number","10757"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","Professional workers","Not stated","Number","2155"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","Professional workers","All means of travel","Number","151135"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","Managerial and technical","On foot","Number","42355"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","Managerial and technical","Bicycle","Number","13310"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","Managerial and technical","Bus, minibus or coach","Number","25142"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","Managerial and technical","Train, DART or LUAS","Number","22253"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","Managerial and technical","Motorcycle or scooter","Number","2797"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","Managerial and technical","Motor car: Driver","Number","389547"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","Managerial and technical","Motor car: Passenger","Number","14111"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","Managerial and technical","Van","Number","17953"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","Managerial and technical","Other, incl. lorry","Number","2330"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","Managerial and technical","Work mainly at or from home","Number","32896"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","Managerial and technical","Not stated","Number","8111"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","Managerial and technical","All means of travel","Number","570805"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","Non-manual","On foot","Number","46108"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","Non-manual","Bicycle","Number","6645"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","Non-manual","Bus, minibus or coach","Number","27966"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","Non-manual","Train, DART or LUAS","Number","14410"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","Non-manual","Motorcycle or scooter","Number","1449"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","Non-manual","Motor car: Driver","Number","249230"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","Non-manual","Motor car: Passenger","Number","18055"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","Non-manual","Van","Number","8384"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","Non-manual","Other, incl. lorry","Number","1096"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","Non-manual","Work mainly at or from home","Number","19273"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","Non-manual","Not stated","Number","9037"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","Non-manual","All means of travel","Number","401653"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","Skilled manual","On foot","Number","20463"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","Skilled manual","Bicycle","Number","4465"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","Skilled manual","Bus, minibus or coach","Number","9952"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","Skilled manual","Train, DART or LUAS","Number","2539"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","Skilled manual","Motorcycle or scooter","Number","1587"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","Skilled manual","Motor car: Driver","Number","144033"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","Skilled manual","Motor car: Passenger","Number","10093"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","Skilled manual","Van","Number","60304"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","Skilled manual","Other, incl. lorry","Number","7693"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","Skilled manual","Work mainly at or from home","Number","9871"
"Population Aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","Skilled manual","Not stated","Number","6292"
